file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,0,3170,678,12275712,37792795950,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,1,740681,582,4091904,18752660801,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,2,476929,586,1363968,33600853600,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,3,5834906,582,454656,9143873744,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,4,372109,581,151552,8826468458,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,5,2485140,582,50517,8785105002,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,6,308364,582,16839,8781440125,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,7,1095793,582,5613,8780911265,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,8,733165,579,1871,8780830432,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,9,647121,581,623,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,10,984901,582,207,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,11,867314,583,69,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,12,683200,581,23,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,13,928306,581,7,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,14,1009025,583,2,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_911.min,0,15,541359,581,1,8780824408,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,0,3178,700,12275712,27841577400,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,1,531026,686,4091904,10445355261,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,2,499640,593,1363968,22900836076,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,3,3621053,587,454656,3811911221,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,4,294888,587,151552,3718677812,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,5,915381,585,50517,3706658570,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,6,388883,585,16839,3704960482,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,7,621401,586,5613,3704678492,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,8,332302,585,1871,3704644352,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,9,247292,585,623,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,10,256037,585,207,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,11,233448,589,69,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,12,273428,585,23,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,13,292753,586,7,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,14,463592,589,2,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_746.min,0,15,212301,586,1,3704643607,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,0,2824,581,12275712,34414027830,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,1,560648,584,4091904,15544604473,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,2,576854,582,1363968,30471623178,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,3,4919429,584,454656,7012508092,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,4,344119,584,151552,6741076870,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,5,1582596,584,50517,6718488249,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_285.min,0,6,294723,583,16839,6716292323,-1
