file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,0,11687,3055,6137856,146266513398,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,1,735915,3048,2045952,29511072965,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,2,548475,2721,681984,63119283327,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,3,2612856,2729,227328,14068555807,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,4,484749,2575,75776,14002107038,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,5,1107212,2616,25258,13971135749,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,6,734439,2620,8419,13966249072,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,7,809190,2712,2806,13965387946,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,8,615536,2854,935,13965347385,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,9,605321,2730,311,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,10,614772,2648,103,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,11,399504,2706,34,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,12,706621,2559,11,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,13,501473,2590,3,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,14,591241,2628,1,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,0,11653,3158,6137856,150738497388,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,1,796998,2657,2045952,33047595166,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,2,617759,2537,681984,72374139783,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,3,3004680,2482,227328,15714571194,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,4,584765,2887,75776,15639550447,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,5,1225144,2737,25258,15611300525,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,6,752462,2775,8419,15606609712,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,7,1284965,2737,2806,15605905364,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,8,566016,2662,935,15605883074,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,9,1523687,2944,311,15605882302,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,10,629530,2712,103,15605882302,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,11,941714,2759,34,15605882302,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,12,754116,2895,11,15605882302,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,13,1379279,2721,3,15605882302,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_493.min,0,14,680430,2615,1,15605882302,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,0,11630,3101,6137856,145347312537,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,1,738826,2987,2045952,29353117654,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,2,534957,2763,681984,64246243568,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,3,2699938,2635,227328,14107829279,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,4,488869,2604,75776,14037899034,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,5,1256882,2891,25258,14004721756,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,6,625531,2927,8419,13999809164,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,7,1149391,2750,2806,13999075811,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,8,481141,2663,935,13999036640,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,9,727823,2544,311,13999035549,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,10,553736,2672,103,13999035549,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,11,426528,2681,34,13999035549,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,12,667268,2607,11,13999035549,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,13,632880,2614,3,13999035549,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_474.min,0,14,512547,2750,1,13999035549,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,0,11657,2991,6137856,136840099140,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,1,596572,3100,2045952,24683155425,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,2,416803,2953,681984,52444004040,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,3,2016552,2521,227328,11872346611,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,4,468203,2707,75776,11815814187,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,5,994796,2624,25258,11781654235,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,6,749975,2872,8419,11776142793,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,7,962722,2684,2806,11775220401,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,8,780632,2552,935,11775181687,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,9,1215304,2626,311,11775180215,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,10,745043,2681,103,11775180215,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,11,895350,2549,34,11775180215,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,12,595204,2690,11,11775180215,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,13,1070780,2745,3,11775180215,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_907.min,0,14,687670,2886,1,11775180215,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,0,11616,3193,6137856,146770137414,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,1,730522,2720,2045952,30621865262,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,2,564897,2840,681984,70840412015,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,3,2699698,2465,227328,14596404200,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,4,493432,2525,75776,14520497205,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,5,1253373,2697,25258,14489896724,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_283.min,0,6,685472,2802,8419,14485074315,-1
