file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,0,15481,1263,122880000,1939664482,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,1,36953,1261,40960000,1211612032,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,2,29971,1257,13653333,907405685,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,3,35445,1241,4551111,888189979,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,4,48549,1264,1517037,885271287,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,5,65545,1264,505679,884954279,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,6,68465,1258,168559,884863000,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,7,83598,1257,56186,884853020,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,8,93462,1237,18728,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,9,66557,1061,6242,884852423,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,10,102273,1082,2080,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,11,65974,1070,693,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,12,96847,1085,231,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,13,116560,1077,77,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,14,78652,1087,25,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,15,96915,1080,8,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,16,73091,1070,2,884852415,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_799.min,0,17,70164,1081,1,884852415,-1
