file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,0,134120,32195,122880000,1122648760,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,1,272532,32230,40960000,2683165896,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,2,302898,28173,13653333,468391305,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,3,275727,28579,4551111,131254290,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,4,331482,28595,1517037,104647530,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,5,436880,28342,505679,102427767,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,6,507587,28210,168559,102218246,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,7,595041,28170,56186,102192214,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,8,843824,28218,18728,102189457,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,9,571954,28235,6242,102189092,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,10,769173,28072,2080,102188896,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,11,1069946,28141,693,102188891,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,12,740996,28138,231,102188879,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,13,963292,28082,77,102188879,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,14,765851,28345,25,102188879,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,15,1431079,28112,8,102188879,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,16,1346450,27999,2,102188879,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_738.min,0,17,1228379,27972,1,102188879,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,0,148490,32313,122880000,1179126405,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,1,252124,32261,40960000,2576155676,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,2,259657,28191,13653333,497453613,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,3,230963,28198,4551111,125227893,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,4,266312,28192,1517037,93555715,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,5,363127,28167,505679,90489566,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,6,430551,27765,168559,90286026,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,7,668435,28281,56186,90257830,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,8,604763,28114,18728,90253450,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,9,825885,37743,6242,90253243,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,10,1291664,26617,2080,90253066,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,11,868192,26420,693,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,12,1297716,26476,231,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,13,751564,26632,77,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,14,1125284,26470,25,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,15,971270,26542,8,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,16,1109388,26520,2,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_20.min,0,17,738746,26447,1,90253059,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,0,136199,30246,122880000,1139973350,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,1,243612,30432,40960000,2645192985,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,2,263115,26651,13653333,524839644,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,3,242756,26506,4551111,143663467,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,4,313623,26738,1517037,114195848,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,5,435358,26535,505679,111821442,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_22.min,0,6,439160,26257,168559,111598744,-1
