file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,0,216232,34442,983040000,147161873,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,1,474636,29573,327680000,1755786334,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,2,401083,29835,109226666,20726508,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,3,506883,29742,36408888,18814868,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,4,530691,30036,12136296,18643146,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,5,660868,30012,4045432,18621190,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,6,887336,29679,1348477,18616863,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,7,625571,29946,449492,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,8,614270,29772,149830,18616417,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,9,622692,29767,49943,18616417,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,10,793235,29719,16647,18616417,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,11,666861,29994,5549,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,12,595056,30015,1849,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,13,563228,29703,616,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,14,616156,30096,205,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,15,584264,29737,68,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,16,760273,30552,22,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,17,582513,30242,7,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,18,861046,29580,2,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_615.min,0,19,642089,29848,1,18616416,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,0,215665,33889,983040000,145917972,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,1,522607,30108,327680000,1864694046,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,2,434570,30045,109226666,19752068,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,3,518267,29957,36408888,17926174,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,4,627048,29801,12136296,17710734,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,5,682086,29689,4045432,17697202,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,6,710494,29995,1348477,17696571,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,7,562499,29911,449492,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,8,503494,29572,149830,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,9,615462,30030,49943,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,10,489025,29939,16647,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,11,771990,29885,5549,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,12,511629,29930,1849,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,13,646169,29755,616,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,14,576732,29716,205,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,15,659355,29762,68,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,16,528480,29506,22,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,17,737279,29856,7,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,18,727242,29778,2,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_329.min,0,19,445053,30025,1,17696379,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,0,208322,34123,983040000,141807515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,1,459564,29633,327680000,1709960789,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,2,416620,29627,109226666,20674652,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,3,515979,29724,36408888,18582572,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,4,601176,29727,12136296,18440032,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,5,713728,29683,4045432,18425395,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,6,660867,29790,1348477,18423239,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,7,506158,29859,449492,18422917,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,8,1170103,29752,149830,18422898,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,9,833930,29836,49943,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,10,922873,29844,16647,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,11,826147,29568,5549,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,12,860221,29506,1849,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,13,938425,29808,616,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,14,1195859,29891,205,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,15,865548,29786,68,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,16,862605,29343,22,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,17,1210929,29897,7,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,18,864303,29763,2,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_505.min,0,19,584017,29421,1,18422893,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,0,209480,34555,983040000,137642425,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,1,531634,30044,327680000,1702471617,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,2,411764,29713,109226666,21148020,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,3,478626,29609,36408888,18988813,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,4,505458,29567,12136296,18861778,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,5,633030,29751,4045432,18847807,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,6,733801,29755,1348477,18845421,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,7,682048,30233,449492,18845359,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,8,627146,29795,149830,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,9,750682,29661,49943,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,10,693445,29668,16647,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,11,611651,29465,5549,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,12,751415,29609,1849,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,13,628171,29492,616,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,14,784715,29703,205,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,15,711647,29457,68,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,16,661030,30235,22,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,17,603238,29458,7,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,18,806142,29428,2,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_17.min,0,19,654844,29664,1,18845326,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,0,225050,34263,983040000,155007628,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,1,466912,29898,327680000,1769314083,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,2,473400,30319,109226666,20471955,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,3,515832,30129,36408888,18446881,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,4,565089,29966,12136296,18342716,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,5,670245,30251,4045432,18325946,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,6,665422,30022,1348477,18324958,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,7,706285,29904,449492,18324914,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,8,511747,29867,149830,18324914,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,9,575976,30196,49943,18324914,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,10,586064,30007,16647,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,11,563017,30170,5549,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,12,555482,30049,1849,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,13,578868,30002,616,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,14,604222,29859,205,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,15,546436,30027,68,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,16,542183,29806,22,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,17,699552,30476,7,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,18,696829,29622,2,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_365.min,0,19,594536,29635,1,18324908,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,0,215008,33851,983040000,147926265,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,1,476074,29955,327680000,1762592151,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,2,401368,29997,109226666,20480776,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,3,482186,30475,36408888,18117104,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,4,661423,29811,12136296,18015722,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,5,554930,29725,4045432,18005952,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,6,712714,30150,1348477,18004973,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,7,671229,30240,449492,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,8,709222,29632,149830,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,9,762456,29758,49943,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,10,1057225,29725,16647,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,11,665952,29639,5549,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,12,800508,29830,1849,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,13,812836,30659,616,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,14,832479,29948,205,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,15,751269,29886,68,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,16,730864,29705,22,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,17,638693,30317,7,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,18,883595,29991,2,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_480.min,0,19,567391,29660,1,18004619,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,0,221215,33971,983040000,149690240,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,1,502322,29638,327680000,1655013872,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,2,401312,29855,109226666,21041837,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,3,519516,29722,36408888,18754806,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,4,612185,29772,12136296,18556431,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,5,761606,29832,4045432,18544302,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,6,706232,29608,1348477,18543526,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,7,612804,29548,449492,18543468,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,8,542425,29704,149830,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,9,638256,30090,49943,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,10,565660,29588,16647,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,11,567186,29647,5549,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,12,565339,29233,1849,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,13,563917,29637,616,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,14,556398,29248,205,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,15,711322,29456,68,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,16,525808,29567,22,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,17,591496,29475,7,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,18,640407,29925,2,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_699.min,0,19,505347,29849,1,18543458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,0,227848,33998,983040000,140230221,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,1,485244,29570,327680000,1719210529,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,2,428593,29769,109226666,20936244,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,3,492197,29559,36408888,18892458,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,4,683033,29526,12136296,18755117,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,5,644430,29446,4045432,18744162,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,6,711012,29569,1348477,18741221,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,7,589529,29767,449492,18741128,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,8,704570,29813,149830,18741128,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,9,518396,29740,49943,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,10,652065,29706,16647,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,11,656812,29892,5549,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,12,534357,29948,1849,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,13,679963,29820,616,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,14,432690,29701,205,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,15,771612,29518,68,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,16,671887,29627,22,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,17,664295,29892,7,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,18,765965,29649,2,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_837.min,0,19,550910,29584,1,18741119,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,0,200576,33559,983040000,141649479,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,1,536346,29715,327680000,1812057456,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,2,460908,29711,109226666,21262122,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,3,591698,29784,36408888,18842780,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,4,613615,29326,12136296,18697574,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,5,623474,29393,4045432,18677293,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,6,753973,29628,1348477,18675700,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,7,656246,29469,449492,18675468,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,8,865997,29407,149830,18675398,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,9,570134,29587,49943,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,10,633933,29306,16647,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,11,623900,29669,5549,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,12,591480,29722,1849,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,13,642808,29193,616,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,14,571793,29654,205,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,15,539860,29645,68,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,16,727948,29477,22,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,17,603333,29530,7,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,18,682058,29853,2,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_357.min,0,19,599688,29537,1,18675378,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,0,194337,29794,983040000,146349870,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,1,446142,29444,327680000,1653483674,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,2,407303,29637,109226666,20802397,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,3,475563,29232,36408888,18940547,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,4,616903,29565,12136296,18807266,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,5,653033,29415,4045432,18794328,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,6,694277,29449,1348477,18789464,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,7,882381,29719,449492,18789341,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_157.min,0,8,842243,29395,149830,18789293,-1
