file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,0,110850,30154,122880000,20866842,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,1,224286,30379,40960000,2509735233,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,2,248871,30556,13653333,411405635,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,3,329301,30313,4551111,19753062,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,4,357931,30340,1517037,883312,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,5,309862,30332,505679,837318,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,6,610772,30774,168559,831222,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,7,435168,30550,56186,830855,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,8,472231,30681,18728,830740,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,9,414712,30605,6242,830740,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,10,334526,30529,2080,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,11,403934,30503,693,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,12,415373,30565,231,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,13,549693,30630,77,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,14,406213,30535,25,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,15,434052,30556,8,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,16,458506,30503,2,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,17,424259,31810,1,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,0,113060,30193,122880000,21100610,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,1,230979,30236,40960000,2536955364,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,2,301695,31341,13653333,390398176,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,3,251099,30221,4551111,20331345,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,4,331009,30646,1517037,738270,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,5,359122,29964,505679,689474,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,6,376953,30057,168559,686585,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,7,643057,29354,56186,686085,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,8,457236,29334,18728,686000,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,9,585896,29537,6242,685982,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,10,660235,30537,2080,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,11,486463,30372,693,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,12,398326,30384,231,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,13,518385,30328,77,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,14,378601,30323,25,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,15,628134,30265,8,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,16,502506,30298,2,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,17,433384,30308,1,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,0,111622,30466,122880000,19538914,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,1,233025,30510,40960000,2447559063,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,2,310238,30540,13653333,404713551,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,3,277239,30438,4551111,20307438,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,4,285554,30480,1517037,754308,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,5,398558,30503,505679,640450,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,6,438306,30469,168559,636548,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,7,428718,30401,56186,636103,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,8,570214,30538,18728,635975,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,9,436476,32083,6242,635973,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,10,704976,32739,2080,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,11,372260,32824,693,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,12,560784,32892,231,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,13,461050,32404,77,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,14,559854,32597,25,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,15,495444,32769,8,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,16,539302,32098,2,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,17,591724,32055,1,635965,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,0,121518,31647,122880000,18838475,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,1,241736,31675,40960000,2574992737,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,2,283377,31947,13653333,395480430,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,3,359219,31952,4551111,18056092,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,4,288968,32019,1517037,850634,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,5,430571,32410,505679,786918,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,6,477770,31158,168559,781993,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,7,561630,31589,56186,781433,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,8,366010,31918,18728,781411,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,9,567432,32116,6242,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,10,665393,31264,2080,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,11,420389,31466,693,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,12,569761,31806,231,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,13,556290,31876,77,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,14,535213,32371,25,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,15,739791,31757,8,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,16,482662,32318,2,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_710.min,0,17,463278,31112,1,781403,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,0,117046,32025,122880000,19229609,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,1,258134,32340,40960000,2514659664,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,2,280235,32520,13653333,431159697,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,3,327546,32000,4551111,22756906,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,4,268966,31995,1517037,669055,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,5,369610,32196,505679,622988,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,6,425385,32590,168559,617181,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,7,474937,31535,56186,616201,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,8,699814,32149,18728,616106,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,9,481207,32317,6242,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,10,590770,31247,2080,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,11,544909,31572,693,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,12,732521,31950,231,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,13,570661,31989,77,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,14,601646,32347,25,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,15,545223,32548,8,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,16,903726,31845,2,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_381.min,0,17,472979,31953,1,616082,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,0,120078,31871,122880000,21958957,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,1,283404,31916,40960000,2523470856,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,2,303567,32148,13653333,428337363,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,3,351582,32213,4551111,17583393,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,4,298906,31405,1517037,817439,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,5,427451,32777,505679,754874,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,6,432368,31910,168559,750076,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,7,588936,31926,56186,750013,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,8,460156,31958,18728,749970,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,9,528877,32307,6242,749971,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,10,600417,31423,2080,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,11,460643,31515,693,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,12,493996,32214,231,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,13,614946,31995,77,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,14,500150,32189,25,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,15,429452,31949,8,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,16,887163,32273,2,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_837.min,0,17,505640,32614,1,749966,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,0,119948,31743,122880000,17998620,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,1,263381,31919,40960000,2441033735,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,2,259261,31872,13653333,396676183,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,3,314696,31911,4551111,23445111,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,4,325891,32018,1517037,905275,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,5,455124,32124,505679,839246,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,6,530200,32643,168559,834514,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,7,413970,31896,56186,833735,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,8,558220,31925,18728,833689,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,9,721246,32054,6242,833689,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,10,617678,31682,2080,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,11,600693,30936,693,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,12,665915,32450,231,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,13,682137,31813,77,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,14,647090,32046,25,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,15,685798,32551,8,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,16,1051071,32145,2,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_27.min,0,17,530855,32122,1,833685,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,0,116801,31738,122880000,19904660,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,1,253895,31881,40960000,2618520114,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,2,317727,31809,13653333,406873689,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,3,340965,31894,4551111,21279256,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,4,335903,31940,1517037,801409,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,5,367339,32156,505679,748701,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,6,453607,31832,168559,743801,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,7,441080,32558,56186,743350,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,8,481442,32288,18728,743142,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,9,495437,32967,6242,743142,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,10,492086,31565,2080,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,11,280495,31955,693,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,12,497082,31913,231,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,13,384137,32657,77,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,14,428869,31920,25,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,15,394954,32084,8,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,16,448800,31894,2,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_895.min,0,17,408363,31785,1,743141,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,0,116503,31918,122880000,19874044,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,1,275382,32048,40960000,2477345225,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,2,275586,32192,13653333,396407794,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,3,314721,31850,4551111,20885454,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,4,301652,31059,1517037,855094,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,5,399539,31166,505679,811910,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,6,620583,32067,168559,806447,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,7,471236,31827,56186,805448,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,8,681561,31927,18728,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,9,396003,31875,6242,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,10,451263,32280,2080,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,11,438496,32776,693,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,12,480626,31815,231,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,13,459448,31577,77,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,14,436362,31738,25,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,15,425499,32119,8,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,16,605338,31007,2,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_109.min,0,17,324218,31643,1,805216,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_538.min,0,0,119233,32345,122880000,19693168,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_538.min,0,1,288800,32090,40960000,2571011480,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_538.min,0,2,309021,32223,13653333,396183870,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_538.min,0,3,275365,32240,4551111,19680006,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_538.min,0,4,309257,31811,1517037,931022,-1
