file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,0,146205,32664,122880000,1164014918,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,1,306084,33058,40960000,2691193455,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,2,287244,33016,13653333,503838457,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,3,287110,33030,4551111,134636987,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,4,352602,33039,1517037,105614013,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,5,459768,32991,505679,103251217,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,6,624289,33014,168559,103017434,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,7,663131,31484,56186,102969168,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,8,847037,31200,18728,102965074,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,9,918220,31925,6242,102964843,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,10,947937,31229,2080,102964729,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,11,1079776,31895,693,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,12,1084134,31386,231,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,13,1921382,31998,77,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,14,1005415,31854,25,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,15,960225,31461,8,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,16,1837722,31984,2,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,17,1746211,32528,1,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,0,144353,31816,122880000,1104764696,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,1,263539,31441,40960000,2672635092,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,2,294792,31871,13653333,497572177,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,3,359679,31995,4551111,132905360,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,4,337419,31797,1517037,102528531,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,5,458788,31727,505679,99936876,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,6,479131,31266,168559,99648676,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,7,562887,31414,56186,99616721,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,8,871765,31886,18728,99611485,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,9,729810,31878,6242,99611020,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,10,834748,31301,2080,99610984,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,11,889074,31921,693,99610963,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,12,1070042,31913,231,99610963,-1
