file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
clusters/natural/google_trace/approx_quincy/medium/217.min,0,0,74935,64264,1488480000,24701932,7317
clusters/natural/google_trace/approx_quincy/medium/217.min,0,1,184442,64075,496160000,4062441,6908
clusters/natural/google_trace/approx_quincy/medium/217.min,0,2,316588,68982,165386666,112923,7210
clusters/natural/google_trace/approx_quincy/medium/217.min,0,3,307347,62128,55128888,110112,7176
clusters/natural/google_trace/approx_quincy/medium/217.min,0,4,251444,61466,18376296,113476,7153
clusters/natural/google_trace/approx_quincy/medium/217.min,0,5,282128,62018,6125432,104307,7161
clusters/natural/google_trace/approx_quincy/medium/217.min,0,6,257659,62157,2041810,46427,7167
clusters/natural/google_trace/approx_quincy/medium/217.min,0,7,249834,61570,680603,32463,7083
clusters/natural/google_trace/approx_quincy/medium/217.min,0,8,299256,61533,226867,29109,6971
clusters/natural/google_trace/approx_quincy/medium/217.min,0,9,277836,61229,75622,27625,6904
clusters/natural/google_trace/approx_quincy/medium/217.min,0,10,297088,61363,25207,27469,6741
clusters/natural/google_trace/approx_quincy/medium/217.min,0,11,324217,62002,8402,27469,6712
clusters/natural/google_trace/approx_quincy/medium/217.min,0,12,363636,60995,2800,27469,6599
clusters/natural/google_trace/approx_quincy/medium/217.min,0,13,327654,61501,933,27469,6664
clusters/natural/google_trace/approx_quincy/medium/217.min,0,14,358529,62957,311,27469,6649
clusters/natural/google_trace/approx_quincy/medium/217.min,0,15,361623,61436,103,27469,6588
clusters/natural/google_trace/approx_quincy/medium/217.min,0,16,421886,61047,34,27469,6703
clusters/natural/google_trace/approx_quincy/medium/217.min,0,17,331433,61556,11,27469,6729
clusters/natural/google_trace/approx_quincy/medium/217.min,0,18,427629,61328,3,27469,6704
clusters/natural/google_trace/approx_quincy/medium/217.min,0,19,289882,61096,1,27469,6734
clusters/natural/google_trace/approx_quincy/medium/934.min,0,0,69749,55237,1488480000,23872856,7317
clusters/natural/google_trace/approx_quincy/medium/934.min,0,1,164086,59016,496160000,11107854,6459
clusters/natural/google_trace/approx_quincy/medium/934.min,0,2,294742,62524,165386666,117403,7234
clusters/natural/google_trace/approx_quincy/medium/934.min,0,3,291410,61355,55128888,117785,7142
clusters/natural/google_trace/approx_quincy/medium/934.min,0,4,253472,62083,18376296,111990,7176
clusters/natural/google_trace/approx_quincy/medium/934.min,0,5,221558,62500,6125432,112956,7165
clusters/natural/google_trace/approx_quincy/medium/934.min,0,6,259093,62912,2041810,49412,7204
clusters/natural/google_trace/approx_quincy/medium/934.min,0,7,304907,62048,680603,32222,7069
clusters/natural/google_trace/approx_quincy/medium/934.min,0,8,288652,61855,226867,28561,6967
clusters/natural/google_trace/approx_quincy/medium/934.min,0,9,282823,61076,75622,26921,6883
clusters/natural/google_trace/approx_quincy/medium/934.min,0,10,306563,61195,25207,26781,6805
clusters/natural/google_trace/approx_quincy/medium/934.min,0,11,396300,61437,8402,26781,6666
clusters/natural/google_trace/approx_quincy/medium/934.min,0,12,323801,61336,2800,26781,6705
clusters/natural/google_trace/approx_quincy/medium/934.min,0,13,376313,61128,933,26781,6708
clusters/natural/google_trace/approx_quincy/medium/934.min,0,14,313642,64079,311,26781,6780
clusters/natural/google_trace/approx_quincy/medium/934.min,0,15,358464,62951,103,26781,6723
clusters/natural/google_trace/approx_quincy/medium/934.min,0,16,353685,62626,34,26781,6606
clusters/natural/google_trace/approx_quincy/medium/934.min,0,17,432750,63845,11,26781,6726
clusters/natural/google_trace/approx_quincy/medium/934.min,0,18,391090,63196,3,26781,6726
clusters/natural/google_trace/approx_quincy/medium/934.min,0,19,262642,63363,1,26781,6871
clusters/natural/google_trace/approx_quincy/medium/32.min,0,0,75533,57436,1488480000,24189845,7317
clusters/natural/google_trace/approx_quincy/medium/32.min,0,1,178734,62499,496160000,13921354,6243
clusters/natural/google_trace/approx_quincy/medium/32.min,0,2,404495,65010,165386666,116974,7236
clusters/natural/google_trace/approx_quincy/medium/32.min,0,3,255008,65136,55128888,112550,7154
clusters/natural/google_trace/approx_quincy/medium/32.min,0,4,239031,64170,18376296,107226,7175
clusters/natural/google_trace/approx_quincy/medium/32.min,0,5,319720,65332,6125432,105194,7142
clusters/natural/google_trace/approx_quincy/medium/32.min,0,6,325801,64721,2041810,47729,7187
clusters/natural/google_trace/approx_quincy/medium/32.min,0,7,306542,64385,680603,31899,7043
clusters/natural/google_trace/approx_quincy/medium/32.min,0,8,289640,64891,226867,28421,6961
clusters/natural/google_trace/approx_quincy/medium/32.min,0,9,316461,64459,75622,27119,6869
clusters/natural/google_trace/approx_quincy/medium/32.min,0,10,415733,63878,25207,26964,6701
clusters/natural/google_trace/approx_quincy/medium/32.min,0,11,401202,64170,8402,26964,6691
clusters/natural/google_trace/approx_quincy/medium/32.min,0,12,384842,63916,2800,26964,6677
clusters/natural/google_trace/approx_quincy/medium/32.min,0,13,417376,63296,933,26964,6648
clusters/natural/google_trace/approx_quincy/medium/32.min,0,14,414988,64093,311,26964,6630
clusters/natural/google_trace/approx_quincy/medium/32.min,0,15,412270,63325,103,26964,6664
clusters/natural/google_trace/approx_quincy/medium/32.min,0,16,347257,63982,34,26964,6655
clusters/natural/google_trace/approx_quincy/medium/32.min,0,17,383609,63787,11,26964,6705
clusters/natural/google_trace/approx_quincy/medium/32.min,0,18,414311,63378,3,26964,6768
clusters/natural/google_trace/approx_quincy/medium/32.min,0,19,416383,63067,1,26964,6897
clusters/natural/google_trace/approx_quincy/medium/335.min,0,0,74765,56851,1488480000,24445722,7317
clusters/natural/google_trace/approx_quincy/medium/335.min,0,1,176528,60642,496160000,12754627,6350
clusters/natural/google_trace/approx_quincy/medium/335.min,0,2,350434,65299,165386666,114563,7221
clusters/natural/google_trace/approx_quincy/medium/335.min,0,3,197118,64213,55128888,120232,7162
clusters/natural/google_trace/approx_quincy/medium/335.min,0,4,295251,64842,18376296,121977,7141
clusters/natural/google_trace/approx_quincy/medium/335.min,0,5,267886,65047,6125432,106050,7166
clusters/natural/google_trace/approx_quincy/medium/335.min,0,6,318468,64643,2041810,48975,7190
clusters/natural/google_trace/approx_quincy/medium/335.min,0,7,305030,64673,680603,31846,7060
clusters/natural/google_trace/approx_quincy/medium/335.min,0,8,291671,65636,226867,28467,6967
clusters/natural/google_trace/approx_quincy/medium/335.min,0,9,337142,64641,75622,27084,6930
clusters/natural/google_trace/approx_quincy/medium/335.min,0,10,348768,64778,25207,26948,6742
clusters/natural/google_trace/approx_quincy/medium/335.min,0,11,355719,65415,8402,26948,6679
clusters/natural/google_trace/approx_quincy/medium/335.min,0,12,398466,63655,2800,26948,6618
clusters/natural/google_trace/approx_quincy/medium/335.min,0,13,376629,62744,933,26948,6644
clusters/natural/google_trace/approx_quincy/medium/335.min,0,14,351917,63712,311,26948,6739
clusters/natural/google_trace/approx_quincy/medium/335.min,0,15,327138,63738,103,26948,6736
clusters/natural/google_trace/approx_quincy/medium/335.min,0,16,277954,66628,34,26948,6777
clusters/natural/google_trace/approx_quincy/medium/335.min,0,17,328280,67718,11,26948,6770
clusters/natural/google_trace/approx_quincy/medium/335.min,0,18,311444,63922,3,26948,6792
clusters/natural/google_trace/approx_quincy/medium/335.min,0,19,276510,62549,1,26948,6864
clusters/natural/google_trace/approx_quincy/medium/474.min,0,0,69176,54890,1488480000,24747957,7317
clusters/natural/google_trace/approx_quincy/medium/474.min,0,1,197753,64523,496160000,4942776,6822
clusters/natural/google_trace/approx_quincy/medium/474.min,0,2,375765,63225,165386666,116363,7207
clusters/natural/google_trace/approx_quincy/medium/474.min,0,3,232941,62649,55128888,125232,7165
clusters/natural/google_trace/approx_quincy/medium/474.min,0,4,251561,62068,18376296,122572,7171
clusters/natural/google_trace/approx_quincy/medium/474.min,0,5,250668,75897,6125432,94842,7181
clusters/natural/google_trace/approx_quincy/medium/474.min,0,6,246830,63231,2041810,52564,7165
clusters/natural/google_trace/approx_quincy/medium/474.min,0,7,294316,63524,680603,31818,7044
clusters/natural/google_trace/approx_quincy/medium/474.min,0,8,292478,64638,226867,28490,6873
clusters/natural/google_trace/approx_quincy/medium/474.min,0,9,318859,65972,75622,27024,6899
clusters/natural/google_trace/approx_quincy/medium/474.min,0,10,295958,67667,25207,26855,6835
clusters/natural/google_trace/approx_quincy/medium/474.min,0,11,274794,67584,8402,26855,6793
clusters/natural/google_trace/approx_quincy/medium/474.min,0,12,337767,66606,2800,26855,6831
clusters/natural/google_trace/approx_quincy/medium/474.min,0,13,433990,66060,933,26855,6762
clusters/natural/google_trace/approx_quincy/medium/474.min,0,14,313111,66623,311,26855,6711
clusters/natural/google_trace/approx_quincy/medium/474.min,0,15,396771,66384,103,26855,6748
clusters/natural/google_trace/approx_quincy/medium/474.min,0,16,370290,66364,34,26855,6701
clusters/natural/google_trace/approx_quincy/medium/474.min,0,17,400170,66648,11,26855,6698
clusters/natural/google_trace/approx_quincy/medium/474.min,0,18,431283,70446,3,26855,6679
clusters/natural/google_trace/approx_quincy/medium/474.min,0,19,261515,68810,1,26855,6863
clusters/natural/google_trace/approx_quincy/medium/651.min,0,0,87121,61455,1488480000,25010050,7317
clusters/natural/google_trace/approx_quincy/medium/651.min,0,1,191344,65985,496160000,12271637,6369
clusters/natural/google_trace/approx_quincy/medium/651.min,0,2,419341,69201,165386666,117094,7239
clusters/natural/google_trace/approx_quincy/medium/651.min,0,3,280224,68438,55128888,109052,7200
clusters/natural/google_trace/approx_quincy/medium/651.min,0,4,292421,69200,18376296,117028,7157
clusters/natural/google_trace/approx_quincy/medium/651.min,0,5,266614,68951,6125432,110908,7150
clusters/natural/google_trace/approx_quincy/medium/651.min,0,6,295167,68834,2041810,51769,7166
clusters/natural/google_trace/approx_quincy/medium/651.min,0,7,324516,65316,680603,32051,7057
clusters/natural/google_trace/approx_quincy/medium/651.min,0,8,319782,66745,226867,28409,7010
clusters/natural/google_trace/approx_quincy/medium/651.min,0,9,300572,63786,75622,26788,6894
clusters/natural/google_trace/approx_quincy/medium/651.min,0,10,321437,66470,25207,26668,6762
clusters/natural/google_trace/approx_quincy/medium/651.min,0,11,356773,66628,8402,26668,6780
clusters/natural/google_trace/approx_quincy/medium/651.min,0,12,398943,65656,2800,26668,6682
clusters/natural/google_trace/approx_quincy/medium/651.min,0,13,453778,61534,933,26668,6692
clusters/natural/google_trace/approx_quincy/medium/651.min,0,14,317500,62596,311,26668,6741
clusters/natural/google_trace/approx_quincy/medium/651.min,0,15,354707,65679,103,26668,6661
clusters/natural/google_trace/approx_quincy/medium/651.min,0,16,423013,65343,34,26668,6669
clusters/natural/google_trace/approx_quincy/medium/651.min,0,17,494360,66111,11,26668,6714
clusters/natural/google_trace/approx_quincy/medium/651.min,0,18,367270,66014,3,26668,6821
clusters/natural/google_trace/approx_quincy/medium/651.min,0,19,314881,66114,1,26668,6856
clusters/natural/google_trace/approx_quincy/medium/123.min,0,0,75448,58412,1488480000,24330630,7317
clusters/natural/google_trace/approx_quincy/medium/123.min,0,1,179526,61946,496160000,12096173,6354
clusters/natural/google_trace/approx_quincy/medium/123.min,0,2,457263,70218,165386666,116617,7225
clusters/natural/google_trace/approx_quincy/medium/123.min,0,3,357794,65079,55128888,123748,7113
clusters/natural/google_trace/approx_quincy/medium/123.min,0,4,312329,63403,18376296,122259,7132
clusters/natural/google_trace/approx_quincy/medium/123.min,0,5,253947,72529,6125432,93254,7186
clusters/natural/google_trace/approx_quincy/medium/123.min,0,6,260921,64387,2041810,49204,7145
clusters/natural/google_trace/approx_quincy/medium/123.min,0,7,298935,63719,680603,32585,7028
clusters/natural/google_trace/approx_quincy/medium/123.min,0,8,277407,69716,226867,28990,6996
clusters/natural/google_trace/approx_quincy/medium/123.min,0,9,289867,64428,75622,27745,6860
clusters/natural/google_trace/approx_quincy/medium/123.min,0,10,297570,63339,25207,27625,6700
clusters/natural/google_trace/approx_quincy/medium/123.min,0,11,355369,69084,8402,27624,6699
clusters/natural/google_trace/approx_quincy/medium/123.min,0,12,333741,64347,2800,27624,6716
clusters/natural/google_trace/approx_quincy/medium/123.min,0,13,506815,66724,933,27624,6717
