file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/natural/road/road_flow_02_DE_b.min,0,0,729302,3093,1172428266,7239381240,-1
general/natural/road/road_flow_02_DE_b.min,0,1,1257004,3047,390809422,8027502000,-1
general/natural/road/road_flow_02_DE_b.min,0,2,1086789,3163,130269807,3785993280,-1
general/natural/road/road_flow_02_DE_b.min,0,3,1120208,3417,43423269,905580360,-1
general/natural/road/road_flow_02_DE_b.min,0,4,1483930,3261,14474423,471149160,-1
general/natural/road/road_flow_02_DE_b.min,0,5,1677353,3367,4824807,445238760,-1
general/natural/road/road_flow_02_DE_b.min,0,6,1749991,3349,1608269,443788320,-1
general/natural/road/road_flow_02_DE_b.min,0,7,1732734,3270,536089,443712480,-1
general/natural/road/road_flow_02_DE_b.min,0,8,1394665,3135,178696,443703360,-1
general/natural/road/road_flow_02_DE_b.min,0,9,1408938,3356,59565,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,10,1138839,3372,19855,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,11,826937,3163,6618,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,12,972644,3349,2206,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,13,1225188,3370,735,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,14,999020,3136,245,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,15,1000913,3109,81,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,16,882462,3236,27,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,17,1006857,3086,9,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,18,1034464,3163,3,443703120,-1
general/natural/road/road_flow_02_DE_b.min,0,19,1004381,3196,1,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,0,715689,2838,1172428266,7239381240,-1
general/natural/road/road_flow_02_DE_b.min,1,1,1252703,3136,390809422,8027502000,-1
general/natural/road/road_flow_02_DE_b.min,1,2,1089292,3075,130269807,3785993280,-1
general/natural/road/road_flow_02_DE_b.min,1,3,1119835,3380,43423269,905580360,-1
general/natural/road/road_flow_02_DE_b.min,1,4,1483476,3213,14474423,471149160,-1
general/natural/road/road_flow_02_DE_b.min,1,5,1674449,3303,4824807,445238760,-1
general/natural/road/road_flow_02_DE_b.min,1,6,1749547,3242,1608269,443788320,-1
general/natural/road/road_flow_02_DE_b.min,1,7,1738474,3165,536089,443712480,-1
general/natural/road/road_flow_02_DE_b.min,1,8,1399950,3274,178696,443703360,-1
general/natural/road/road_flow_02_DE_b.min,1,9,1407124,3226,59565,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,10,1138478,3199,19855,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,11,825583,3139,6618,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,12,962897,3258,2206,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,13,1226681,3259,735,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,14,997153,3220,245,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,15,1001680,3235,81,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,16,877755,3107,27,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,17,1014102,3252,9,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,18,1037289,3110,3,443703120,-1
general/natural/road/road_flow_02_DE_b.min,1,19,1001074,3109,1,443703120,-1
general/natural/road/road_flow_02_DE_b.min,2,0,719171,2953,1172428266,7239381240,-1
general/natural/road/road_flow_02_DE_b.min,2,1,1258373,3073,390809422,8027502000,-1
