file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/natural/road/road_flow_07_TX_a.min,0,0,Timeout,Timeout,-1,-1,-1
general/natural/road/road_flow_05_WI_e.min,0,0,Timeout,Timeout,-1,-1,-1
general/natural/road/road_flow_05_WI_a.min,0,0,Timeout,Timeout,-1,-1,-1
general/natural/road/road_flow_06_FL_c.min,0,0,Timeout,Timeout,-1,-1,-1
general/natural/road/road_flow_07_TX_d.min,0,0,Timeout,Timeout,-1,-1,-1
general/natural/road/road_flow_07_TX_b.min,0,0,Timeout,Timeout,-1,-1,-1
general/natural/road/road_flow_02_DE_e.min,0,0,425398,3094,1172428266,6629199960,-1
general/natural/road/road_flow_02_DE_e.min,0,1,1575122,3235,390809422,8239423200,-1
general/natural/road/road_flow_02_DE_e.min,0,2,1079409,3138,130269807,4080391080,-1
general/natural/road/road_flow_02_DE_e.min,0,3,760579,3169,43423269,1122866640,-1
general/natural/road/road_flow_02_DE_e.min,0,4,1291347,3250,14474423,703022280,-1
general/natural/road/road_flow_02_DE_e.min,0,5,1321668,3420,4824807,677176800,-1
general/natural/road/road_flow_02_DE_e.min,0,6,1842071,3364,1608269,675535560,-1
general/natural/road/road_flow_02_DE_e.min,0,7,938744,3145,536089,675467040,-1
general/natural/road/road_flow_02_DE_e.min,0,8,568191,3141,178696,675456480,-1
general/natural/road/road_flow_02_DE_e.min,0,9,557283,3372,59565,675452640,-1
general/natural/road/road_flow_02_DE_e.min,0,10,619607,3464,19855,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,11,533441,3315,6618,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,12,540287,3398,2206,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,13,541337,3321,735,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,14,538267,3384,245,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,15,579405,3340,81,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,16,551920,3392,27,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,17,555238,3329,9,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,18,552430,3357,3,675452520,-1
general/natural/road/road_flow_02_DE_e.min,0,19,575641,3430,1,675452520,-1
general/natural/road/road_flow_02_DE_e.min,1,0,500851,3536,1172428266,6629199960,-1
general/natural/road/road_flow_02_DE_e.min,1,1,1587220,3130,390809422,8239423200,-1
general/natural/road/road_flow_02_DE_e.min,1,2,1077943,3085,130269807,4080391080,-1
general/natural/road/road_flow_02_DE_e.min,1,3,761116,3169,43423269,1122866640,-1
general/natural/road/road_flow_02_DE_e.min,1,4,1293469,3160,14474423,703022280,-1
general/natural/road/road_flow_02_DE_e.min,1,5,1322855,3237,4824807,677176800,-1
general/natural/road/road_flow_02_DE_e.min,1,6,1820196,3233,1608269,675535560,-1
general/natural/road/road_flow_02_DE_e.min,1,7,940945,3175,536089,675467040,-1
general/natural/road/road_flow_02_DE_e.min,1,8,568326,3158,178696,675456480,-1
general/natural/road/road_flow_02_DE_e.min,1,9,556578,3300,59565,675452640,-1
general/natural/road/road_flow_02_DE_e.min,1,10,620299,3356,19855,675452520,-1
general/natural/road/road_flow_02_DE_e.min,1,11,533236,3386,6618,675452520,-1
