file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/natural/road/road_paths_02_DE_d.min,0,0,877800,3611,1172428266,21392197,-1
general/natural/road/road_paths_02_DE_d.min,0,1,2229747,3757,390809422,17306418,-1
general/natural/road/road_paths_02_DE_d.min,0,2,2508471,3505,130269807,8480228,-1
general/natural/road/road_paths_02_DE_d.min,0,3,1843750,3519,43423269,2297279,-1
general/natural/road/road_paths_02_DE_d.min,0,4,2889711,3380,14474423,1360996,-1
general/natural/road/road_paths_02_DE_d.min,0,5,2339246,3491,4824807,1297582,-1
general/natural/road/road_paths_02_DE_d.min,0,6,3140912,3605,1608269,1294156,-1
general/natural/road/road_paths_02_DE_d.min,0,7,3784363,3591,536089,1294023,-1
general/natural/road/road_paths_02_DE_d.min,0,8,3527562,3608,178696,1294014,-1
general/natural/road/road_paths_02_DE_d.min,0,9,2189653,3810,59565,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,10,3049576,5214,19855,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,11,2171069,3618,6618,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,12,1630513,3648,2206,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,13,1836462,3644,735,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,14,1921984,3951,245,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,15,1413860,3578,81,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,16,1121481,3522,27,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,17,1566947,3519,9,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,18,1618188,3671,3,1294011,-1
general/natural/road/road_paths_02_DE_d.min,0,19,1457148,3554,1,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,0,839937,3342,1172428266,21392197,-1
general/natural/road/road_paths_02_DE_d.min,1,1,1972330,3558,390809422,17306418,-1
general/natural/road/road_paths_02_DE_d.min,1,2,2448073,3507,130269807,8480228,-1
general/natural/road/road_paths_02_DE_d.min,1,3,2010614,3813,43423269,2297279,-1
general/natural/road/road_paths_02_DE_d.min,1,4,2781557,3433,14474423,1360996,-1
general/natural/road/road_paths_02_DE_d.min,1,5,2394575,3729,4824807,1297582,-1
general/natural/road/road_paths_02_DE_d.min,1,6,3250234,3398,1608269,1294156,-1
general/natural/road/road_paths_02_DE_d.min,1,7,3402092,3542,536089,1294023,-1
general/natural/road/road_paths_02_DE_d.min,1,8,3511476,3721,178696,1294014,-1
general/natural/road/road_paths_02_DE_d.min,1,9,2330544,3746,59565,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,10,2072141,3681,19855,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,11,1789476,3635,6618,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,12,1770476,3574,2206,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,13,1754600,3441,735,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,14,1732216,3783,245,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,15,1374276,3630,81,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,16,1115914,3540,27,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,17,1566562,3659,9,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,18,1808686,4061,3,1294011,-1
general/natural/road/road_paths_02_DE_d.min,1,19,1330553,3475,1,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,0,850573,3372,1172428266,21392197,-1
general/natural/road/road_paths_02_DE_d.min,2,1,1905917,3594,390809422,17306418,-1
general/natural/road/road_paths_02_DE_d.min,2,2,2498251,3637,130269807,8480228,-1
general/natural/road/road_paths_02_DE_d.min,2,3,1861225,3592,43423269,2297279,-1
general/natural/road/road_paths_02_DE_d.min,2,4,2784052,3546,14474423,1360996,-1
general/natural/road/road_paths_02_DE_d.min,2,5,2457878,3756,4824807,1297582,-1
general/natural/road/road_paths_02_DE_d.min,2,6,3235539,3720,1608269,1294156,-1
general/natural/road/road_paths_02_DE_d.min,2,7,4103236,4039,536089,1294023,-1
general/natural/road/road_paths_02_DE_d.min,2,8,3811043,3772,178696,1294014,-1
general/natural/road/road_paths_02_DE_d.min,2,9,2120491,3827,59565,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,10,2128975,3805,19855,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,11,1851500,3796,6618,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,12,1687683,3830,2206,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,13,1898259,3868,735,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,14,1830820,3904,245,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,15,1452135,3839,81,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,16,1168152,3825,27,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,17,1628641,3767,9,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,18,1670370,3866,3,1294011,-1
general/natural/road/road_paths_02_DE_d.min,2,19,1421923,4184,1,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,0,836802,3442,1172428266,21392197,-1
general/natural/road/road_paths_02_DE_d.min,3,1,1871014,3433,390809422,17306418,-1
general/natural/road/road_paths_02_DE_d.min,3,2,2370649,3513,130269807,8480228,-1
general/natural/road/road_paths_02_DE_d.min,3,3,1816478,3375,43423269,2297279,-1
general/natural/road/road_paths_02_DE_d.min,3,4,2601001,3297,14474423,1360996,-1
general/natural/road/road_paths_02_DE_d.min,3,5,2397541,3850,4824807,1297582,-1
general/natural/road/road_paths_02_DE_d.min,3,6,3150772,3707,1608269,1294156,-1
general/natural/road/road_paths_02_DE_d.min,3,7,3538482,3692,536089,1294023,-1
general/natural/road/road_paths_02_DE_d.min,3,8,3577995,4144,178696,1294014,-1
general/natural/road/road_paths_02_DE_d.min,3,9,2094031,3763,59565,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,10,2404986,4138,19855,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,11,1982270,4161,6618,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,12,1806986,4017,2206,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,13,1997394,4012,735,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,14,1907678,3996,245,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,15,1510351,4032,81,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,16,1200787,3994,27,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,17,1671627,3963,9,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,18,1706807,3943,3,1294011,-1
general/natural/road/road_paths_02_DE_d.min,3,19,1446611,4047,1,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,0,944427,3985,1172428266,21392197,-1
general/natural/road/road_paths_02_DE_d.min,4,1,2162314,3774,390809422,17306418,-1
general/natural/road/road_paths_02_DE_d.min,4,2,2413877,3299,130269807,8480228,-1
general/natural/road/road_paths_02_DE_d.min,4,3,1732263,3348,43423269,2297279,-1
general/natural/road/road_paths_02_DE_d.min,4,4,2758082,3525,14474423,1360996,-1
general/natural/road/road_paths_02_DE_d.min,4,5,2417252,3735,4824807,1297582,-1
general/natural/road/road_paths_02_DE_d.min,4,6,3148039,3716,1608269,1294156,-1
general/natural/road/road_paths_02_DE_d.min,4,7,3503232,3707,536089,1294023,-1
general/natural/road/road_paths_02_DE_d.min,4,8,3622352,4258,178696,1294014,-1
general/natural/road/road_paths_02_DE_d.min,4,9,2449164,4056,59565,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,10,2261249,3780,19855,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,11,1800110,3768,6618,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,12,1643986,3840,2206,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,13,1841096,3780,735,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,14,1775643,3837,245,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,15,1407273,3795,81,1294011,-1
general/natural/road/road_paths_02_DE_d.min,4,16,1132300,3699,27,1294011,-1
