test,file,iteration,algorithm_time,total_time
goldberg_gcc_O2,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.898560,3.6261227130889893
goldberg_gcc_O3,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.692058,3.422135353088379
goldberg_clang_O1,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.776973,3.4413020610809326
goldberg_clang_O2,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.729685,3.4016008377075195
goldberg_gcc_O0,clusters/natural/google_trace/quincy/1hour/large_first.min,0,3.675418,4.383933067321777
goldberg_clang_O3,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.747131,3.4223575592041016
goldberg_clang_debug,clusters/natural/google_trace/quincy/1hour/large_first.min,0,3.853411,4.563296794891357
goldberg_gcc_debug,clusters/natural/google_trace/quincy/1hour/large_first.min,0,3.647530,4.353316783905029
goldberg_clang_O0,clusters/natural/google_trace/quincy/1hour/large_first.min,0,3.844344,4.5660693645477295
goldberg_gcc_O1,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.755495,3.405489683151245
goldberg_gcc_O2,clusters/natural/google_trace/quincy/1hour/large_first.min,1,2.671862,3.335508346557617
goldberg_gcc_O3,clusters/natural/google_trace/quincy/1hour/large_first.min,1,2.685872,3.3476054668426514
goldberg_clang_O1,clusters/natural/google_trace/quincy/1hour/large_first.min,1,2.782203,3.446021795272827
goldberg_clang_O2,clusters/natural/google_trace/quincy/1hour/large_first.min,1,2.748945,3.394461154937744
goldberg_gcc_O0,clusters/natural/google_trace/quincy/1hour/large_first.min,1,3.664799,4.371787071228027
goldberg_clang_O3,clusters/natural/google_trace/quincy/1hour/large_first.min,1,2.718649,3.381146192550659
goldberg_clang_debug,clusters/natural/google_trace/quincy/1hour/large_first.min,1,3.849356,4.576794862747192
goldberg_gcc_debug,clusters/natural/google_trace/quincy/1hour/large_first.min,1,3.642934,4.35136342048645
goldberg_clang_O0,clusters/natural/google_trace/quincy/1hour/large_first.min,1,3.845734,4.558892011642456
goldberg_gcc_O1,clusters/natural/google_trace/quincy/1hour/large_first.min,1,2.708933,3.3698983192443848
goldberg_gcc_O2,clusters/natural/google_trace/quincy/1hour/large_first.min,2,2.653572,3.3139266967773438
goldberg_gcc_O3,clusters/natural/google_trace/quincy/1hour/large_first.min,2,2.676739,3.332216739654541
goldberg_clang_O1,clusters/natural/google_trace/quincy/1hour/large_first.min,2,2.739789,3.411292552947998
goldberg_clang_O2,clusters/natural/google_trace/quincy/1hour/large_first.min,2,2.725110,3.3946309089660645
goldberg_gcc_O0,clusters/natural/google_trace/quincy/1hour/large_first.min,2,3.637341,4.34712553024292
goldberg_clang_O3,clusters/natural/google_trace/quincy/1hour/large_first.min,2,2.730563,3.401688575744629
goldberg_clang_debug,clusters/natural/google_trace/quincy/1hour/large_first.min,2,3.836053,4.5606849193573
goldberg_gcc_debug,clusters/natural/google_trace/quincy/1hour/large_first.min,2,3.652458,4.358278036117554
