test,file,iteration,algorithm_time,total_time
relax_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,2.819508,4.021813869476318
relax_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.790376,1.689143419265747
relax_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.769331,1.6802892684936523
relax_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.760065,1.636669635772705
relax_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.803262,1.7059082984924316
relax_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,2.616836,3.8357725143432617
relax_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,1.609901,2.6736066341400146
relax_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.794525,1.694622278213501
relax_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,2.827046,4.078078746795654
relax_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.784116,1.668339490890503
relax_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.770720,1.7040657997131348
relax_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.763321,1.653627872467041
relax_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.798693,1.6852774620056152
relax_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,2.622222,3.835857391357422
relax_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,1.613397,2.6453895568847656
relax_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.789083,1.678379774093628
relax_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,2.844497,4.066748857498169
relax_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,0.790151,1.66819429397583
relax_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,0.776951,1.7296783924102783
relax_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,0.746723,1.641918420791626
relax_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,0.800629,1.7134957313537598
relax_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,2.617513,3.8354156017303467
relax_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,1.608338,2.6520328521728516
relax_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,0.795164,1.7458350658416748
relax_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,2.783004,3.9735727310180664
relax_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,0.789986,1.6745455265045166
relax_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,0.769363,1.6741151809692383
relax_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,0.739189,1.61104154586792
relax_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,0.797444,1.6885147094726562
relax_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,2.618810,3.811879873275757
relax_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,1.611839,2.6485817432403564
relax_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,0.790551,1.6989696025848389
relax_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,2.839462,4.074413061141968
relax_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,0.782662,1.6770243644714355
relax_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,0.768801,1.6808278560638428
relax_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,0.746834,1.642465591430664
relax_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,0.792564,1.6857502460479736
relax_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,2.615835,3.8035829067230225
relax_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,1.602431,2.6355814933776855
relax_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,0.788967,1.6867258548736572
relax_gcc_O0,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,2.967353,10.884979486465454
relax_clang_O3,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,0.948574,6.35932469367981
