test,file,iteration,algorithm_time,total_time
frangioni_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.12058,7.461019992828369
frangioni_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.20929,7.54809045791626
frangioni_clang_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.25952,7.589414596557617
frangioni_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.18991,7.527075529098511
frangioni_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.24592,7.580815076828003
frangioni_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.11642,7.448127746582031
frangioni_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.15444,7.484793663024902
frangioni_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.09678,7.436264753341675
frangioni_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.16858,7.525704860687256
frangioni_gcc_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,7.2153,7.564171314239502
frangioni_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.13341,7.47738242149353
frangioni_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.19619,7.548053026199341
frangioni_clang_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.147,7.485867500305176
frangioni_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.22663,7.568185091018677
frangioni_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.26406,7.602342128753662
frangioni_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.09392,7.444760799407959
frangioni_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.10136,7.437366247177124
frangioni_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.16245,7.502435684204102
frangioni_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.18456,7.516443490982056
frangioni_gcc_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,7.15975,7.51971960067749
frangioni_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.14474,7.481903076171875
frangioni_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.27196,7.607471466064453
frangioni_clang_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.16451,7.500020503997803
frangioni_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.20814,7.561211109161377
frangioni_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.1972,7.546135902404785
frangioni_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.15386,7.489648818969727
frangioni_clang_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.13932,7.473862171173096
frangioni_clang_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.18328,7.521991014480591
frangioni_gcc_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.21762,7.548775911331177
frangioni_gcc_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,7.18037,7.564546585083008
frangioni_clang_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,7.15489,7.493559837341309
frangioni_gcc_O2,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,7.16732,7.51363468170166
frangioni_clang_debug,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,7.18061,7.5122294425964355
frangioni_gcc_O0,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,7.25013,7.602094650268555
frangioni_gcc_O1,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,7.16351,7.503398180007935
frangioni_clang_O3,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,7.13441,7.473161935806274
