test,file,iteration,algorithm_time,total_time
8,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.358361,0.47834205627441406
9,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.342026,0.46172547340393066
14,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.377829,0.5031161308288574
29,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.303119,0.4295639991760254
12,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.336554,0.462083101272583
22,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.294335,0.4209139347076416
17,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.329953,0.4631156921386719
25,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.288463,0.41609811782836914
26,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.373435,0.4980127811431885
21,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.293280,0.41881346702575684
27,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.378302,0.5041790008544922
3,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.741379,0.8689320087432861
13,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.404215,0.5311572551727295
15,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.231407,0.35996580123901367
10,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.345313,0.46623849868774414
5,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.548424,0.6712889671325684
16,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.295917,0.42267370223999023
4,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.612521,0.7381396293640137
28,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.313501,0.4400012493133545
24,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.285233,0.4102511405944824
6,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.528414,0.654080867767334
2,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,1.007568,1.1342568397521973
19,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.303000,0.4288208484649658
7,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.472853,0.600111722946167
20,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.288219,0.4139220714569092
30,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.352465,0.47907090187072754
23,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.328175,0.454470157623291
18,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.301351,0.427417516708374
31,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.356543,0.4818909168243408
11,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.351898,0.47772717475891113
8,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.441357,0.56689453125
9,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.328486,0.45430731773376465
14,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.390050,0.5065903663635254
29,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.302604,0.4229850769042969
12,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.340012,0.4655780792236328
22,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.291060,0.4176344871520996
17,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.322476,0.4467322826385498
25,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.298369,0.4231228828430176
26,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.381177,0.5012197494506836
21,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.303606,0.4305763244628906
27,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.377046,0.5041244029998779
3,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.747041,0.8722710609436035
13,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.411802,0.5370950698852539
15,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.241538,0.36174559593200684
10,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.344779,0.47086620330810547
5,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.477836,0.5978522300720215
16,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.305971,0.43147754669189453
4,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.629144,0.7533962726593018
28,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.310774,0.4370229244232178
24,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.321378,0.44831013679504395
6,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.534289,0.6591393947601318
2,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,1.013724,1.1396634578704834
19,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.297276,0.4226858615875244
7,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.464920,0.5907535552978516
20,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.285360,0.4139556884765625
30,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.344833,0.4724102020263672
23,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.326863,0.45375800132751465
18,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.304018,0.4300997257232666
