test,file,iteration,algorithm_time,total_time
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,0,14.574917,14.734325170516968
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.621298,0.7616565227508545
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,1,14.617882,14.77405571937561
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.601800,0.7529139518737793
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,2,14.455603,14.612172603607178
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.606252,0.7499504089355469
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,3,14.581578,14.738088130950928
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.603560,0.7488811016082764
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,4,14.640924,14.803089141845703
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.603091,0.7554998397827148
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,5,14.587059,14.740682125091553
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,5,0.604836,0.7543153762817383
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,6,14.593971,14.75337028503418
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,6,0.601031,0.7487976551055908
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,7,14.514428,14.669562339782715
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,7,0.608919,0.7566401958465576
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,8,14.522672,14.683346271514893
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,8,0.601361,0.7483596801757812
wave,clusters/natural/google_trace/quincy/1hour/small_first.min,9,14.554423,14.70887565612793
fifo,clusters/natural/google_trace/quincy/1hour/small_first.min,9,0.597354,0.7497639656066895
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.002303,0.06405353546142578
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.001325,0.04979562759399414
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.004691,0.07078123092651367
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.001271,0.055452585220336914
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.002314,0.05999898910522461
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.001273,0.05113983154296875
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.002414,0.061675310134887695
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.001308,0.05760908126831055
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,4,0.002341,0.060898780822753906
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,4,0.001305,0.05146217346191406
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,5,0.002426,0.0613558292388916
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,5,0.001279,0.05469822883605957
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,6,0.002388,0.06569576263427734
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,6,0.001265,0.05676841735839844
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,7,0.002289,0.05926942825317383
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,7,0.001328,0.058008670806884766
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,8,0.002590,0.06487798690795898
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,8,0.001430,0.05926966667175293
wave,clusters/natural/google_trace/quincy/1hour/small_last.min,9,0.002600,0.06237649917602539
fifo,clusters/natural/google_trace/quincy/1hour/small_last.min,9,0.001443,0.053803205490112305
wave,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,391.855750,392.71317315101624
