test,file,iteration,algorithm_time,total_time
all,clusters/natural/google_trace/octopus/1hour/small_first.min,0,1.321281,1.4511325359344482
none,clusters/natural/google_trace/octopus/1hour/small_first.min,0,59.120593,59.2324275970459
all,clusters/natural/google_trace/octopus/1hour/small_first.min,1,1.317110,1.4325017929077148
none,clusters/natural/google_trace/octopus/1hour/small_first.min,1,58.791906,58.91255235671997
all,clusters/natural/google_trace/octopus/1hour/small_first.min,2,1.335124,1.4516983032226562
none,clusters/natural/google_trace/octopus/1hour/small_first.min,2,59.068339,59.18530249595642
all,clusters/natural/google_trace/octopus/1hour/small_first.min,3,1.325250,1.4384372234344482
none,clusters/natural/google_trace/octopus/1hour/small_first.min,3,59.027060,59.144582748413086
all,clusters/natural/google_trace/octopus/1hour/small_first.min,4,1.324868,1.4490725994110107
none,clusters/natural/google_trace/octopus/1hour/small_first.min,4,59.035495,59.15835118293762
all,clusters/natural/google_trace/octopus/1hour/small_first.min,5,1.382826,1.5101675987243652
none,clusters/natural/google_trace/octopus/1hour/small_first.min,5,59.091801,59.20979714393616
all,clusters/natural/google_trace/octopus/1hour/small_first.min,6,1.332239,1.4431872367858887
none,clusters/natural/google_trace/octopus/1hour/small_first.min,6,59.058642,59.17752265930176
all,clusters/natural/google_trace/octopus/1hour/small_first.min,7,1.319402,1.4286036491394043
none,clusters/natural/google_trace/octopus/1hour/small_first.min,7,58.860238,58.97568607330322
all,clusters/natural/google_trace/octopus/1hour/small_first.min,8,1.323791,1.443450927734375
none,clusters/natural/google_trace/octopus/1hour/small_first.min,8,58.833219,58.943729877471924
all,clusters/natural/google_trace/octopus/1hour/small_first.min,9,1.320515,1.4331791400909424
none,clusters/natural/google_trace/octopus/1hour/small_first.min,9,54.293300,54.404170989990234
all,clusters/natural/google_trace/octopus/1hour/small_first.min,10,1.325484,1.4327354431152344
none,clusters/natural/google_trace/octopus/1hour/small_first.min,10,58.734481,58.85327410697937
all,clusters/natural/google_trace/octopus/1hour/small_first.min,11,1.319793,1.4309182167053223
none,clusters/natural/google_trace/octopus/1hour/small_first.min,11,58.878492,58.99305438995361
all,clusters/natural/google_trace/octopus/1hour/small_first.min,12,1.330964,1.446852207183838
none,clusters/natural/google_trace/octopus/1hour/small_first.min,12,59.092712,59.21092128753662
all,clusters/natural/google_trace/octopus/1hour/small_first.min,13,1.333432,1.4432759284973145
none,clusters/natural/google_trace/octopus/1hour/small_first.min,13,59.016011,59.13563847541809
all,clusters/natural/google_trace/octopus/1hour/small_first.min,14,1.328303,1.4341847896575928
none,clusters/natural/google_trace/octopus/1hour/small_first.min,14,58.799122,58.916584491729736
all,clusters/natural/google_trace/octopus/1hour/small_first.min,15,1.318434,1.4301469326019287
none,clusters/natural/google_trace/octopus/1hour/small_first.min,15,58.813401,58.935710430145264
all,clusters/natural/google_trace/octopus/1hour/small_first.min,16,1.326887,1.4416232109069824
none,clusters/natural/google_trace/octopus/1hour/small_first.min,16,58.769305,58.88003945350647
all,clusters/natural/google_trace/octopus/1hour/small_first.min,17,1.326578,1.4402403831481934
none,clusters/natural/google_trace/octopus/1hour/small_first.min,17,58.866582,58.98272204399109
all,clusters/natural/google_trace/octopus/1hour/small_first.min,18,1.329981,1.4425063133239746
none,clusters/natural/google_trace/octopus/1hour/small_first.min,18,59.197991,59.3075475692749
all,clusters/natural/google_trace/octopus/1hour/small_first.min,19,1.332798,1.4489448070526123
none,clusters/natural/google_trace/octopus/1hour/small_first.min,19,59.012132,59.12551522254944
all,clusters/natural/google_trace/octopus/1hour/small_first.min,20,1.356712,1.4775679111480713
none,clusters/natural/google_trace/octopus/1hour/small_first.min,20,58.966243,59.081705808639526
all,clusters/natural/google_trace/octopus/1hour/small_first.min,21,1.364894,1.4739305973052979
none,clusters/natural/google_trace/octopus/1hour/small_first.min,21,58.938752,59.046942710876465
all,clusters/natural/google_trace/octopus/1hour/small_first.min,22,1.318699,1.4413127899169922
none,clusters/natural/google_trace/octopus/1hour/small_first.min,22,58.855090,58.97224235534668
all,clusters/natural/google_trace/octopus/1hour/small_first.min,23,1.317020,1.4395394325256348
none,clusters/natural/google_trace/octopus/1hour/small_first.min,23,58.957104,59.072402238845825
all,clusters/natural/google_trace/octopus/1hour/small_first.min,24,1.320632,1.446077585220337
none,clusters/natural/google_trace/octopus/1hour/small_first.min,24,59.113059,59.228554248809814
all,clusters/natural/google_trace/octopus/1hour/small_first.min,25,1.300519,1.4145252704620361
none,clusters/natural/google_trace/octopus/1hour/small_first.min,25,58.827187,58.95113706588745
all,clusters/natural/google_trace/octopus/1hour/small_first.min,26,1.316741,1.4354193210601807
none,clusters/natural/google_trace/octopus/1hour/small_first.min,26,58.809600,58.926013231277466
all,clusters/natural/google_trace/octopus/1hour/small_first.min,27,1.327485,1.4392118453979492
none,clusters/natural/google_trace/octopus/1hour/small_first.min,27,59.330036,59.44877076148987
all,clusters/natural/google_trace/octopus/1hour/small_first.min,28,1.319814,1.4321818351745605
none,clusters/natural/google_trace/octopus/1hour/small_first.min,28,59.093376,59.21353840827942
all,clusters/natural/google_trace/octopus/1hour/small_first.min,29,1.364404,1.4761497974395752
none,clusters/natural/google_trace/octopus/1hour/small_first.min,29,58.947764,59.062697649002075
all,clusters/natural/google_trace/octopus/1hour/small_last.min,0,0.005962,0.07757401466369629
none,clusters/natural/google_trace/octopus/1hour/small_last.min,0,0.003973,0.06487202644348145
all,clusters/natural/google_trace/octopus/1hour/small_last.min,1,0.005915,0.06650328636169434
none,clusters/natural/google_trace/octopus/1hour/small_last.min,1,0.003973,0.06545853614807129
all,clusters/natural/google_trace/octopus/1hour/small_last.min,2,0.005913,0.0711357593536377
none,clusters/natural/google_trace/octopus/1hour/small_last.min,2,0.004018,0.07024955749511719
all,clusters/natural/google_trace/octopus/1hour/small_last.min,3,0.005837,0.06626534461975098
none,clusters/natural/google_trace/octopus/1hour/small_last.min,3,0.003857,0.07168388366699219
all,clusters/natural/google_trace/octopus/1hour/small_last.min,4,0.005890,0.06782341003417969
none,clusters/natural/google_trace/octopus/1hour/small_last.min,4,0.004087,0.06098341941833496
all,clusters/natural/google_trace/octopus/1hour/small_last.min,5,0.005894,0.06260824203491211
none,clusters/natural/google_trace/octopus/1hour/small_last.min,5,0.003884,0.060990333557128906
all,clusters/natural/google_trace/octopus/1hour/small_last.min,6,0.005915,0.05890297889709473
none,clusters/natural/google_trace/octopus/1hour/small_last.min,6,0.003923,0.0655069351196289
all,clusters/natural/google_trace/octopus/1hour/small_last.min,7,0.005902,0.06544828414916992
none,clusters/natural/google_trace/octopus/1hour/small_last.min,7,0.003785,0.06276941299438477
all,clusters/natural/google_trace/octopus/1hour/small_last.min,8,0.005861,0.07301187515258789
none,clusters/natural/google_trace/octopus/1hour/small_last.min,8,0.003815,0.06862306594848633
all,clusters/natural/google_trace/octopus/1hour/small_last.min,9,0.006017,0.07233119010925293
