test,file,iteration,algorithm_time,total_time
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,0.038429,0.30845022201538086
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,0.025307,0.31011009216308594
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,1,0.036678,0.29871225357055664
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,1,0.025050,0.3054206371307373
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,2,0.038135,0.3067653179168701
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,2,0.024408,0.2869584560394287
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,3,0.037893,0.3032710552215576
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,3,0.025997,0.2954695224761963
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,4,0.037008,0.30699872970581055
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,4,0.025472,0.30715417861938477
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,5,0.037714,0.3108255863189697
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,5,0.024593,0.30571436882019043
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,6,0.039179,0.31400346755981445
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,6,0.025135,0.29486083984375
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,7,0.038065,0.29711222648620605
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,7,0.025463,0.2930898666381836
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,8,0.037633,0.3014061450958252
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,8,0.024951,0.2906937599182129
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,9,0.037780,0.3111104965209961
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,9,0.024634,0.2927999496459961
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,10,0.037388,0.31051182746887207
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,10,0.025235,0.2971494197845459
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,11,0.036989,0.301682710647583
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,11,0.025026,0.29868340492248535
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,12,0.037775,0.3113710880279541
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,12,0.025027,0.31234073638916016
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,13,0.037584,0.3061239719390869
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,13,0.024544,0.2983362674713135
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,14,0.037102,0.3135497570037842
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,14,0.024263,0.2915501594543457
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,15,0.038413,0.32099056243896484
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,15,0.025383,0.29111146926879883
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,16,0.036584,0.29193758964538574
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,16,0.025318,0.29065704345703125
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,17,0.038309,0.3161931037902832
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,17,0.024529,0.29215002059936523
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,18,0.040577,0.298281192779541
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,18,0.024282,0.2853732109069824
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,19,0.038149,0.30668210983276367
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,19,0.024766,0.285977840423584
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,20,0.037964,0.3032081127166748
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,20,0.024992,0.2902028560638428
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,21,0.037543,0.322739839553833
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,21,0.024810,0.30318713188171387
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,22,0.037845,0.3145294189453125
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,22,0.024578,0.2918829917907715
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,23,0.036984,0.3025240898132324
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,23,0.024876,0.28909897804260254
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,24,0.036462,0.30924272537231445
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,24,0.024928,0.30307936668395996
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,25,0.037824,0.31432461738586426
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,25,0.024416,0.289107084274292
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,26,0.038626,0.30713725090026855
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,26,0.025258,0.30083775520324707
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,27,0.038429,0.3105583190917969
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,27,0.025199,0.29918479919433594
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,28,0.041856,0.31603288650512695
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,28,0.024866,0.3109700679779053
all,clusters/natural/google_trace/quincy/1hour/medium_last.min,29,0.037210,0.3095510005950928
none,clusters/natural/google_trace/quincy/1hour/medium_last.min,29,0.024444,0.29192137718200684
all,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.005900,0.06109189987182617
none,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.003795,0.06142115592956543
