test,file,iteration,algorithm_time,total_time
goldberg,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.001393,0.014539480209350586
frangioni_relax,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.001007,0.02370285987854004
my_relax,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.006205,0.06266951560974121
goldberg,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,0.006781,0.055680274963378906
frangioni_relax,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,0.00574,0.10512661933898926
my_relax,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,0.039131,0.2925379276275635
goldberg,clusters/natural/google_trace/quincy/1hour/large_first.min,0,2.799059,3.4743165969848633
frangioni_relax,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
my_relax,clusters/natural/google_trace/quincy/1hour/large_first.min,0,4.507096,9.120481491088867
goldberg,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.285401,0.4085879325866699
frangioni_relax,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,5.57522,5.884371042251587
my_relax,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.790547,1.6908249855041504
goldberg,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,18.005298,21.485141038894653
frangioni_relax,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
my_relax,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,19.165515,38.5028715133667
goldberg,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.044532,0.28661298751831055
frangioni_relax,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.038277,0.5554769039154053
my_relax,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.216292,1.5418376922607422
goldberg,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,0.192622,1.2137255668640137
frangioni_relax,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,0.165514,2.211785316467285
my_relax,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,0.918577,6.7185680866241455
goldberg,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.014572,0.03923153877258301
frangioni_relax,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.152164,0.2145061492919922
my_relax,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.108289,0.2695038318634033
goldberg,clusters/natural/google_trace/octopus/1hour/small_last.min,0,0.003310,0.015770673751831055
frangioni_relax,clusters/natural/google_trace/octopus/1hour/small_last.min,0,0.000955,0.023123741149902344
my_relax,clusters/natural/google_trace/octopus/1hour/small_last.min,0,0.006085,0.05978083610534668
goldberg,clusters/natural/google_trace/octopus/1hour/medium_last.min,0,0.015297,0.06169724464416504
frangioni_relax,clusters/natural/google_trace/octopus/1hour/medium_last.min,0,0.004773,0.10266733169555664
my_relax,clusters/natural/google_trace/octopus/1hour/medium_last.min,0,0.035285,0.297853946685791
goldberg,clusters/natural/google_trace/octopus/1hour/large_first.min,0,0.519411,0.9137251377105713
frangioni_relax,clusters/natural/google_trace/octopus/1hour/large_first.min,0,Timeout,Timeout
my_relax,clusters/natural/google_trace/octopus/1hour/large_first.min,0,Timeout,Timeout
goldberg,clusters/natural/google_trace/octopus/1hour/medium_first.min,0,0.056743,0.12886500358581543
frangioni_relax,clusters/natural/google_trace/octopus/1hour/medium_first.min,0,11.544,11.731919527053833
my_relax,clusters/natural/google_trace/octopus/1hour/medium_first.min,0,43.918024,44.426284313201904
goldberg,clusters/natural/google_trace/octopus/1hour/full_size_first.min,0,2.394989,4.003832578659058
frangioni_relax,clusters/natural/google_trace/octopus/1hour/full_size_first.min,0,Timeout,Timeout
my_relax,clusters/natural/google_trace/octopus/1hour/full_size_first.min,0,Timeout,Timeout
goldberg,clusters/natural/google_trace/octopus/1hour/large_last.min,0,0.120870,0.3680613040924072
frangioni_relax,clusters/natural/google_trace/octopus/1hour/large_last.min,0,0.025937,0.5378873348236084
my_relax,clusters/natural/google_trace/octopus/1hour/large_last.min,0,0.186432,1.6300172805786133
goldberg,clusters/natural/google_trace/octopus/1hour/full_size_last.min,0,0.502001,1.5068485736846924
frangioni_relax,clusters/natural/google_trace/octopus/1hour/full_size_last.min,0,0.110779,2.4011034965515137
my_relax,clusters/natural/google_trace/octopus/1hour/full_size_last.min,0,0.716174,6.0781049728393555
goldberg,clusters/natural/google_trace/octopus/1hour/small_first.min,0,0.012592,0.02986621856689453
frangioni_relax,clusters/natural/google_trace/octopus/1hour/small_first.min,0,0.385999,0.4285542964935303
my_relax,clusters/natural/google_trace/octopus/1hour/small_first.min,0,1.390116,1.5037057399749756
