file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,0,3139,689,8183808,32802334110,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,1,504462,676,4091904,13472901107,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,2,337775,577,2045952,31034351727,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,3,87121,579,1022976,23453735630,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,4,2307985,580,511488,10784934306,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,5,799615,623,255744,6036382545,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,6,915754,586,127872,5895883951,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,7,321666,580,63936,5876924830,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,8,885500,578,31968,5870869178,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,9,272272,579,15984,5869008010,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,10,241369,578,7992,5868492577,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,11,292623,579,3996,5868366065,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,12,148101,580,1998,5868342793,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,13,236692,579,999,5868332676,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,14,238243,579,499,5868332073,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,15,198509,583,249,5868331943,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,16,307912,610,124,5868331943,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,17,209750,579,62,5868331943,-1
general/synthetic/goto/generated_approx/approx_goto_8_12_235.min,0,18,202911,579,31,5868331943,-1
