file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,0,11689,3163,4091904,146266513398,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,1,627441,2949,2045952,27335516116,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,2,679992,2493,1022976,136800771285,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,3,1256409,2570,511488,47291664872,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,4,572119,2542,255744,14388910834,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,5,281810,2551,127872,14070621118,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,6,546396,2675,63936,14009538996,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,7,356999,2625,31968,13983046034,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,8,553833,2727,15984,13970516423,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,9,1116321,2690,7992,13966712340,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,10,601260,2823,3996,13965667270,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,11,851509,2706,1998,13965387548,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,12,432187,2732,999,13965351185,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,13,461115,2733,499,13965346976,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,14,289123,2790,249,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,15,429373,2705,124,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,16,358984,2721,62,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,17,305908,2725,31,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,18,327655,2677,15,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,19,435479,2776,7,13965345850,-1
general/synthetic/goto/generated_approx/approx_goto_sr_11_650.min,0,20,306041,2691,3,13965345850,-1
