file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,0,12595,1285,81920000,1881705589,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,1,21600,1272,40960000,1678146722,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,2,19404,1282,20480000,953450068,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,3,23641,1267,10240000,839051115,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,4,28662,1281,5120000,817085552,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,5,32694,1286,2560000,812189573,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,6,35670,1278,1280000,811157926,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,7,49984,1275,640000,810670633,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,8,46945,1277,320000,810539193,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,9,52460,1280,160000,810507111,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,10,73531,1277,80000,810501781,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,11,67766,1268,40000,810500138,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,12,94268,1125,20000,810498640,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,13,56428,1101,10000,810498315,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,14,47202,1104,5000,810498306,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,15,63701,1090,2500,810498306,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,16,46846,1106,1250,810498306,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,17,65800,1086,625,810498306,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,18,47080,1088,312,810498306,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,19,60268,1095,156,810498306,-1
general/synthetic/netgen/generated_approx/approx_netgen_8_12_895.min,0,20,62528,1091,78,810498306,-1
