file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,0,146146,32575,81920000,1108415748,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,1,217588,32383,40960000,4497438495,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,2,208093,28249,20480000,2056650142,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,3,248952,28354,10240000,676639602,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,4,250907,28273,5120000,260784157,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,5,271732,28200,2560000,157172107,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,6,325983,28262,1280000,140199825,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,7,283998,28205,640000,136818808,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,8,345715,28398,320000,136082079,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,9,414090,28357,160000,135941310,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,10,439886,28312,80000,135923921,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,11,447897,28290,40000,135910863,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,12,568101,28216,20000,135901029,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,13,496303,28208,10000,135900280,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,14,737353,28296,5000,135899742,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,15,899079,28474,2500,135899646,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,16,608470,28170,1250,135899658,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,17,811423,28234,625,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,18,746041,28559,312,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,19,677167,28259,156,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,20,696406,28232,78,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,21,722156,28260,39,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,22,698733,28316,19,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,23,730348,28329,9,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,24,811124,28242,4,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_150.min,0,25,767903,28211,2,135899624,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_672.min,0,0,144915,32216,81920000,1135601852,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_672.min,0,1,201047,32278,40960000,4455428399,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_672.min,0,2,189613,28591,20480000,2075392522,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_672.min,0,3,187421,28908,10240000,685992105,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_672.min,0,4,190333,28053,5120000,255775107,-1
general/synthetic/netgen/generated_approx/approx_netgen_deg_06_672.min,0,5,224497,28025,2560000,155479978,-1
