file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,0,216331,33404,655360000,149192803,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,1,420695,29114,327680000,6083761792,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,2,388537,28933,163840000,518899209,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,3,364010,29183,81920000,22538689,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,4,411305,29210,40960000,19951795,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,5,457537,29547,20480000,19622832,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,6,478591,29314,10240000,19487143,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,7,651424,29100,5120000,19457950,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,8,500211,29354,2560000,19455511,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,9,572317,29159,1280000,19454676,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,10,560106,29002,640000,19454538,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,11,652197,29091,320000,19454546,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,12,594842,28865,160000,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,13,528120,29079,80000,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,14,508495,29065,40000,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,15,531343,29116,20000,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,16,522975,29061,10000,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,17,645667,28993,5000,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,18,522786,29039,2500,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,19,536251,29059,1250,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,20,683636,29170,625,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,21,606899,29147,312,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,22,572956,29014,156,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,23,402162,29114,78,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,24,715449,29027,39,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,25,587433,29208,19,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,26,618003,29152,9,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,27,562274,29116,4,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_627.min,0,28,631086,29113,2,19454515,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,0,205316,33207,655360000,131770486,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,1,440387,29236,327680000,6426068881,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,2,332841,29411,163840000,540443882,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,3,347712,29220,81920000,21731857,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,4,504942,29211,40960000,17688305,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,5,423248,29496,20480000,17416851,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,6,567677,29240,10240000,17317518,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_8_15_243.min,0,7,560644,29310,5120000,17304705,-1
