file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,0,145898,42795,81920000,20866842,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,1,243869,35906,40960000,4425562967,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,2,266543,41816,20480000,1895478545,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,3,287464,36184,10240000,531640920,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,4,277102,35230,5120000,114837431,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,5,250570,35360,2560000,11678600,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,6,349534,35993,1280000,958536,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,7,343683,37126,640000,846205,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,8,391301,35285,320000,836059,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,9,455098,35495,160000,831482,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,10,460438,37195,80000,830894,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,11,462729,36309,40000,830800,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,12,652558,34454,20000,830809,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,13,522951,36360,10000,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,14,433750,34507,5000,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,15,419333,41439,2500,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,16,462477,33771,1250,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,17,380944,35661,625,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,18,489849,36143,312,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,19,382517,36339,156,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,20,456258,35325,78,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,21,449598,35998,39,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,22,401985,36647,19,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,23,445916,35597,9,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,24,438654,35625,4,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_740.min,0,25,462255,36173,2,830739,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,0,128294,35876,81920000,21100610,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,1,219622,35759,40960000,4459473859,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,2,230794,37918,20480000,1883976085,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,3,270129,35336,10240000,530980472,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,4,265967,36042,5120000,105128221,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,5,299909,41833,2560000,10777349,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,6,343317,35783,1280000,789958,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,7,355926,36631,640000,699003,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,8,372978,36400,320000,689093,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,9,443352,34641,160000,687168,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,10,459837,35902,80000,686219,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,11,527483,35854,40000,686048,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,12,478809,36310,20000,686018,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,13,473817,34808,10000,685998,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,14,611854,36119,5000,685980,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,15,655544,35931,2500,685978,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,16,429060,35687,1250,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,17,669176,35747,625,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,18,443097,35755,312,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,19,328885,37561,156,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,20,627445,36121,78,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,21,802091,37421,39,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,22,560475,41751,19,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,23,556392,36722,9,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,24,540925,36124,4,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_21.min,0,25,718387,35617,2,685976,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,0,127649,35143,81920000,19538914,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,1,225199,35062,40960000,3983568394,-1
general/synthetic/netgen/generated_approx/approx_netgen_lo_sr_12_518.min,0,2,243032,36258,20480000,1861643532,-1
