file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,0,136951,30440,81920000,1164014918,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,1,218601,29655,40960000,4429556899,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,2,191555,29692,20480000,2022244913,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,3,220007,30715,10240000,690916715,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,4,225572,30608,5120000,224027142,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,5,233090,29669,2560000,121716721,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,6,282314,30540,1280000,106629704,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,7,295641,30272,640000,104020230,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,8,318807,29719,320000,103256995,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,9,395910,29709,160000,103022690,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,10,627029,29894,80000,102979396,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,11,506308,31644,40000,102969022,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,12,598141,29779,20000,102966811,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,13,625681,29486,10000,102965022,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,14,573449,29223,5000,102964852,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,15,763406,29408,2500,102964726,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,16,653180,29740,1250,102964730,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,17,1060579,30003,625,102964724,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,18,933182,30176,312,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,19,952387,31041,156,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,20,897389,31466,78,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,21,1190012,32569,39,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,22,737641,29677,19,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,23,1553535,32595,9,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,24,1269501,29760,4,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_627.min,0,25,1197727,30134,2,102964708,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,0,135587,30433,81920000,1104764696,-1
general/synthetic/netgen/generated_approx/approx_netgen_sr_12_531.min,0,1,200386,30535,40960000,4606005374,-1
