file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/natural/road/road_flow_02_DE_a.min,0,0,514664,2823,781618844,7376258520,-1
general/natural/road/road_flow_02_DE_a.min,0,1,618495,3259,390809422,9271346880,-1
general/natural/road/road_flow_02_DE_a.min,0,2,656708,3221,195404711,7309845000,-1
general/natural/road/road_flow_02_DE_a.min,0,3,536703,3094,97702355,4806468240,-1
general/natural/road/road_flow_02_DE_a.min,0,4,484342,2945,48851177,2612321040,-1
general/natural/road/road_flow_02_DE_a.min,0,5,452021,3044,24425588,1450044720,-1
general/natural/road/road_flow_02_DE_a.min,0,6,499254,3245,12212794,1234920120,-1
general/natural/road/road_flow_02_DE_a.min,0,7,425557,3256,6106397,1196877480,-1
general/natural/road/road_flow_02_DE_a.min,0,8,350159,3223,3053198,1189008840,-1
general/natural/road/road_flow_02_DE_a.min,0,9,296245,3162,1526599,1187965920,-1
general/natural/road/road_flow_02_DE_a.min,0,10,325905,3260,763299,1187802000,-1
general/natural/road/road_flow_02_DE_a.min,0,11,301428,3151,381649,1187759400,-1
general/natural/road/road_flow_02_DE_a.min,0,12,243852,3196,190824,1187742720,-1
general/natural/road/road_flow_02_DE_a.min,0,13,173049,3138,95412,1187739600,-1
general/natural/road/road_flow_02_DE_a.min,0,14,271902,3116,47706,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,15,239518,3184,23853,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,16,260833,3113,11926,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,17,254318,3306,5963,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,18,330556,3227,2981,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,19,209217,3111,1490,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,20,219101,3106,745,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,21,245894,3223,372,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,22,219410,3084,186,1187739360,-1
general/natural/road/road_flow_02_DE_a.min,0,23,255647,3128,93,1187739360,-1
