file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/natural/road/road_paths_02_DE_b.min,0,0,598601,3033,781618844,18658351,-1
general/natural/road/road_paths_02_DE_b.min,0,1,455522,2937,390809422,19526530,-1
general/natural/road/road_paths_02_DE_b.min,0,2,576922,3104,195404711,14875984,-1
general/natural/road/road_paths_02_DE_b.min,0,3,640265,3008,97702355,9041834,-1
general/natural/road/road_paths_02_DE_b.min,0,4,740975,3109,48851177,4266394,-1
general/natural/road/road_paths_02_DE_b.min,0,5,726406,3133,24425588,1743642,-1
general/natural/road/road_paths_02_DE_b.min,0,6,986262,3069,12212794,1201726,-1
general/natural/road/road_paths_02_DE_b.min,0,7,707353,3018,6106397,1110358,-1
general/natural/road/road_paths_02_DE_b.min,0,8,602346,3016,3053198,1092733,-1
general/natural/road/road_paths_02_DE_b.min,0,9,433181,2999,1526599,1090250,-1
general/natural/road/road_paths_02_DE_b.min,0,10,387964,2995,763299,1089958,-1
general/natural/road/road_paths_02_DE_b.min,0,11,487676,2984,381649,1089882,-1
general/natural/road/road_paths_02_DE_b.min,0,12,358674,3003,190824,1089869,-1
general/natural/road/road_paths_02_DE_b.min,0,13,253254,2967,95412,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,14,354689,2973,47706,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,15,387473,3047,23853,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,16,358803,2951,11926,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,17,447192,3073,5963,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,18,329517,3102,2981,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,19,424032,2965,1490,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,20,284133,3071,745,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,21,305813,2983,372,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,22,346190,3041,186,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,23,356152,3069,93,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,24,348332,2975,46,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,25,343495,3087,23,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,26,342121,3061,11,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,27,389909,2994,5,1089868,-1
general/natural/road/road_paths_02_DE_b.min,0,28,412632,3101,2,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,0,667295,2941,781618844,18658351,-1
general/natural/road/road_paths_02_DE_b.min,1,1,437625,3036,390809422,19526530,-1
general/natural/road/road_paths_02_DE_b.min,1,2,551096,3063,195404711,14875984,-1
general/natural/road/road_paths_02_DE_b.min,1,3,615032,3012,97702355,9041834,-1
general/natural/road/road_paths_02_DE_b.min,1,4,707987,3154,48851177,4266394,-1
general/natural/road/road_paths_02_DE_b.min,1,5,692106,3103,24425588,1743642,-1
general/natural/road/road_paths_02_DE_b.min,1,6,942036,3120,12212794,1201726,-1
general/natural/road/road_paths_02_DE_b.min,1,7,671017,3127,6106397,1110358,-1
general/natural/road/road_paths_02_DE_b.min,1,8,571836,3020,3053198,1092733,-1
general/natural/road/road_paths_02_DE_b.min,1,9,417906,3046,1526599,1090250,-1
general/natural/road/road_paths_02_DE_b.min,1,10,361759,3006,763299,1089958,-1
general/natural/road/road_paths_02_DE_b.min,1,11,460136,3130,381649,1089882,-1
general/natural/road/road_paths_02_DE_b.min,1,12,337141,3048,190824,1089869,-1
general/natural/road/road_paths_02_DE_b.min,1,13,244728,3059,95412,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,14,341411,3070,47706,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,15,374642,3024,23853,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,16,340308,3094,11926,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,17,428625,3122,5963,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,18,310639,3011,2981,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,19,399527,3041,1490,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,20,275532,3099,745,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,21,287700,3043,372,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,22,333989,3084,186,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,23,341611,3102,93,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,24,330913,3026,46,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,25,326098,3063,23,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,26,324024,3134,11,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,27,368872,3030,5,1089868,-1
general/natural/road/road_paths_02_DE_b.min,1,28,387542,3056,2,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,0,695890,3007,781618844,18658351,-1
general/natural/road/road_paths_02_DE_b.min,2,1,458837,2984,390809422,19526530,-1
general/natural/road/road_paths_02_DE_b.min,2,2,577616,3022,195404711,14875984,-1
general/natural/road/road_paths_02_DE_b.min,2,3,654674,3028,97702355,9041834,-1
general/natural/road/road_paths_02_DE_b.min,2,4,738266,3214,48851177,4266394,-1
general/natural/road/road_paths_02_DE_b.min,2,5,714100,2998,24425588,1743642,-1
general/natural/road/road_paths_02_DE_b.min,2,6,966979,3010,12212794,1201726,-1
general/natural/road/road_paths_02_DE_b.min,2,7,696581,3086,6106397,1110358,-1
general/natural/road/road_paths_02_DE_b.min,2,8,593876,3057,3053198,1092733,-1
general/natural/road/road_paths_02_DE_b.min,2,9,433564,3003,1526599,1090250,-1
general/natural/road/road_paths_02_DE_b.min,2,10,378775,3000,763299,1089958,-1
general/natural/road/road_paths_02_DE_b.min,2,11,475207,3029,381649,1089882,-1
general/natural/road/road_paths_02_DE_b.min,2,12,355244,3034,190824,1089869,-1
general/natural/road/road_paths_02_DE_b.min,2,13,253041,3012,95412,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,14,356475,3164,47706,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,15,391298,3031,23853,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,16,356447,3046,11926,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,17,445795,2993,5963,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,18,327228,3028,2981,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,19,414930,3086,1490,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,20,287582,3035,745,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,21,303352,3045,372,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,22,350106,3106,186,1089868,-1
general/natural/road/road_paths_02_DE_b.min,2,23,356787,3004,93,1089868,-1
