test,file,iteration,algorithm_time,total_time
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.630371,0.849778413772583
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.373469,0.5597794055938721
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.392379,0.5793750286102295
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.390364,0.5766417980194092
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,0,1.103212,1.3673579692840576
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,0,1.103739,1.3651466369628906
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,0,1.164212,1.426112174987793
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.392439,0.5739500522613525
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,0,1.094199,1.3611648082733154
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.387990,0.5796082019805908
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.630125,0.8435475826263428
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.371257,0.5498790740966797
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.392452,0.572101354598999
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.390018,0.5716776847839355
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,1,1.105623,1.3616511821746826
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,1,1.103685,1.370375156402588
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,1,1.090327,1.3560590744018555
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.394765,0.5790846347808838
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,1,1.073099,1.3503923416137695
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.347618,0.514244556427002
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.559862,0.7461256980895996
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.329423,0.49715662002563477
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.343553,0.5157878398895264
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.344855,0.5265944004058838
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.980281,1.2175757884979248
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.980229,1.2175383567810059
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.973834,1.2194395065307617
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.348805,0.525700569152832
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.968358,1.2086501121520996
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.344848,0.52152419090271
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.560657,0.7602212429046631
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.329303,0.49849534034729004
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.348427,0.5263023376464844
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.344784,0.5163626670837402
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.979170,1.2225151062011719
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.980895,1.2294933795928955
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.971136,1.2061371803283691
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.350668,0.5194408893585205
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.966804,1.2135941982269287
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.344010,0.5145919322967529
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.560146,0.7475659847259521
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.330880,0.490816593170166
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.348360,0.528130292892456
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.346450,0.521944522857666
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.980009,1.2155182361602783
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.980689,1.2213106155395508
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.970210,1.2133238315582275
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.351224,0.5173654556274414
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.969857,1.2047500610351562
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.344955,0.5176036357879639
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.252133,0.32733154296875
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.124706,0.18948578834533691
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.147275,0.20954656600952148
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.137804,0.19666576385498047
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.481135,0.5738821029663086
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.482177,0.5691773891448975
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.485349,0.5843369960784912
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.149192,0.20824241638183594
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.486653,0.5858893394470215
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.138831,0.2031083106994629
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.250658,0.3197352886199951
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.124862,0.18555378913879395
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.147324,0.21332955360412598
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.137575,0.20287489891052246
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.476335,0.5764293670654297
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.482866,0.5875692367553711
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.485144,0.5813314914703369
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.148995,0.20693397521972656
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.493649,0.5956053733825684
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.139185,0.20287418365478516
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.251839,0.326754093170166
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.125028,0.1884138584136963
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.146881,0.2059464454650879
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.137288,0.20111989974975586
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.481724,0.5806326866149902
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.482373,0.5751514434814453
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.484792,0.5780093669891357
ap_clang_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.148814,0.2097620964050293
ap_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.485583,0.5808100700378418
ap_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.138850,0.20167779922485352
ap_clang_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.251820,0.32980918884277344
ap_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.126957,0.19123411178588867
ap_clang_O2,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.147792,0.21337270736694336
ap_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.135385,0.20311260223388672
ap_clang_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.476250,0.5723228454589844
ap_clang_debug,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.482724,0.5794403553009033
ap_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.484932,0.5816373825073242
