test,file,iteration,algorithm_time,total_time
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_clang_debug,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_gcc_O2,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_clang_O2,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_clang_O0,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.731453,2.9202029705047607
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,0,1.491754,1.6578314304351807
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.769461,0.9173657894134521
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.815615,3.0066003799438477
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.713639,0.8579821586608887
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.613612,0.7611989974975586
cs_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.715739,2.895242929458618
cs_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.731348,0.8798620700836182
cs_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.705022,0.8555638790130615
cs_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.768471,2.9516441822052
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.824988,3.0140154361724854
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,1,1.765622,1.9271824359893799
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.689485,0.8358423709869385
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.752914,2.942471742630005
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.715749,0.8652775287628174
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.677740,0.8236355781555176
cs_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.688516,2.8772642612457275
cs_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.680993,0.8277850151062012
cs_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.708267,0.8603513240814209
cs_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.932589,3.117633581161499
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.803153,2.9922187328338623
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,2,1.739810,1.9179573059082031
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.689310,0.8453426361083984
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.756690,2.9437191486358643
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.632036,0.7775828838348389
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.676675,0.8210487365722656
cs_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.947174,3.141433000564575
cs_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.730415,0.8768734931945801
cs_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.771220,0.9182605743408203
cs_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.910702,3.097513437271118
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.700982,2.884465217590332
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,3,1.556745,1.7183928489685059
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.761109,0.9091227054595947
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.999677,3.184035301208496
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.689682,0.8365998268127441
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.638514,0.7899904251098633
cs_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.623165,2.803140640258789
cs_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.798875,0.9474000930786133
cs_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.716363,0.864201545715332
cs_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.779918,2.9610111713409424
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.722185,2.9114646911621094
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,4,1.691898,1.8621242046356201
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.739213,0.9011662006378174
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.851207,3.0415401458740234
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.694019,0.846510648727417
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.659960,0.8088164329528809
cs_clang_debug,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.699364,2.890209197998047
cs_gcc_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.707328,0.8549695014953613
cs_clang_O2,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.648639,0.798220157623291
cs_clang_O0,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.757351,2.940814733505249
cs_gcc_debug,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.272569,1.8015453815460205
cs_clang_O1,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.182043,1.481982946395874
cs_gcc_O1,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.081700,1.299513339996338
cs_gcc_O0,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.271601,1.8528482913970947
cs_clang_O3,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.076157,1.2222516536712646
cs_gcc_O3,clusters/natural/google_trace/quincy/1hour/large_last.min,0,0.080480,1.2711782455444336
