test,file,iteration,algorithm_time,total_time
small_map,clusters/natural/google_trace/octopus/1hour/small.min,0,0.285618,0.34687161445617676
small_vector,clusters/natural/google_trace/octopus/1hour/small.min,0,0.210728,0.2775123119354248
big,clusters/natural/google_trace/octopus/1hour/small.min,0,0.306221,0.35941553115844727
small_map,clusters/natural/google_trace/octopus/1hour/small.min,1,0.208223,0.25925779342651367
small_vector,clusters/natural/google_trace/octopus/1hour/small.min,1,0.166151,0.22072482109069824
big,clusters/natural/google_trace/octopus/1hour/small.min,1,0.234696,0.28880953788757324
small_map,clusters/natural/google_trace/octopus/1hour/small.min,2,0.266676,0.33567357063293457
small_vector,clusters/natural/google_trace/octopus/1hour/small.min,2,0.167124,0.22208380699157715
big,clusters/natural/google_trace/octopus/1hour/small.min,2,0.300986,0.3704657554626465
small_map,clusters/natural/google_trace/octopus/1hour/small.min,3,0.207039,0.2599313259124756
small_vector,clusters/natural/google_trace/octopus/1hour/small.min,3,0.169989,0.22309613227844238
big,clusters/natural/google_trace/octopus/1hour/small.min,3,0.306784,0.37778258323669434
small_map,clusters/natural/google_trace/octopus/1hour/small.min,4,0.216196,0.28109049797058105
small_vector,clusters/natural/google_trace/octopus/1hour/small.min,4,0.208783,0.27616310119628906
big,clusters/natural/google_trace/octopus/1hour/small.min,4,0.232984,0.2818629741668701
small_map,clusters/natural/google_trace/octopus/1hour/medium.min,0,11.362697,11.554794073104858
small_vector,clusters/natural/google_trace/octopus/1hour/medium.min,0,10.236463,10.393174648284912
big,clusters/natural/google_trace/octopus/1hour/medium.min,0,14.011803,14.162375211715698
small_map,clusters/natural/google_trace/octopus/1hour/medium.min,1,11.746524,11.971173524856567
small_vector,clusters/natural/google_trace/octopus/1hour/medium.min,1,9.674036,9.89382815361023
big,clusters/natural/google_trace/octopus/1hour/medium.min,1,13.079643,13.287039995193481
small_map,clusters/natural/google_trace/octopus/1hour/medium.min,2,11.543861,11.81514573097229
small_vector,clusters/natural/google_trace/octopus/1hour/medium.min,2,8.367535,8.517822265625
big,clusters/natural/google_trace/octopus/1hour/medium.min,2,13.411533,13.62111759185791
small_map,clusters/natural/google_trace/octopus/1hour/medium.min,3,11.458011,11.612188816070557
small_vector,clusters/natural/google_trace/octopus/1hour/medium.min,3,7.102106,7.252483606338501
big,clusters/natural/google_trace/octopus/1hour/medium.min,3,12.440134,12.597440242767334
small_map,clusters/natural/google_trace/octopus/1hour/medium.min,4,10.594646,10.826661825180054
small_vector,clusters/natural/google_trace/octopus/1hour/medium.min,4,8.924033,9.081869125366211
big,clusters/natural/google_trace/octopus/1hour/medium.min,4,13.164815,13.331494331359863
