test,file,iteration,algorithm_time,total_time
partial,clusters/natural/google_trace/octopus/1hour/small.min,0,0.156315,0.20515871047973633
full,clusters/natural/google_trace/octopus/1hour/small.min,0,0.789482,0.8438429832458496
partial,clusters/natural/google_trace/octopus/1hour/small.min,1,0.157482,0.20632481575012207
full,clusters/natural/google_trace/octopus/1hour/small.min,1,0.795644,0.8523805141448975
partial,clusters/natural/google_trace/octopus/1hour/small.min,2,0.162927,0.20875024795532227
full,clusters/natural/google_trace/octopus/1hour/small.min,2,0.798721,0.8569426536560059
partial,clusters/natural/google_trace/octopus/1hour/small.min,3,0.165346,0.21572303771972656
full,clusters/natural/google_trace/octopus/1hour/small.min,3,0.788755,0.8364889621734619
partial,clusters/natural/google_trace/octopus/1hour/small.min,4,0.156864,0.2081129550933838
full,clusters/natural/google_trace/octopus/1hour/small.min,4,0.811555,0.8629741668701172
partial,clusters/natural/google_trace/octopus/1hour/medium.min,0,4.019897,4.161046743392944
full,clusters/natural/google_trace/octopus/1hour/medium.min,0,18.485750,18.62585973739624
partial,clusters/natural/google_trace/octopus/1hour/medium.min,1,3.650362,3.7883846759796143
full,clusters/natural/google_trace/octopus/1hour/medium.min,1,19.615096,19.76240301132202
partial,clusters/natural/google_trace/octopus/1hour/medium.min,2,3.872730,4.017690658569336
full,clusters/natural/google_trace/octopus/1hour/medium.min,2,19.643655,19.777397632598877
partial,clusters/natural/google_trace/octopus/1hour/medium.min,3,3.885989,4.0308287143707275
full,clusters/natural/google_trace/octopus/1hour/medium.min,3,30.321788,30.45712423324585
partial,clusters/natural/google_trace/octopus/1hour/medium.min,4,6.639851,6.899397373199463
full,clusters/natural/google_trace/octopus/1hour/medium.min,4,34.079392,34.302719831466675
