test,file,iteration,algorithm_time,total_time
23,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
8,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
7,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
14,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
24,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
16,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
26,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
19,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
31,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
28,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
21,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
5,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
27,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
17,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
11,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
4,clusters/natural/google_trace/quincy/1hour/large_first.min,0,51.990718,55.900620222091675
13,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
9,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
29,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
2,clusters/natural/google_trace/quincy/1hour/large_first.min,0,53.385947,57.326226472854614
6,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
12,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
15,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
3,clusters/natural/google_trace/quincy/1hour/large_first.min,0,47.344774,51.107825756073
25,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
18,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
30,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
20,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
10,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
22,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
4,clusters/natural/google_trace/quincy/1hour/large_first.min,1,51.527082,55.34964656829834
2,clusters/natural/google_trace/quincy/1hour/large_first.min,1,54.163935,58.17918539047241
3,clusters/natural/google_trace/quincy/1hour/large_first.min,1,47.959411,51.81209397315979
4,clusters/natural/google_trace/quincy/1hour/large_first.min,2,51.915726,55.68292737007141
2,clusters/natural/google_trace/quincy/1hour/large_first.min,2,53.658055,57.570592164993286
3,clusters/natural/google_trace/quincy/1hour/large_first.min,2,47.698239,51.53033661842346
4,clusters/natural/google_trace/quincy/1hour/large_first.min,3,51.180901,54.99808740615845
2,clusters/natural/google_trace/quincy/1hour/large_first.min,3,54.126524,57.87246322631836
3,clusters/natural/google_trace/quincy/1hour/large_first.min,3,47.372352,51.147674322128296
4,clusters/natural/google_trace/quincy/1hour/large_first.min,4,51.921975,55.68657565116882
2,clusters/natural/google_trace/quincy/1hour/large_first.min,4,53.834524,57.732030391693115
