test,file,iteration,algorithm_time,total_time
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,19.617675,20.643424034118652
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,19.529799,20.54212737083435
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,19.573120,20.585144758224487
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,19.470544,20.464393138885498
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,19.541883,20.62132692337036
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,19.494378,20.545955657958984
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,19.536683,20.618417501449585
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,19.446163,20.511324882507324
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,19.526820,20.557701349258423
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,19.814672,20.806166887283325
all_arcs,clusters/natural/google_trace/quincy/1hour/small_last.min,0,Timeout,Timeout
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/small_last.min,0,Timeout,Timeout
all_arcs,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,Timeout,Timeout
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,Timeout,Timeout
all_arcs,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.541326,2.72629714012146
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.534398,2.71867299079895
all_arcs,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.565629,2.7528932094573975
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.600615,2.79471492767334
all_arcs,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.541164,2.7381227016448975
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.535339,2.7210471630096436
all_arcs,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.542366,2.7283570766448975
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.540841,2.7144570350646973
all_arcs,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.544026,2.7229700088500977
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.533925,2.7152488231658936
all_arcs,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,Timeout,Timeout
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,Timeout,Timeout
all_arcs,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
all_arcs,clusters/natural/google_trace/quincy/1hour/large_last.min,0,Timeout,Timeout
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/large_last.min,0,Timeout,Timeout
all_arcs,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,19.586834,20.602357149124146
ignore_zero_cap,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,19.527431,20.573346853256226
