test,file,iteration,algorithm_time,total_time
set,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/small_first.min,0,3.164031,3.363098382949829
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.982854,3.1650736331939697
set,clusters/natural/google_trace/quincy/1hour/small_first.min,1,3.257205,3.4540767669677734
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.903877,3.066227674484253
set,clusters/natural/google_trace/quincy/1hour/small_first.min,2,3.249372,3.447636842727661
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,2,3.057938,3.225102424621582
set,clusters/natural/google_trace/quincy/1hour/small_first.min,3,3.169945,3.372539758682251
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,3,3.039721,3.203321933746338
set,clusters/natural/google_trace/quincy/1hour/small_first.min,4,3.172401,3.379042625427246
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.980495,3.151182174682617
set,clusters/natural/google_trace/quincy/1hour/large_last.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/large_last.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,26.042853,27.066715955734253
getarc,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,25.037696,26.055451154708862
set,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,26.147686,27.205897331237793
getarc,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,25.047208,26.044646501541138
set,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,25.852005,26.948357105255127
getarc,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,24.756700,25.748605728149414
set,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,25.948968,26.978272438049316
getarc,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,25.040105,26.074615716934204
set,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,25.977464,27.053064823150635
getarc,clusters/natural/google_trace/quincy/1hour/medium_first.min,4,24.920004,25.883641719818115
set,clusters/natural/google_trace/quincy/1hour/small_last.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/small_last.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/full_size_last.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/large_first.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/full_size_first.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,Timeout,Timeout
getarc,clusters/natural/google_trace/quincy/1hour/medium_last.min,0,Timeout,Timeout
set,clusters/natural/google_trace/quincy/1hour/small_first.min,0,3.179556,3.374352216720581
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.991367,3.161620616912842
set,clusters/natural/google_trace/quincy/1hour/small_first.min,1,3.226826,3.4250853061676025
getarc,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.940392,3.1039562225341797
