test,file,iteration,algorithm_time,total_time
cache_all,clusters/natural/google_trace/quincy/1hour/small_first.min,0,3.559775,3.733273506164551
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_first.min,0,2.114028,2.2874138355255127
none,clusters/natural/google_trace/quincy/1hour/small_first.min,0,0.163505,0.3314061164855957
cache_all,clusters/natural/google_trace/quincy/1hour/small_first.min,1,3.545710,3.7117791175842285
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_first.min,1,2.067448,2.2284440994262695
none,clusters/natural/google_trace/quincy/1hour/small_first.min,1,0.162077,0.33432626724243164
cache_all,clusters/natural/google_trace/quincy/1hour/small_first.min,2,3.573201,3.740057945251465
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_first.min,2,2.109014,2.292384386062622
none,clusters/natural/google_trace/quincy/1hour/small_first.min,2,0.161945,0.3328976631164551
cache_all,clusters/natural/google_trace/quincy/1hour/small_first.min,3,3.535439,3.6939213275909424
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_first.min,3,2.109105,2.279266119003296
none,clusters/natural/google_trace/quincy/1hour/small_first.min,3,0.163288,0.3291356563568115
cache_all,clusters/natural/google_trace/quincy/1hour/small_first.min,4,3.533373,3.7028653621673584
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_first.min,4,2.123746,2.2936275005340576
none,clusters/natural/google_trace/quincy/1hour/small_first.min,4,0.166755,0.33851146697998047
cache_all,clusters/natural/google_trace/quincy/1hour/small_last.min,0,2.175711,2.234368324279785
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_last.min,0,1.124414,1.180649995803833
none,clusters/natural/google_trace/quincy/1hour/small_last.min,0,0.004087,0.0657341480255127
cache_all,clusters/natural/google_trace/quincy/1hour/small_last.min,1,2.192998,2.2469642162323
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_last.min,1,1.120480,1.1745760440826416
none,clusters/natural/google_trace/quincy/1hour/small_last.min,1,0.003883,0.05989837646484375
cache_all,clusters/natural/google_trace/quincy/1hour/small_last.min,2,2.175341,2.2307770252227783
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_last.min,2,1.110302,1.1696529388427734
none,clusters/natural/google_trace/quincy/1hour/small_last.min,2,0.003874,0.06371712684631348
cache_all,clusters/natural/google_trace/quincy/1hour/small_last.min,3,2.176330,2.2370243072509766
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_last.min,3,1.112423,1.168445348739624
none,clusters/natural/google_trace/quincy/1hour/small_last.min,3,0.003977,0.06346726417541504
cache_all,clusters/natural/google_trace/quincy/1hour/small_last.min,4,2.175173,2.234222650527954
cache_zerorc,clusters/natural/google_trace/quincy/1hour/small_last.min,4,1.108919,1.1792335510253906
none,clusters/natural/google_trace/quincy/1hour/small_last.min,4,0.003939,0.06156587600708008
cache_all,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,97.382575,98.25846004486084
cache_zerorc,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,54.682914,55.57450985908508
none,clusters/natural/google_trace/quincy/1hour/medium_first.min,0,0.977854,1.8440852165222168
cache_all,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,96.189194,97.08773708343506
cache_zerorc,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,52.542125,53.417253732681274
none,clusters/natural/google_trace/quincy/1hour/medium_first.min,1,0.976398,1.8758490085601807
cache_all,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,97.567243,98.4224066734314
cache_zerorc,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,53.775613,54.65277600288391
none,clusters/natural/google_trace/quincy/1hour/medium_first.min,2,0.971327,1.8612878322601318
cache_all,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,97.016552,97.89691472053528
cache_zerorc,clusters/natural/google_trace/quincy/1hour/medium_first.min,3,54.267039,55.168601274490356
