test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time,total_changes,new_node,remove_node,new_arc,change_arc,remove_arc
incremental,large,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
full,large,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
incremental,medium,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
full,medium,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
incremental,small,0,0,0,1.00744,1.00744,1.06274,20.1529,3697,1956,0,134,1607,0
incremental,small,1,1007436,0,0,0.086518,0.113353,0.12541,670,0,0,134,248,288
incremental,small,2,757955277,0,0.001333,0.001333,0.0247541,0.0709149,3,2,0,0,1,0
incremental,small,3,757956610,0,0.009453,0.008328,0.0297355,0.0534695,14,7,0,0,7,0
incremental,small,4,757964938,0,0.012044,0.004027,0.0256465,0.0395386,6,3,0,0,3,0
incremental,small,5,760949245,0,0.00134,0.00134,0.022836,0.0363646,3,2,0,0,1,0
incremental,small,6,760950585,0,0.015684,0.014391,0.0364916,0.0663496,24,12,0,0,12,0
incremental,small,7,772013814,0,0.001268,0.001268,0.0224633,0.0744341,3,2,0,0,1,0
incremental,small,8,772015082,0,0.002633,0.001385,0.0223161,0.0350551,2,1,0,0,1,0
incremental,small,9,870116781,0,0.001231,0.001231,0.0224094,0.0522278,3,2,0,0,1,0
incremental,small,10,870118012,0,0.005347,0.00427,0.0249678,0.0457341,8,4,0,0,4,0
incremental,small,11,870122282,0,0.0094,0.005361,0.0262007,0.041248,10,5,0,0,5,0
incremental,small,12,993518588,0,0.001278,0.001278,0.0222355,0.0967906,3,2,0,0,1,0
incremental,small,13,1107986333,0,0.001247,0.001247,0.0221333,0.0567436,3,2,0,0,1,0
incremental,small,14,1107987580,0,0.00651,0.005353,0.0261963,0.0429051,10,5,0,0,5,0
incremental,small,15,1119442249,0,0.001257,0.001257,0.0222109,0.0431315,3,2,0,0,1,0
incremental,small,16,1119443506,0,0.002585,0.001346,0.021981,0.0314722,2,1,0,0,1,0
