file,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
general/natural/road/road_flow_03_NH_e.min,0,0,4440074,13061,4205378560,19626276720,-1
general/natural/road/road_flow_03_NH_e.min,0,1,4903069,13038,2102689280,25258796640,-1
general/natural/road/road_flow_03_NH_e.min,0,2,5238332,13025,1051344640,22083855480,-1
general/natural/road/road_flow_03_NH_e.min,0,3,4403547,16641,525672320,15932992800,-1
general/natural/road/road_flow_03_NH_e.min,0,4,4880646,13018,262836160,9280187520,-1
general/natural/road/road_flow_03_NH_e.min,0,5,4676100,13047,131418080,4556408760,-1
general/natural/road/road_flow_03_NH_e.min,0,6,5524647,13025,65709040,2207932320,-1
general/natural/road/road_flow_03_NH_e.min,0,7,6402711,13045,32854520,1614546480,-1
general/natural/road/road_flow_03_NH_e.min,0,8,8553541,13017,16427260,1495695120,-1
general/natural/road/road_flow_03_NH_e.min,0,9,3878734,13037,8213630,1470420000,-1
general/natural/road/road_flow_03_NH_e.min,0,10,2856651,13237,4106815,1465694280,-1
general/natural/road/road_flow_03_NH_e.min,0,11,2897717,13057,2053407,1464937200,-1
general/natural/road/road_flow_03_NH_e.min,0,12,2965248,12946,1026703,1464664560,-1
general/natural/road/road_flow_03_NH_e.min,0,13,3281980,13045,513351,1464595800,-1
general/natural/road/road_flow_03_NH_e.min,0,14,2098372,13088,256675,1464573240,-1
general/natural/road/road_flow_03_NH_e.min,0,15,2661340,13032,128337,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,16,2373321,13106,64168,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,17,1461718,13011,32084,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,18,2475545,13048,16042,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,19,3071337,13159,8021,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,20,2236571,13044,4010,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,21,2108101,13056,2005,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,22,2875867,12989,1002,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,23,2817887,13055,501,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,24,2483756,13081,250,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,25,3090456,13050,125,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,26,2271318,13085,62,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,27,1971044,13003,31,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,28,2670657,13113,15,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,29,3218858,13069,7,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,0,30,3283747,13100,3,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,0,4468360,13060,4205378560,19626276720,-1
general/natural/road/road_flow_03_NH_e.min,1,1,4799470,13149,2102689280,25258796640,-1
general/natural/road/road_flow_03_NH_e.min,1,2,5374871,13121,1051344640,22083855480,-1
general/natural/road/road_flow_03_NH_e.min,1,3,4424478,13066,525672320,15932992800,-1
general/natural/road/road_flow_03_NH_e.min,1,4,4986168,13048,262836160,9280187520,-1
general/natural/road/road_flow_03_NH_e.min,1,5,4614645,14675,131418080,4556408760,-1
general/natural/road/road_flow_03_NH_e.min,1,6,5568064,13060,65709040,2207932320,-1
general/natural/road/road_flow_03_NH_e.min,1,7,6440062,13183,32854520,1614546480,-1
general/natural/road/road_flow_03_NH_e.min,1,8,8638110,13145,16427260,1495695120,-1
general/natural/road/road_flow_03_NH_e.min,1,9,3803989,14982,8213630,1470420000,-1
general/natural/road/road_flow_03_NH_e.min,1,10,2970640,13044,4106815,1465694280,-1
general/natural/road/road_flow_03_NH_e.min,1,11,2816161,13480,2053407,1464937200,-1
general/natural/road/road_flow_03_NH_e.min,1,12,3024692,13032,1026703,1464664560,-1
general/natural/road/road_flow_03_NH_e.min,1,13,3175883,13079,513351,1464595800,-1
general/natural/road/road_flow_03_NH_e.min,1,14,2148191,14658,256675,1464573240,-1
general/natural/road/road_flow_03_NH_e.min,1,15,2627609,12803,128337,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,16,2338784,12806,64168,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,17,1444736,15945,32084,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,18,2361251,12813,16042,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,19,3023265,12522,8021,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,20,2170250,12520,4010,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,21,2026354,12561,2005,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,22,2784411,12666,1002,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,23,2687743,12527,501,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,24,2401406,12974,250,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,25,2981912,12605,125,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,26,2184611,12637,62,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,27,1886930,12502,31,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,28,2576648,12561,15,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,29,3102829,12591,7,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,1,30,3174643,12553,3,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,0,4439256,15931,4205378560,19626276720,-1
general/natural/road/road_flow_03_NH_e.min,2,1,4830581,13063,2102689280,25258796640,-1
general/natural/road/road_flow_03_NH_e.min,2,2,5237497,13163,1051344640,22083855480,-1
general/natural/road/road_flow_03_NH_e.min,2,3,4458507,13040,525672320,15932992800,-1
general/natural/road/road_flow_03_NH_e.min,2,4,4980674,13006,262836160,9280187520,-1
general/natural/road/road_flow_03_NH_e.min,2,5,4592017,12972,131418080,4556408760,-1
general/natural/road/road_flow_03_NH_e.min,2,6,5547111,13128,65709040,2207932320,-1
general/natural/road/road_flow_03_NH_e.min,2,7,6411230,13031,32854520,1614546480,-1
general/natural/road/road_flow_03_NH_e.min,2,8,8631163,13860,16427260,1495695120,-1
general/natural/road/road_flow_03_NH_e.min,2,9,3781903,13056,8213630,1470420000,-1
general/natural/road/road_flow_03_NH_e.min,2,10,2997182,14406,4106815,1465694280,-1
general/natural/road/road_flow_03_NH_e.min,2,11,2783078,13082,2053407,1464937200,-1
general/natural/road/road_flow_03_NH_e.min,2,12,2982802,13920,1026703,1464664560,-1
general/natural/road/road_flow_03_NH_e.min,2,13,3298738,13043,513351,1464595800,-1
general/natural/road/road_flow_03_NH_e.min,2,14,2108548,13017,256675,1464573240,-1
general/natural/road/road_flow_03_NH_e.min,2,15,2665059,13062,128337,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,16,2375856,13111,64168,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,17,1475229,13019,32084,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,18,2480386,13026,16042,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,19,3079554,13223,8021,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,20,2237488,13041,4010,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,21,2112364,13013,2005,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,22,2884417,13071,1002,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,23,2782936,13055,501,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,24,2485394,13056,250,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,25,3101790,13115,125,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,26,2303114,13310,62,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,27,1988634,13183,31,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,28,2677441,13059,15,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,29,3233173,13163,7,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,2,30,3305890,13103,3,1464571680,-1
general/natural/road/road_flow_03_NH_e.min,3,0,4527453,13039,4205378560,19626276720,-1
general/natural/road/road_flow_03_NH_e.min,3,1,4860143,13032,2102689280,25258796640,-1
general/natural/road/road_flow_03_NH_e.min,3,2,5402965,13488,1051344640,22083855480,-1
