file,delta_id,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
clusters/natural/google_trace/tiny_trace.imin,0,0,0,10,1,41370,4548,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,1,20,0,20685,1464,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,2,11,0,10342,680,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,3,9,0,5171,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,4,10,0,2585,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,5,10,0,1292,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,6,6,0,646,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,7,4,0,323,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,8,3,0,161,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,9,4,0,80,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,10,4,0,40,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,11,4,0,20,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,12,3,0,10,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,13,4,0,5,583,-1
clusters/natural/google_trace/tiny_trace.imin,0,0,14,3,0,2,583,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,0,7,0,37968,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,1,16,0,18984,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,2,3,0,9492,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,3,2,0,4746,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,4,2,0,2373,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,5,2,0,1186,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,6,2,0,593,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,7,2,0,296,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,8,2,0,148,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,9,2,0,74,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,10,2,0,37,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,11,2,0,18,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,12,2,0,9,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,13,2,0,4,904,-1
clusters/natural/google_trace/tiny_trace.imin,1,0,14,2,0,2,904,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,0,15,1,42576,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,1,19,0,21288,3090,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,2,13,0,10644,3205,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,3,6,0,5322,3090,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,4,15,0,2661,3064,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,5,8,0,1330,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,6,12,0,665,3064,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,7,10,0,332,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,8,7,0,166,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,9,5,0,83,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,10,8,0,41,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,11,4,0,20,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,12,4,0,10,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,13,6,0,5,3055,-1
clusters/natural/google_trace/tiny_trace.imin,2,0,14,4,0,2,3055,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,0,17,1,55160,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,1,18,1,27580,4497,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,2,11,0,13790,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,3,9,0,6895,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,4,12,0,3447,4138,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,5,13,0,1723,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,6,8,0,861,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,7,5,0,430,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,8,8,0,215,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,9,7,0,107,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,10,5,0,53,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,11,5,0,26,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,12,5,0,13,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,13,5,0,6,4085,-1
clusters/natural/google_trace/tiny_trace.imin,3,0,14,5,0,3,4085,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,0,21,1,61776,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,1,18,1,30888,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,2,9,1,15444,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,3,5,1,7722,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,4,5,1,3861,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,5,4,1,1930,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,6,4,1,965,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,7,9,1,482,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,8,6,0,241,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,9,6,1,120,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,10,5,1,60,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,11,4,0,30,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,12,4,1,15,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,13,9,1,7,5978,-1
clusters/natural/google_trace/tiny_trace.imin,4,0,14,5,1,3,5978,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,0,423,1,65274,3826,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,1,29,0,32637,3461,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,2,16,0,16318,3208,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,3,10,0,8159,3208,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,4,8,0,4079,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,5,13,0,2039,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,6,12,0,1019,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,7,9,0,509,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,8,12,0,254,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,9,9,0,127,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,10,5,0,63,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,11,13,0,31,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,12,4,0,15,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,13,6,0,7,3051,-1
clusters/natural/google_trace/tiny_trace.imin,5,0,14,7,0,3,3051,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,0,19,1,63954,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,1,21,1,31977,4622,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,2,14,1,15988,4656,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,3,11,1,7994,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,4,10,1,3997,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,5,11,1,1998,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,6,7,1,999,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,7,6,1,499,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,8,7,1,249,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,9,6,1,124,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,10,4,1,62,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,11,5,0,31,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,12,7,1,15,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,13,5,1,7,4506,-1
clusters/natural/google_trace/tiny_trace.imin,6,0,14,5,1,3,4506,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,0,20,1,63512,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,1,23,1,31756,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,2,11,1,15878,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,3,7,1,7939,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,4,5,1,3969,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,5,5,1,1984,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,6,4,1,992,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,7,8,1,496,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,8,6,1,248,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,9,7,1,124,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,10,5,1,62,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,11,5,1,31,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,12,6,1,15,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,13,4,1,7,6449,-1
clusters/natural/google_trace/tiny_trace.imin,7,0,14,4,1,3,6449,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,0,21,1,66776,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,1,19,1,33388,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,2,12,1,16694,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,3,9,1,8347,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,4,6,1,4173,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,5,4,1,2086,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,6,4,1,1043,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,7,8,1,521,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,8,6,1,260,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,9,7,1,130,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,10,5,1,65,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,11,4,1,32,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,12,5,1,16,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,13,8,1,8,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,14,5,1,4,6089,-1
clusters/natural/google_trace/tiny_trace.imin,8,0,15,7,1,2,6089,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,0,18,1,68810,4161,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,1,24,1,34405,3869,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,2,10,1,17202,3493,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,3,10,1,8601,3631,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,4,12,1,4300,3493,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,5,16,1,2150,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,6,12,1,1075,3493,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,7,9,1,537,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,8,11,1,268,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,9,8,1,134,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,10,9,1,67,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,11,5,1,33,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,12,6,1,16,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,13,5,1,8,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,14,5,1,4,3481,-1
clusters/natural/google_trace/tiny_trace.imin,9,0,15,15,1,2,3481,-1
clusters/natural/google_trace/tiny_trace.imin,10,0,0,18,1,67550,3078,-1
clusters/natural/google_trace/tiny_trace.imin,10,0,1,19,1,33775,3347,-1
clusters/natural/google_trace/tiny_trace.imin,10,0,2,14,1,16887,2926,-1
clusters/natural/google_trace/tiny_trace.imin,10,0,3,10,1,8443,2961,-1
