test,file,iteration,algorithm_time,total_time
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.561658,0.6277759075164795
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.540094,0.6074912548065186
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.292737,0.34764695167541504
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.558955,0.6306500434875488
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.884335,0.9720115661621094
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.186865,0.237595796585083
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.178947,0.22716593742370605
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.158938,0.20399880409240723
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.174497,0.2123427391052246
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.176818,0.22578787803649902
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.535946,0.5990626811981201
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.578657,0.6432497501373291
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.280867,0.33409857749938965
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.559330,0.6231734752655029
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.543339,0.6057109832763672
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.178289,0.22591114044189453
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.218116,0.2788524627685547
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.166961,0.2151341438293457
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.173273,0.21912169456481934
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.245695,0.3202552795410156
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.543001,0.6085720062255859
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.570198,0.6327052116394043
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.283709,0.33694958686828613
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.531414,0.5917544364929199
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.566610,0.6306209564208984
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.187394,0.23306655883789062
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.182557,0.22953557968139648
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.215695,0.2833876609802246
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.182653,0.23172283172607422
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.176956,0.22570347785949707
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,3,0.558017,0.6233866214752197
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,3,0.548028,0.6122779846191406
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,0.281320,0.3333253860473633
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,3,0.522315,0.5844335556030273
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,3,0.539805,0.6011242866516113
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,3,0.188619,0.23669219017028809
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,0.230138,0.29709720611572266
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,3,0.160031,0.2067427635192871
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,3,0.180736,0.22848057746887207
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,3,0.182687,0.2306361198425293
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,4,0.555302,0.6171724796295166
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,4,0.566124,0.6298444271087646
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,4,0.282219,0.3350100517272949
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,4,0.527297,0.5924301147460938
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,4,0.575470,0.6394238471984863
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,4,0.187859,0.23578739166259766
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,4,0.174628,0.22537589073181152
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,4,0.232931,0.28534984588623047
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,4,0.194492,0.24525165557861328
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,4,0.186475,0.2353229522705078
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/medium.min,0,17.336081,17.557609796524048
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/medium.min,0,16.587152,16.794783115386963
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/medium.min,0,10.474101,10.6392982006073
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/medium.min,0,16.289937,16.501275539398193
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/medium.min,0,17.626834,17.841268062591553
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/medium.min,0,7.548092,7.693527936935425
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/medium.min,0,7.069907,7.213087320327759
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/medium.min,0,6.565212,6.703051805496216
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/medium.min,0,6.963395,7.105841875076294
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/medium.min,0,7.693825,7.846303224563599
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/medium.min,1,17.411807,17.630656480789185
ap_clang_O0,clusters/natural/google_trace/octopus/1hour/medium.min,1,17.666030,17.88551950454712
ap_clang_O1,clusters/natural/google_trace/octopus/1hour/medium.min,1,11.000874,11.169493436813354
ap_gcc_debug,clusters/natural/google_trace/octopus/1hour/medium.min,1,16.365907,16.579405784606934
ap_clang_debug,clusters/natural/google_trace/octopus/1hour/medium.min,1,17.648621,17.86868190765381
ap_clang_O2,clusters/natural/google_trace/octopus/1hour/medium.min,1,7.693470,7.857106685638428
ap_gcc_O1,clusters/natural/google_trace/octopus/1hour/medium.min,1,8.775646,9.00687861442566
ap_gcc_O3,clusters/natural/google_trace/octopus/1hour/medium.min,1,6.784549,6.92401647567749
ap_gcc_O2,clusters/natural/google_trace/octopus/1hour/medium.min,1,8.735896,8.955178499221802
ap_clang_O3,clusters/natural/google_trace/octopus/1hour/medium.min,1,8.763557,8.988824844360352
ap_gcc_O0,clusters/natural/google_trace/octopus/1hour/medium.min,2,16.292796,16.50540852546692
