test,file,iteration,algorithm_time,total_time
cs_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.046556,0.0984947681427002
cs_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.006422,0.05306291580200195
cs_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.048648,0.10772037506103516
cs_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005745,0.0500025749206543
cs_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.008523,0.062491416931152344
cs_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005721,0.049603939056396484
cs_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.046443,0.09900808334350586
cs_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005524,0.04846787452697754
cs_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.050111,0.10604977607727051
cs_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.026178,0.07623887062072754
cs_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.045683,0.09118914604187012
cs_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.006308,0.05646848678588867
cs_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.052115,0.10839676856994629
cs_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005869,0.053607940673828125
cs_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.010223,0.06787538528442383
cs_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005962,0.05381584167480469
cs_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.047917,0.10204792022705078
cs_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.008965,0.07086467742919922
cs_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.078193,0.1458585262298584
cs_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.026289,0.07490110397338867
cs_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.046316,0.09887576103210449
cs_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.010697,0.06760430335998535
cs_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.050369,0.10202646255493164
cs_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005757,0.05106687545776367
cs_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.009155,0.06528019905090332
cs_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.007999,0.06522703170776367
cs_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.082566,0.15069890022277832
cs_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005515,0.050690412521362305
cs_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.050361,0.10265922546386719
cs_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.025789,0.0744023323059082
cs_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,3,0.046241,0.10355830192565918
cs_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,0.006441,0.054086923599243164
cs_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,3,0.050563,0.10807013511657715
