test,file,iteration,algorithm_time,total_time
goldberg_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005055,0.030835628509521484
goldberg_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.004825,0.032742977142333984
goldberg_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002773,0.030221939086914062
goldberg_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002896,0.030446529388427734
goldberg_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005188,0.031397104263305664
goldberg_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002854,0.02814960479736328
goldberg_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002683,0.030315876007080078
goldberg_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002581,0.02800774574279785
goldberg_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002746,0.032195329666137695
goldberg_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.004985,0.03299570083618164
goldberg_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005134,0.033061981201171875
goldberg_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005013,0.03515625
goldberg_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002833,0.028393268585205078
goldberg_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002877,0.02854180335998535
goldberg_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005331,0.03331613540649414
goldberg_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002874,0.028566598892211914
goldberg_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002677,0.028516054153442383
goldberg_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002686,0.028234481811523438
goldberg_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002710,0.028110265731811523
goldberg_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004893,0.030766725540161133
goldberg_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.004184,0.03536534309387207
goldberg_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005007,0.031691789627075195
goldberg_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002844,0.02913069725036621
goldberg_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002750,0.03294992446899414
goldberg_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005148,0.030829906463623047
goldberg_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002804,0.03473615646362305
