test,file,iteration,algorithm_time,total_time
relax_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,2.168490,2.2095730304718018
relax_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,9.363542,9.429449796676636
relax_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,4.675535,4.72819972038269
relax_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,3.605182,3.6633353233337402
relax_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,9.311514,9.372730731964111
relax_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,2.187561,2.2361292839050293
relax_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,10.357459,10.419413328170776
relax_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,10.309987,10.377663373947144
relax_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,2.156574,2.2032740116119385
relax_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,2.172709,2.222618818283081
relax_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,2.132941,2.1816787719726562
relax_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,9.402533,9.470130443572998
relax_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,4.684883,4.738764524459839
relax_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,1.990193,2.0361320972442627
relax_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,9.272062,9.333003997802734
relax_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,1.987917,2.0326924324035645
relax_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,10.416601,10.47904634475708
relax_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,10.369781,10.433324098587036
relax_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,3.319910,3.368983030319214
relax_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,2.146435,2.1939806938171387
relax_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,2.065156,2.11198091506958
relax_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,9.398841,9.461532831192017
relax_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,4.646765,4.698063135147095
relax_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,2.041273,2.0876893997192383
relax_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,15.747006,15.83611512184143
relax_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,2.085592,2.133168935775757
relax_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,10.386092,10.447617292404175
relax_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,10.459103,10.521403551101685
relax_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,2.055286,2.103160858154297
relax_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,2.328492,2.37784481048584
relax_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,3,3.647717,3.7118189334869385
relax_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,3,14.561592,14.626718282699585
relax_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,4.665046,4.717535734176636
relax_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,3,1.972668,2.0189015865325928
relax_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,3,9.213178,9.273465633392334
