test,file,iteration,algorithm_time,total_time
frangioni_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.070768,0.10288739204406738
frangioni_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.055491,0.0874330997467041
frangioni_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.161902,0.1950681209564209
frangioni_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.054527,0.08521366119384766
frangioni_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,0.164927,0.1988525390625
frangioni_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.053631,0.08760857582092285
frangioni_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.161529,0.19330453872680664
frangioni_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,0.163852,0.1939694881439209
frangioni_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.05147,0.08214879035949707
frangioni_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.053002,0.08559203147888184
frangioni_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.076779,0.10857129096984863
frangioni_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.062048,0.1018683910369873
frangioni_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.159139,0.19057774543762207
frangioni_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.054962,0.08569669723510742
frangioni_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,0.160199,0.19188237190246582
frangioni_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.058393,0.08905220031738281
frangioni_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.162246,0.19714117050170898
frangioni_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,0.158069,0.18962526321411133
frangioni_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.051388,0.08018827438354492
frangioni_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.051425,0.08227872848510742
frangioni_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.06913,0.10352730751037598
frangioni_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.054404,0.08573746681213379
frangioni_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.163461,0.19501018524169922
frangioni_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.093622,0.12409281730651855
frangioni_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,0.16088,0.1923370361328125
frangioni_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.053644,0.08769989013671875
frangioni_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.162499,0.19375991821289062
frangioni_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,0.166469,0.19844460487365723
frangioni_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.052028,0.08272075653076172
frangioni_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.051595,0.08507061004638672
frangioni_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,0.122018,0.15419411659240723
frangioni_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,3,0.087894,0.11987161636352539
