test,file,iteration,algorithm_time,total_time
9,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002832,0.05290102958679199
6,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003112,0.05342912673950195
21,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002664,0.05072808265686035
12,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002765,0.053484439849853516
4,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003687,0.051584720611572266
11,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002758,0.05173778533935547
14,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003697,0.0677635669708252
20,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002575,0.049614667892456055
5,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005273,0.0670311450958252
28,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002678,0.05127263069152832
19,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002761,0.05542278289794922
10,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002907,0.053623199462890625
17,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002700,0.05534648895263672
31,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002683,0.05327033996582031
24,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003648,0.06252622604370117
23,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002575,0.0528409481048584
16,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002705,0.051288604736328125
8,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003065,0.05229449272155762
13,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003846,0.06277680397033691
22,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002542,0.053827762603759766
15,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002594,0.05088496208190918
30,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002840,0.05164194107055664
3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.004130,0.05695486068725586
25,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002616,0.0516667366027832
26,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003744,0.06510114669799805
18,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002710,0.05520939826965332
7,clusters/natural/google_trace/octopus/1hour/small.min,0,0.003106,0.05333828926086426
29,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002792,0.048560380935668945
27,clusters/natural/google_trace/octopus/1hour/small.min,0,0.002663,0.04844355583190918
2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.006049,0.05156230926513672
9,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002936,0.04896664619445801
6,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003256,0.04897046089172363
21,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004118,0.06607460975646973
12,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003830,0.07841968536376953
4,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003768,0.053014278411865234
11,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002717,0.0497584342956543
14,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002723,0.052941322326660156
20,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003593,0.0710453987121582
5,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003297,0.05156207084655762
28,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002661,0.049603939056396484
19,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002703,0.05100727081298828
10,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003984,0.06996703147888184
17,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002682,0.05374002456665039
31,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002805,0.055599212646484375
24,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002715,0.055028676986694336
23,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003616,0.07853007316589355
16,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002642,0.051924943923950195
8,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003216,0.048938751220703125
13,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003930,0.06773495674133301
22,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004083,0.07418274879455566
15,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004187,0.06793093681335449
30,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002693,0.0512239933013916
3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004234,0.05083179473876953
25,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002706,0.052088260650634766
26,clusters/natural/google_trace/octopus/1hour/small.min,1,0.003421,0.06482601165771484
18,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002836,0.053572893142700195
7,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002982,0.048187255859375
29,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002742,0.04944205284118652
27,clusters/natural/google_trace/octopus/1hour/small.min,1,0.002643,0.04997611045837402
2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005944,0.05258011817932129
9,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002990,0.05023789405822754
6,clusters/natural/google_trace/octopus/1hour/small.min,2,0.003426,0.05135154724121094
21,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002689,0.054903268814086914
12,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002695,0.04864239692687988
4,clusters/natural/google_trace/octopus/1hour/small.min,2,0.003602,0.04871988296508789
11,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002711,0.04625391960144043
14,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002667,0.04807782173156738
20,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002576,0.048010826110839844
5,clusters/natural/google_trace/octopus/1hour/small.min,2,0.003274,0.04951620101928711
28,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002824,0.04880118370056152
19,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002651,0.04778718948364258
10,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002843,0.04680681228637695
17,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002652,0.04592156410217285
31,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002596,0.04842019081115723
24,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002591,0.046675682067871094
23,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002642,0.049840450286865234
16,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002770,0.04859423637390137
8,clusters/natural/google_trace/octopus/1hour/small.min,2,0.003143,0.049523115158081055
13,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002843,0.04491448402404785
22,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002617,0.05676078796386719
15,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002668,0.049617767333984375
30,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002764,0.05336451530456543
3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.004114,0.054979562759399414
25,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002713,0.05464434623718262
26,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002674,0.051516056060791016
18,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002754,0.051906585693359375
7,clusters/natural/google_trace/octopus/1hour/small.min,2,0.003004,0.04716062545776367
29,clusters/natural/google_trace/octopus/1hour/small.min,2,0.002649,0.05288815498352051
27,clusters/natural/google_trace/octopus/1hour/small.min,2,0.003714,0.07935881614685059
2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.007808,0.07684922218322754
9,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002939,0.05551505088806152
6,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003151,0.05452728271484375
21,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002590,0.054941415786743164
12,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002840,0.05488228797912598
4,clusters/natural/google_trace/octopus/1hour/small.min,3,0.005616,0.06455230712890625
11,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002722,0.05239725112915039
14,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002614,0.05164027214050293
20,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002608,0.05472135543823242
5,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003331,0.05317211151123047
28,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002608,0.053177833557128906
19,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002663,0.0551302433013916
10,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003961,0.07778787612915039
17,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003714,0.07552981376647949
31,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003463,0.061554908752441406
24,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002656,0.05224442481994629
23,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002588,0.049906015396118164
16,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003680,0.06733942031860352
8,clusters/natural/google_trace/octopus/1hour/small.min,3,0.004040,0.06827211380004883
13,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002825,0.05349254608154297
22,clusters/natural/google_trace/octopus/1hour/small.min,3,0.003473,0.0548405647277832
15,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002703,0.05499148368835449
30,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002796,0.05848050117492676
3,clusters/natural/google_trace/octopus/1hour/small.min,3,0.004238,0.056966543197631836
25,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002620,0.05287814140319824
26,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002708,0.05337166786193848
18,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002678,0.052124738693237305
7,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002986,0.050048828125
29,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002800,0.05507397651672363
27,clusters/natural/google_trace/octopus/1hour/small.min,3,0.002656,0.05347704887390137
2,clusters/natural/google_trace/octopus/1hour/small.min,3,0.005751,0.05731964111328125
9,clusters/natural/google_trace/octopus/1hour/small.min,4,0.002855,0.04715871810913086
6,clusters/natural/google_trace/octopus/1hour/small.min,4,0.003195,0.051959991455078125
21,clusters/natural/google_trace/octopus/1hour/small.min,4,0.002599,0.05232644081115723
12,clusters/natural/google_trace/octopus/1hour/small.min,4,0.002786,0.05076766014099121
4,clusters/natural/google_trace/octopus/1hour/small.min,4,0.003734,0.05338478088378906
11,clusters/natural/google_trace/octopus/1hour/small.min,4,0.002749,0.052034616470336914
14,clusters/natural/google_trace/octopus/1hour/small.min,4,0.002777,0.051790714263916016
20,clusters/natural/google_trace/octopus/1hour/small.min,4,0.002547,0.05361342430114746
5,clusters/natural/google_trace/octopus/1hour/small.min,4,0.003427,0.052814483642578125
