test,file,iteration,algorithm_time,total_time
wave,clusters/natural/google_trace/octopus/1hour/small.min,0,0.016754,0.0939793586730957
fifo,clusters/natural/google_trace/octopus/1hour/small.min,0,0.008043,0.08597660064697266
wave,clusters/natural/google_trace/octopus/1hour/small.min,1,0.018886,0.08278417587280273
fifo,clusters/natural/google_trace/octopus/1hour/small.min,1,0.009446,0.08804702758789062
wave,clusters/natural/google_trace/octopus/1hour/small.min,2,0.020431,0.09802365303039551
fifo,clusters/natural/google_trace/octopus/1hour/small.min,2,0.009125,0.08699202537536621
wave,clusters/natural/google_trace/octopus/1hour/small.min,3,0.018916,0.09406733512878418
fifo,clusters/natural/google_trace/octopus/1hour/small.min,3,0.009656,0.08582878112792969
wave,clusters/natural/google_trace/octopus/1hour/small.min,4,0.020046,0.09668493270874023
fifo,clusters/natural/google_trace/octopus/1hour/small.min,4,0.009034,0.08463382720947266
wave,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.156334,0.3874976634979248
fifo,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.078712,0.3230574131011963
wave,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.162252,0.4142165184020996
fifo,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.081139,0.3216691017150879
wave,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.152703,0.29500460624694824
fifo,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.077872,0.29950690269470215
wave,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.124811,0.30309081077575684
fifo,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.084605,0.3229806423187256
wave,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.094770,0.26786065101623535
fifo,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.056759,0.20062255859375
wave,clusters/natural/google_trace/octopus/1hour/large.min,0,1.336638,2.2592010498046875
fifo,clusters/natural/google_trace/octopus/1hour/large.min,0,0.532305,1.4419782161712646
wave,clusters/natural/google_trace/octopus/1hour/large.min,1,1.259938,1.9232800006866455
fifo,clusters/natural/google_trace/octopus/1hour/large.min,1,0.621781,1.5882790088653564
wave,clusters/natural/google_trace/octopus/1hour/large.min,2,1.223528,1.9673011302947998
fifo,clusters/natural/google_trace/octopus/1hour/large.min,2,0.465295,1.3828535079956055
wave,clusters/natural/google_trace/octopus/1hour/large.min,3,1.203328,2.157515048980713
fifo,clusters/natural/google_trace/octopus/1hour/large.min,3,0.504064,1.387709617614746
wave,clusters/natural/google_trace/octopus/1hour/large.min,4,1.226237,2.0409555435180664
fifo,clusters/natural/google_trace/octopus/1hour/large.min,4,0.536753,1.463759422302246
wave,clusters/natural/google_trace/octopus/1hour/full_size.min,0,Timeout,Timeout
fifo,clusters/natural/google_trace/octopus/1hour/full_size.min,0,4.067167,7.689443349838257
fifo,clusters/natural/google_trace/octopus/1hour/full_size.min,1,3.843117,7.875364542007446
fifo,clusters/natural/google_trace/octopus/1hour/full_size.min,2,3.829169,7.4409096240997314
fifo,clusters/natural/google_trace/octopus/1hour/full_size.min,3,2.891908,5.4591310024261475
fifo,clusters/natural/google_trace/octopus/1hour/full_size.min,4,2.506283,4.942455530166626
