test,file,iteration,algorithm_time,total_time
set,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005491,0.05616021156311035
getarc,clusters/natural/google_trace/octopus/1hour/small.min,0,0.004690,0.045198917388916016
set,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005512,0.05225944519042969
getarc,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004717,0.0432276725769043
set,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005494,0.05561518669128418
getarc,clusters/natural/google_trace/octopus/1hour/small.min,2,0.004695,0.0507047176361084
set,clusters/natural/google_trace/octopus/1hour/small.min,3,0.005733,0.05990409851074219
getarc,clusters/natural/google_trace/octopus/1hour/small.min,3,0.004722,0.04634261131286621
set,clusters/natural/google_trace/octopus/1hour/small.min,4,0.005500,0.05389976501464844
getarc,clusters/natural/google_trace/octopus/1hour/small.min,4,0.004704,0.049155473709106445
set,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.028380,0.16161274909973145
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.023137,0.14537596702575684
set,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.029310,0.1635265350341797
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.023176,0.14853906631469727
set,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.028442,0.15753483772277832
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.023983,0.151350736618042
set,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.029988,0.16773319244384766
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.024228,0.15044307708740234
set,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.028458,0.16127705574035645
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.023195,0.1409587860107422
set,clusters/natural/google_trace/octopus/1hour/large.min,0,0.306984,0.8813109397888184
getarc,clusters/natural/google_trace/octopus/1hour/large.min,0,0.179615,0.707474946975708
set,clusters/natural/google_trace/octopus/1hour/large.min,1,0.290845,0.8406648635864258
getarc,clusters/natural/google_trace/octopus/1hour/large.min,1,0.184509,0.7190322875976562
set,clusters/natural/google_trace/octopus/1hour/large.min,2,0.292952,0.8255155086517334
getarc,clusters/natural/google_trace/octopus/1hour/large.min,2,0.179791,0.7084670066833496
set,clusters/natural/google_trace/octopus/1hour/large.min,3,0.291622,0.8726229667663574
getarc,clusters/natural/google_trace/octopus/1hour/large.min,3,0.179785,0.7035641670227051
set,clusters/natural/google_trace/octopus/1hour/large.min,4,0.292716,0.8322737216949463
getarc,clusters/natural/google_trace/octopus/1hour/large.min,4,0.179136,0.7069389820098877
set,clusters/natural/google_trace/octopus/1hour/full_size.min,0,2.479908,4.73445725440979
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,0,1.781107,4.2252349853515625
set,clusters/natural/google_trace/octopus/1hour/full_size.min,1,2.361667,4.443103075027466
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,1,1.782246,4.206218719482422
set,clusters/natural/google_trace/octopus/1hour/full_size.min,2,2.368169,4.47041130065918
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,2,1.785309,4.245076417922974
set,clusters/natural/google_trace/octopus/1hour/full_size.min,3,2.494949,4.733951091766357
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,3,1.891050,4.4850382804870605
set,clusters/natural/google_trace/octopus/1hour/full_size.min,4,2.361003,4.4326183795928955
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,4,1.792366,4.19974946975708
