test,file,iteration,algorithm_time,total_time
cache_zerorc,clusters/natural/google_trace/octopus/1hour/small.min,0,2.155075,2.2115283012390137
none,clusters/natural/google_trace/octopus/1hour/small.min,0,5.063324,5.117749452590942
cache_all,clusters/natural/google_trace/octopus/1hour/small.min,0,2.105605,2.155488967895508
cache_zerorc,clusters/natural/google_trace/octopus/1hour/small.min,1,1.338720,1.3926270008087158
none,clusters/natural/google_trace/octopus/1hour/small.min,1,4.599711,4.645193338394165
cache_all,clusters/natural/google_trace/octopus/1hour/small.min,1,2.065056,2.11637806892395
cache_zerorc,clusters/natural/google_trace/octopus/1hour/small.min,2,1.601215,1.6737520694732666
none,clusters/natural/google_trace/octopus/1hour/small.min,2,4.802001,4.848695993423462
cache_all,clusters/natural/google_trace/octopus/1hour/small.min,2,2.177624,2.2299253940582275
cache_zerorc,clusters/natural/google_trace/octopus/1hour/small.min,3,1.376862,1.4225623607635498
none,clusters/natural/google_trace/octopus/1hour/small.min,3,4.707427,4.759757041931152
cache_all,clusters/natural/google_trace/octopus/1hour/small.min,3,2.329458,2.3767521381378174
cache_zerorc,clusters/natural/google_trace/octopus/1hour/small.min,4,1.570538,1.650268793106079
none,clusters/natural/google_trace/octopus/1hour/small.min,4,4.534720,4.582403659820557
cache_all,clusters/natural/google_trace/octopus/1hour/small.min,4,2.019360,2.06451153755188
cache_zerorc,clusters/natural/google_trace/octopus/1hour/medium.min,0,56.247524,56.51061677932739
none,clusters/natural/google_trace/octopus/1hour/medium.min,0,Timeout,Timeout
cache_all,clusters/natural/google_trace/octopus/1hour/medium.min,0,67.086355,67.25734758377075
cache_zerorc,clusters/natural/google_trace/octopus/1hour/medium.min,1,50.749969,51.01770997047424
cache_all,clusters/natural/google_trace/octopus/1hour/medium.min,1,68.740342,68.9994306564331
cache_zerorc,clusters/natural/google_trace/octopus/1hour/medium.min,2,59.761992,60.02772331237793
cache_all,clusters/natural/google_trace/octopus/1hour/medium.min,2,69.548741,69.69803929328918
cache_zerorc,clusters/natural/google_trace/octopus/1hour/medium.min,3,53.128408,53.27606153488159
cache_all,clusters/natural/google_trace/octopus/1hour/medium.min,3,66.747002,66.88772296905518
cache_zerorc,clusters/natural/google_trace/octopus/1hour/medium.min,4,47.836700,48.00808548927307
cache_all,clusters/natural/google_trace/octopus/1hour/medium.min,4,68.346795,68.495845079422
