file,delta_id,test_iteration,refine_iteration,refine_time,overhead_time,epsilon,cost,task_assignments_changed
clusters/natural/google_trace/small_trace_truncated.imin,0,0,0,132517,17850,329560000,106715125,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,1,172798,17792,164780000,99415567,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,2,227923,17738,82390000,97411227,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,3,234793,17806,41195000,96546077,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,4,184229,17879,20597500,96151171,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,5,155427,17873,10298750,96080204,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,6,140064,17795,5149375,96021087,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,7,175759,17850,2574687,96008988,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,8,156646,18425,1287343,96007792,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,9,150375,18284,643671,96006978,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,10,127629,18451,321835,96006912,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,11,176600,18021,160917,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,12,154487,17947,80458,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,13,179402,18093,40229,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,14,113489,18695,20114,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,15,154813,17918,10057,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,16,160003,17942,5028,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,17,107482,17857,2514,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,18,140342,17976,1257,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,19,133501,17880,628,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,20,116785,17859,314,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,21,110558,18780,157,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,22,189815,18433,78,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,23,141592,18645,39,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,24,150132,18626,19,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,25,129686,18595,9,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,26,136010,19006,4,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,0,0,27,144910,18803,2,96006890,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,0,175185,17386,329560000,98957598,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,1,58496,17441,164780000,98955901,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,2,148824,17345,82390000,98954297,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,3,92312,17588,41195000,98953699,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,4,109053,17558,20597500,98953348,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,5,114564,17484,10298750,98953166,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,6,150472,17544,5149375,98953027,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,7,100477,17241,2574687,98952995,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,8,128218,17196,1287343,98952935,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,9,137362,17556,643671,98952940,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,10,108677,17581,321835,98952928,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,11,108702,17377,160917,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,12,140481,17629,80458,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,13,147855,17643,40229,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,14,145317,17658,20114,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,15,153477,17697,10057,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,16,154836,17301,5028,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,17,136065,17639,2514,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,18,164646,17782,1257,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,19,159128,17928,628,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,20,179975,19045,314,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,21,148760,18817,157,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,22,156523,19064,78,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,23,148744,18609,39,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,24,150218,18341,19,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,25,127800,18903,9,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,26,169097,18766,4,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,1,0,27,113817,18271,2,98952927,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,0,186631,18001,329560000,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,1,20845,17955,164780000,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,2,20280,18025,82390000,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,3,20425,17999,41195000,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,4,20416,17939,20597500,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,5,20282,17968,10298750,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,6,20380,18000,5149375,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,7,20421,18109,2574687,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,8,20325,17871,1287343,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,9,20398,17993,643671,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,10,20352,17894,321835,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,11,20383,17993,160917,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,12,20223,17876,80458,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,13,20159,17900,40229,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,14,20316,17930,20114,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,15,20349,17880,10057,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,16,20286,17962,5028,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,17,20296,17877,2514,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,18,20322,17850,1257,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,19,20365,17805,628,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,20,20210,17941,314,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,21,20245,17854,157,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,22,20441,17905,78,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,23,20238,17866,39,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,24,20269,17943,19,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,25,20249,17947,9,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,26,20352,17955,4,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,2,0,27,22254,19127,2,99042609,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,0,192323,17783,329560000,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,1,39869,17685,164780000,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,2,20167,17748,82390000,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,3,20179,18527,41195000,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,4,20366,17826,20597500,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,5,20092,17766,10298750,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,6,20097,17804,5149375,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,7,20147,17788,2574687,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,8,20134,17805,1287343,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,9,20125,17753,643671,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,10,20185,17739,321835,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,11,20124,17724,160917,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,12,20149,17747,80458,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,13,20121,17998,40229,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,14,20641,18911,20114,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,15,21467,18962,10057,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,16,21977,19464,5028,98928798,-1
clusters/natural/google_trace/small_trace_truncated.imin,3,0,17,21311,19058,2514,98928798,-1
