test,file,iteration,algorithm_time,total_time
big,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,0.145178,0.2365279197692871
small_vector,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,0.097130,0.19628262519836426
small_map,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,0.184470,0.27561044692993164
big,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,0.146559,0.2354898452758789
small_vector,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,0.097094,0.1877446174621582
small_map,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,0.172604,0.26091814041137695
big,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,0.143411,0.22890925407409668
small_vector,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,0.107373,0.2003345489501953
small_map,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,0.169945,0.2594726085662842
big,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,0.156588,0.24991559982299805
small_vector,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,0.132825,0.2641167640686035
small_map,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,0.183259,0.27483129501342773
big,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,0.152892,0.24755406379699707
small_vector,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,0.098113,0.18512272834777832
small_map,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,0.172801,0.26415514945983887
big,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,0.331237,0.4655122756958008
small_vector,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,0.263581,0.4643709659576416
small_map,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,0.325212,0.45259737968444824
big,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,0.313281,0.44490981101989746
small_vector,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,0.189510,0.3180685043334961
small_map,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,0.325841,0.4521486759185791
big,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,0.338675,0.47304654121398926
small_vector,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,0.212651,0.3489835262298584
small_map,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,0.343309,0.47592616081237793
big,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,0.305764,0.42998790740966797
small_vector,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,0.190471,0.3151826858520508
small_map,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,0.321995,0.4472770690917969
big,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,0.395960,0.5926239490509033
small_vector,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,0.191043,0.31792640686035156
small_map,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,0.329797,0.45748138427734375
big,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,6.876593,7.366987705230713
small_vector,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,5.222742,5.699585914611816
small_map,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,9.834916,10.32065486907959
big,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,8.593646,9.097098350524902
small_vector,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,5.597654,6.0918073654174805
small_map,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,9.778733,10.259742975234985
big,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,7.661466,8.152195692062378
small_vector,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,5.144643,5.631851434707642
small_map,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,9.275362,9.770734548568726
big,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,7.801846,8.284496307373047
small_vector,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,6.187405,6.993041038513184
small_map,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,9.134262,9.614021062850952
big,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,7.729438,8.214489459991455
small_vector,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,5.058266,5.551932334899902
small_map,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,8.893566,9.376147985458374
big,clusters/natural/google_trace/google_all.in,0,Timeout,Timeout
small_vector,clusters/natural/google_trace/google_all.in,0,Timeout,Timeout
small_map,clusters/natural/google_trace/google_all.in,0,Timeout,Timeout
