test,file,iteration,algorithm_time,total_time
full,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,0.098573,0.1826319694519043
partial,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,0.752719,0.8402969837188721
full,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,0.107335,0.20032596588134766
partial,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,0.818776,0.9087166786193848
full,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,0.102989,0.19356989860534668
partial,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,0.764359,0.8502905368804932
full,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,0.101134,0.1921529769897461
partial,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,0.752968,0.8405232429504395
full,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,0.105575,0.19734787940979004
partial,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,0.745036,0.8360767364501953
full,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,0.207507,0.343487024307251
partial,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,1.779489,1.9091355800628662
full,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,0.192328,0.31885457038879395
partial,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,1.858034,1.989650011062622
full,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,0.193618,0.3204324245452881
partial,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,1.783549,1.9099466800689697
full,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,0.197073,0.3317887783050537
partial,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,1.773218,1.8984131813049316
full,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,0.207382,0.34270501136779785
partial,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,1.933136,2.066411018371582
full,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,4.869054,5.3794777393341064
partial,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,54.623458,55.09445810317993
full,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,7.924852,8.71826171875
partial,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,56.549234,57.0657320022583
full,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,4.884371,5.361927032470703
partial,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,54.119999,54.602458238601685
full,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,4.302597,4.784816741943359
partial,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,56.970292,57.45734930038452
full,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,5.696256,6.214994668960571
partial,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,56.794891,57.27531409263611
full,clusters/natural/google_trace/google_all.in,0,Timeout,Timeout
partial,clusters/natural/google_trace/google_all.in,0,Timeout,Timeout
