test,file,iteration,algorithm_time,total_time
cc_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,0.799484,0.8536117076873779
cc_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,0,3.261983,3.317303419113159
cc_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,6.384070,6.4489686489105225
cc_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,0,6.903213,6.967572450637817
cc_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,11.051868,11.141484022140503
cc_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,1.110553,1.1734378337860107
cc_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,0,7.005454,7.071020126342773
cc_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,1.180578,1.2436833381652832
cc_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,0,0.803376,0.8558139801025391
cc_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,0,0.751212,0.7996258735656738
cc_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,0.769937,0.8206851482391357
cc_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,1,3.274224,3.3318262100219727
cc_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,6.452744,6.520200252532959
cc_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,1,6.963915,7.028658866882324
cc_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,6.522646,6.58866548538208
cc_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,1.121247,1.184311866760254
cc_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,1,6.973838,7.038942813873291
cc_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.836777,0.8868808746337891
cc_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,1,0.815533,0.8658390045166016
cc_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,1,0.751743,0.8001768589019775
cc_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,0.781808,0.8322370052337646
cc_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,2,3.360699,3.414419651031494
cc_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,6.498174,6.562304258346558
cc_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,2,11.427676,11.523109436035156
cc_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,6.530463,6.595064163208008
cc_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.759596,0.8091592788696289
cc_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,2,7.352377,7.420637369155884
cc_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.846803,0.8974189758300781
cc_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,2,0.846162,0.8973534107208252
cc_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,2,0.769441,0.8177304267883301
cc_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,0.813641,0.866281270980835
cc_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,3,3.526603,3.5774898529052734
cc_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,3,6.588497,6.65343165397644
cc_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,3,7.094105,7.168386220932007
cc_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,3,6.592051,6.658451318740845
cc_gcc_O3,clusters/natural/google_trace/octopus/1hour/small.min,3,0.751064,0.8009531497955322
cc_gcc_debug,clusters/natural/google_trace/octopus/1hour/small.min,3,9.713005,9.806113004684448
cc_clang_O2,clusters/natural/google_trace/octopus/1hour/small.min,3,0.847300,0.898066520690918
cc_clang_O3,clusters/natural/google_trace/octopus/1hour/small.min,3,0.866999,0.9211680889129639
cc_gcc_O2,clusters/natural/google_trace/octopus/1hour/small.min,3,1.152591,1.2142400741577148
cc_gcc_O1,clusters/natural/google_trace/octopus/1hour/small.min,4,0.773990,0.8234274387359619
cc_clang_O1,clusters/natural/google_trace/octopus/1hour/small.min,4,2.856152,2.908393621444702
cc_clang_O0,clusters/natural/google_trace/octopus/1hour/small.min,4,6.413562,6.478918075561523
cc_gcc_O0,clusters/natural/google_trace/octopus/1hour/small.min,4,6.341532,6.4066245555877686
cc_clang_debug,clusters/natural/google_trace/octopus/1hour/small.min,4,5.672267,5.737669944763184
