test,file,iteration,algorithm_time,total_time
cs_clang_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,1.161053,1.609069585800171
cs_clang_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,4.500826,5.106704950332642
cs_clang_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,1.244951,1.7408781051635742
cs_clang_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,2.502108,2.9968247413635254
cs_gcc_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,1.193108,1.6397273540496826
cs_gcc_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,4.835621,5.433708190917969
cs_gcc_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,1.124066,1.5712170600891113
cs_clang_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,4.277351,4.822352170944214
cs_gcc_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,1.872362,2.68611478805542
cs_gcc_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,4.364372,4.920816659927368
cs_clang_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,1.183351,1.6421244144439697
cs_clang_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,4.231586,4.781811475753784
cs_clang_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,1.240834,1.7290563583374023
cs_clang_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,2.502262,2.9978227615356445
cs_gcc_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,1.167266,1.637448787689209
cs_gcc_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,4.859202,5.431241989135742
cs_gcc_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,1.295366,1.78977632522583
cs_clang_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,4.487303,5.044387578964233
cs_gcc_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,1.292774,1.7563576698303223
cs_gcc_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,4.632566,5.188822507858276
cs_clang_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,1.224893,1.6754510402679443
cs_clang_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,4.417143,4.9734206199646
cs_clang_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,1.360053,1.8336927890777588
cs_clang_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,2.641553,3.1353213787078857
cs_gcc_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,1.402848,1.887125015258789
cs_gcc_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,4.591625,5.144930124282837
cs_gcc_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,1.294262,1.7767786979675293
cs_clang_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,4.401188,4.952175140380859
cs_gcc_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,1.347323,1.831502914428711
cs_gcc_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,4.561988,5.119561433792114
cs_clang_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,1.196675,1.6583385467529297
cs_clang_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,4.827892,5.4183313846588135
cs_clang_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,1.212915,1.6698131561279297
cs_clang_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,2.623953,3.135909080505371
cs_gcc_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,1.120417,1.5634818077087402
cs_gcc_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,4.830605,5.430852651596069
cs_gcc_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,1.133633,1.587203025817871
cs_clang_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,4.418937,4.967969179153442
cs_gcc_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,1.266744,1.7380614280700684
cs_gcc_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,5.012628,5.608084678649902
cs_clang_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,1.305834,1.7922894954681396
cs_clang_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,6.620916,7.582314968109131
cs_clang_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,1.205630,1.655874490737915
cs_clang_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,2.636744,3.131324052810669
cs_gcc_O2,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,1.371008,1.8348102569580078
cs_gcc_debug,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,4.599625,5.1701531410217285
cs_gcc_O3,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,1.191321,1.6328599452972412
cs_clang_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,4.899057,5.499326229095459
cs_gcc_O1,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,1.926417,2.743109941482544
cs_gcc_O0,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,4.636489,5.207402944564819
cs_clang_O3,clusters/natural/google_trace/google_all.in,0,35.877627,40.49796223640442
cs_clang_debug,clusters/natural/google_trace/google_all.in,0,95.178193,100.80616307258606
cs_clang_O2,clusters/natural/google_trace/google_all.in,0,36.499694,40.97782230377197
cs_clang_O1,clusters/natural/google_trace/google_all.in,0,64.476423,69.52156376838684
cs_gcc_O2,clusters/natural/google_trace/google_all.in,0,36.313033,40.765706062316895
cs_gcc_debug,clusters/natural/google_trace/google_all.in,0,106.945307,113.24071621894836
cs_gcc_O3,clusters/natural/google_trace/google_all.in,0,34.938776,39.92686367034912
cs_clang_O0,clusters/natural/google_trace/google_all.in,0,105.346474,111.56752395629883
cs_gcc_O1,clusters/natural/google_trace/google_all.in,0,40.418116,45.23967957496643
cs_gcc_O0,clusters/natural/google_trace/google_all.in,0,110.634845,117.25881886482239
cs_clang_O3,clusters/natural/google_trace/google_all.in,1,40.070422,45.08823370933533
cs_clang_debug,clusters/natural/google_trace/google_all.in,1,99.263248,105.15271353721619
cs_clang_O2,clusters/natural/google_trace/google_all.in,1,36.797344,41.50988459587097
