test,file,iteration,algorithm_time,total_time
wave,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,1.206106,1.2879624366760254
fifo,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,0,0.077833,0.16326093673706055
wave,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,1.155285,1.2385389804840088
fifo,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,1,0.076522,0.1594839096069336
wave,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,1.206956,1.2908358573913574
fifo,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,2,0.077753,0.16269254684448242
wave,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,1.153496,1.2354352474212646
fifo,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,3,0.076806,0.16424012184143066
wave,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,1.183034,1.2713630199432373
fifo,clusters/synthetic/firmament/graph_100m_8j_100t_10p.in,4,0.076551,0.16051578521728516
wave,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,2.702453,2.8239877223968506
fifo,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,0,0.107116,0.22715377807617188
wave,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,2.755564,2.8758063316345215
fifo,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,1,0.109061,0.2330493927001953
wave,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,2.861278,2.9832193851470947
fifo,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,2,0.113242,0.23802685737609863
wave,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,2.993012,3.205662727355957
fifo,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,3,0.106862,0.22775936126708984
wave,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,2.726484,2.847646951675415
fifo,clusters/synthetic/firmament/graph_100m_16j_100t_10p.in,4,0.106958,0.23118114471435547
wave,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,141.051897,141.4915416240692
fifo,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,0,1.063187,1.5208427906036377
wave,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,147.227955,147.68101739883423
fifo,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,1,1.057789,1.4945075511932373
wave,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,134.407977,134.83463144302368
fifo,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,2,1.064010,1.5022969245910645
wave,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,148.683394,149.13756704330444
fifo,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,3,1.054094,1.4925615787506104
wave,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,140.810973,141.26753616333008
fifo,clusters/synthetic/firmament/graph_1000m_32j_100t_10p.in,4,1.066358,1.4993929862976074
