test,file,iteration,algorithm_time,total_time
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005153,0.04822039604187012
all_arcs,clusters/natural/google_trace/octopus/1hour/small.min,0,0.005317,0.051654815673828125
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005007,0.048001766204833984
all_arcs,clusters/natural/google_trace/octopus/1hour/small.min,1,0.007780,0.06562924385070801
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/small.min,2,0.004975,0.05310487747192383
all_arcs,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005009,0.05042767524719238
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/small.min,3,0.006703,0.07711958885192871
all_arcs,clusters/natural/google_trace/octopus/1hour/small.min,3,0.006580,0.06868505477905273
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/small.min,4,0.006744,0.08081316947937012
all_arcs,clusters/natural/google_trace/octopus/1hour/small.min,4,0.005192,0.05668139457702637
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.026143,0.15273213386535645
all_arcs,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.035623,0.24144601821899414
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.026111,0.1561279296875
all_arcs,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.034287,0.17046809196472168
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.025964,0.1455554962158203
all_arcs,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.026025,0.15725088119506836
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.025246,0.14811086654663086
all_arcs,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.028280,0.15398716926574707
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.028604,0.15477728843688965
all_arcs,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.027662,0.15880560874938965
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/large.min,0,0.255001,0.8488733768463135
all_arcs,clusters/natural/google_trace/octopus/1hour/large.min,0,0.251593,0.935460090637207
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/large.min,1,0.260841,0.8322174549102783
all_arcs,clusters/natural/google_trace/octopus/1hour/large.min,1,0.308010,1.018505334854126
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/large.min,2,0.250277,0.9601686000823975
all_arcs,clusters/natural/google_trace/octopus/1hour/large.min,2,0.254260,0.8724937438964844
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/large.min,3,0.254907,0.8266332149505615
all_arcs,clusters/natural/google_trace/octopus/1hour/large.min,3,0.250746,0.8871662616729736
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/large.min,4,0.305401,0.9047918319702148
all_arcs,clusters/natural/google_trace/octopus/1hour/large.min,4,0.289185,0.8964035511016846
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/full_size.min,0,2.612588,5.7273924350738525
all_arcs,clusters/natural/google_trace/octopus/1hour/full_size.min,0,2.747770,5.697386026382446
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/full_size.min,1,2.664077,5.927357912063599
all_arcs,clusters/natural/google_trace/octopus/1hour/full_size.min,1,2.926436,7.7723166942596436
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/full_size.min,2,3.004981,6.935797452926636
all_arcs,clusters/natural/google_trace/octopus/1hour/full_size.min,2,3.046098,7.089436769485474
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/full_size.min,3,2.838494,6.752955913543701
all_arcs,clusters/natural/google_trace/octopus/1hour/full_size.min,3,3.012376,7.062981605529785
ignore_zero_cap,clusters/natural/google_trace/octopus/1hour/full_size.min,4,3.189068,6.675045967102051
all_arcs,clusters/natural/google_trace/octopus/1hour/full_size.min,4,3.047666,6.922878980636597
