test,file,iteration,algorithm_time,total_time
getarc,clusters/natural/google_trace/octopus/1hour/small.min,0,0.004907,0.046807050704956055
set,clusters/natural/google_trace/octopus/1hour/small.min,0,0.008333,0.06790351867675781
getarc,clusters/natural/google_trace/octopus/1hour/small.min,1,0.004887,0.051882266998291016
set,clusters/natural/google_trace/octopus/1hour/small.min,1,0.005541,0.05306267738342285
getarc,clusters/natural/google_trace/octopus/1hour/small.min,2,0.004718,0.04541206359863281
set,clusters/natural/google_trace/octopus/1hour/small.min,2,0.005563,0.0543057918548584
getarc,clusters/natural/google_trace/octopus/1hour/small.min,3,0.004755,0.05085492134094238
set,clusters/natural/google_trace/octopus/1hour/small.min,3,0.005794,0.05814170837402344
getarc,clusters/natural/google_trace/octopus/1hour/small.min,4,0.004768,0.04729938507080078
set,clusters/natural/google_trace/octopus/1hour/small.min,4,0.005559,0.054823875427246094
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.024230,0.15172672271728516
set,clusters/natural/google_trace/octopus/1hour/medium.min,0,0.042882,0.2791285514831543
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.024597,0.150315523147583
set,clusters/natural/google_trace/octopus/1hour/medium.min,1,0.035882,0.17167401313781738
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.024988,0.14987778663635254
set,clusters/natural/google_trace/octopus/1hour/medium.min,2,0.031457,0.1705327033996582
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.039190,0.22473907470703125
set,clusters/natural/google_trace/octopus/1hour/medium.min,3,0.034318,0.176316499710083
getarc,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.025182,0.1479182243347168
set,clusters/natural/google_trace/octopus/1hour/medium.min,4,0.033429,0.16188359260559082
getarc,clusters/natural/google_trace/octopus/1hour/large.min,0,0.201635,0.7385268211364746
set,clusters/natural/google_trace/octopus/1hour/large.min,0,0.332449,0.9051773548126221
getarc,clusters/natural/google_trace/octopus/1hour/large.min,1,0.213462,0.7320387363433838
set,clusters/natural/google_trace/octopus/1hour/large.min,1,0.326463,0.8699905872344971
getarc,clusters/natural/google_trace/octopus/1hour/large.min,2,0.209816,0.764887809753418
set,clusters/natural/google_trace/octopus/1hour/large.min,2,0.313895,1.0243942737579346
getarc,clusters/natural/google_trace/octopus/1hour/large.min,3,0.194468,0.7509188652038574
set,clusters/natural/google_trace/octopus/1hour/large.min,3,0.306034,1.2269163131713867
getarc,clusters/natural/google_trace/octopus/1hour/large.min,4,0.205473,0.7565927505493164
set,clusters/natural/google_trace/octopus/1hour/large.min,4,0.307650,0.8559119701385498
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,0,1.996521,4.488570690155029
set,clusters/natural/google_trace/octopus/1hour/full_size.min,0,2.594844,5.001013517379761
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,1,1.983902,4.633224010467529
set,clusters/natural/google_trace/octopus/1hour/full_size.min,1,2.572338,4.798906326293945
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,2,1.977109,4.414623737335205
set,clusters/natural/google_trace/octopus/1hour/full_size.min,2,2.657762,4.8277058601379395
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,3,2.156306,4.670556545257568
set,clusters/natural/google_trace/octopus/1hour/full_size.min,3,2.585019,5.080621004104614
getarc,clusters/natural/google_trace/octopus/1hour/full_size.min,4,1.986371,4.572345733642578
set,clusters/natural/google_trace/octopus/1hour/full_size.min,4,2.520860,5.214581489562988
