test,file,delta_id,iteration,algorithm_time,total_time
my,tiny_trace,0,0,0.000045,0.02127695083618164
my,tiny_trace,1,0,0.000028,0.0005841255187988281
my,tiny_trace,2,0,0.000008,3.170967102050781e-05
my,tiny_trace,3,0,0.000007,0.0002415180206298828
my,tiny_trace,4,0,0.000017,3.075599670410156e-05
my,tiny_trace,5,0,0.000007,0.00025844573974609375
my,tiny_trace,6,0,0.000008,2.9325485229492188e-05
my,tiny_trace,7,0,0.000016,3.24249267578125e-05
my,tiny_trace,8,0,0.000014,0.00025272369384765625
my,tiny_trace,9,0,0.000012,3.0994415283203125e-05
my,tiny_trace,10,0,0.000016,3.0994415283203125e-05
my,tiny_trace,11,0,0.000015,0.0003552436828613281
my,tiny_trace,12,0,0.000014,2.1696090698242188e-05
my,tiny_trace,13,0,0.000016,1.8358230590820312e-05
my,tiny_trace,14,0,0.000013,1.7404556274414062e-05
my,tiny_trace,15,0,0.000013,3.123283386230469e-05
my,tiny_trace,16,0,0.000016,2.0503997802734375e-05
my,tiny_trace,17,0,0.000014,2.7894973754882812e-05
my,tiny_trace,18,0,0.000011,2.0265579223632812e-05
my,tiny_trace,19,0,0.000012,1.7404556274414062e-05
my,tiny_trace,20,0,0.000008,1.7404556274414062e-05
my,tiny_trace,21,0,0.000004,3.2901763916015625e-05
goldberg,tiny_trace,0,0,0.000000,0.0030617713928222656
goldberg,tiny_trace,1,0,0.000000,0.002635478973388672
goldberg,tiny_trace,2,0,0.000000,0.002653360366821289
goldberg,tiny_trace,3,0,0.000000,0.002819061279296875
goldberg,tiny_trace,4,0,0.000000,0.0028808116912841797
goldberg,tiny_trace,5,0,0.000000,0.0031681060791015625
goldberg,tiny_trace,6,0,0.000688,0.0030388832092285156
goldberg,tiny_trace,7,0,0.000000,0.0029802322387695312
goldberg,tiny_trace,8,0,0.000000,0.0028312206268310547
goldberg,tiny_trace,9,0,0.000000,0.0028803348541259766
goldberg,tiny_trace,10,0,0.000000,0.002942323684692383
goldberg,tiny_trace,11,0,0.000000,0.0030858516693115234
goldberg,tiny_trace,12,0,0.000000,0.0030088424682617188
goldberg,tiny_trace,13,0,0.000000,0.0028076171875
goldberg,tiny_trace,14,0,0.000000,0.0031273365020751953
goldberg,tiny_trace,15,0,0.000000,0.0028357505798339844
goldberg,tiny_trace,16,0,0.000000,0.0026836395263671875
goldberg,tiny_trace,17,0,0.000000,0.0028159618377685547
goldberg,tiny_trace,18,0,0.000000,0.002891063690185547
goldberg,tiny_trace,19,0,0.000000,0.002790212631225586
goldberg,tiny_trace,20,0,0.000000,0.0030100345611572266
goldberg,tiny_trace,21,0,0.000000,0.0029997825622558594
goldberg,tiny_trace,22,0,0.000000,0.0029649734497070312
my,tiny_trace,0,1,0.000046,0.022727489471435547
my,tiny_trace,1,1,0.000021,0.0005075931549072266
