test,trace,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time
goldberg,tiny_trace,0,0,0,0,0,0.00322573,0.00620597
goldberg,tiny_trace,1,10,0,0,0,0.00311232,0.00406307
goldberg,tiny_trace,2,90,0,0,0,0.00314786,0.0041944
goldberg,tiny_trace,3,100,0,0,0,0.00302024,0.00392235
goldberg,tiny_trace,4,110,0,0,0,0.00301912,0.00412965
goldberg,tiny_trace,5,200,0,0,0,0.00303821,0.0040272
goldberg,tiny_trace,6,300,0,0,0,0.00313292,0.00415846
goldberg,tiny_trace,7,305,0,0,0,0.00292337,0.00388208
goldberg,tiny_trace,8,310,0,0,0,0.00315127,0.0042115
goldberg,tiny_trace,9,315,0,0,0,0.00320216,0.00425253
goldberg,tiny_trace,10,320,0,0,0,0.00318976,0.00436247
goldberg,tiny_trace,11,400,0,0,0,0.00315879,0.0042956
goldberg,tiny_trace,12,409,0,0,0,0.00313488,0.0041403
goldberg,tiny_trace,13,410,0,0,0,0.00321638,0.00430515
goldberg,tiny_trace,14,420,0,0,0,0.00327113,0.00440325
goldberg,tiny_trace,15,450,0,0,0,0.00323657,0.00434765
goldberg,tiny_trace,16,455,0,0,0,0.0032451,0.00426035
goldberg,tiny_trace,17,500,0,0,0,0.00314045,0.00425604
goldberg,tiny_trace,18,540,0,4.9e-05,4.9e-05,0.00312029,0.00413839
goldberg,tiny_trace,19,589,0,2.9e-05,0,0.00315008,0.00421575
goldberg,tiny_trace,20,590,0,0,0,0.00307305,0.00407228
goldberg,tiny_trace,21,620,0,0,0,0.0030802,0.00410123
goldberg,tiny_trace,22,625,0,0,0,0.00305788,0.00402783
my,tiny_trace,0,0,0,4.4e-05,4.4e-05,0.0028328,0.00523203
my,tiny_trace,1,44,0,5.4e-05,2e-05,0.000758788,0.0010681
my,tiny_trace,2,90,0,1e-05,1e-05,0.000342267,0.000512033
my,tiny_trace,3,100,0,9e-06,9e-06,0.000408942,0.000577971
my,tiny_trace,4,110,0,1.1e-05,1.1e-05,0.000370064,0.000721457
my,tiny_trace,5,200,0,1.1e-05,1.1e-05,0.000452959,0.000607551
my,tiny_trace,6,300,0,9e-06,9e-06,0.000386442,0.000600369
my,tiny_trace,7,309,0,1e-05,6e-06,0.000394001,0.000531301
my,tiny_trace,8,315,0,2.2e-05,1.7e-05,0.000394028,0.000790283
my,tiny_trace,9,332,0,2.8e-05,1.6e-05,0.000502454,0.000861275
my,tiny_trace,10,400,0,1e-05,1e-05,0.000344741,0.000631709
my,tiny_trace,11,410,0,1.8e-05,1.7e-05,0.000520991,0.000827709
my,tiny_trace,12,427,0,1.8e-05,1.1e-05,0.000504247,0.000793572
my,tiny_trace,13,450,0,1.1e-05,1.1e-05,0.000376672,0.000593317
my,tiny_trace,14,461,0,2.1e-05,1.5e-05,0.000419481,0.00063536
my,tiny_trace,15,476,0,0,7e-06,0.000397101,0.00053927
my,tiny_trace,16,500,0,9e-06,9e-06,0.000380752,0.000616798
my,tiny_trace,17,509,0,0,6e-06,0.000388075,0.00052716
my,tiny_trace,18,515,0,1.6e-05,1.1e-05,0.000360095,0.000536323
my,tiny_trace,19,526,0,0,5e-06,0.000369426,0.000502687
my,tiny_trace,20,575,0,1.1e-05,1.1e-05,0.00032947,0.000537144
my,tiny_trace,21,586,0,0,5e-06,0.000386697,0.000515041
my,tiny_trace,22,605,0,9e-06,9e-06,0.000316907,0.000511614
my,tiny_trace,23,614,0,0,5e-06,0.00031681,0.000439813
goldberg,tiny_trace,0,0,1,0,0,0.00325451,0.00694372
goldberg,tiny_trace,1,10,1,0,0,0.00331731,0.00503614
goldberg,tiny_trace,2,90,1,0,0,0.00314914,0.00482924
goldberg,tiny_trace,3,100,1,0,0,0.00321971,0.0049248
goldberg,tiny_trace,4,110,1,0,0,0.00320552,0.0051101
goldberg,tiny_trace,5,200,1,0,0,0.00320262,0.00492274
goldberg,tiny_trace,6,300,1,0,0,0.00326673,0.00505133
goldberg,tiny_trace,7,305,1,0,0,0.00318799,0.00477105
goldberg,tiny_trace,8,310,1,0,0,0.00327145,0.00512957
goldberg,tiny_trace,9,315,1,0,0,0.00324319,0.00503311
goldberg,tiny_trace,10,320,1,0,0,0.00339926,0.00527993
goldberg,tiny_trace,11,400,1,4.8e-05,4.8e-05,0.00319902,0.00512927
goldberg,tiny_trace,12,448,1,3.9e-05,0,0.00350189,0.00554513
goldberg,tiny_trace,13,450,1,0,0,0.00335451,0.00515477
goldberg,tiny_trace,14,455,1,5.9e-05,5.9e-05,0.00334593,0.00512501
goldberg,tiny_trace,15,514,1,1.4e-05,0,0.00326915,0.00511747
goldberg,tiny_trace,16,560,1,0,0,0.00336275,0.00503391
goldberg,tiny_trace,17,565,1,0,0,0.00323287,0.00489738
goldberg,tiny_trace,18,575,1,0,0,0.00332479,0.00509225
goldberg,tiny_trace,19,590,1,0,0,0.00329332,0.00493935
goldberg,tiny_trace,20,595,1,0,0,0.00336395,0.00505475
goldberg,tiny_trace,21,620,1,0,0,0.00322687,0.00491454
goldberg,tiny_trace,22,625,1,0,0,0.00322454,0.0048299
my,tiny_trace,0,0,1,4.5e-05,4.5e-05,0.00299782,0.00539157
my,tiny_trace,1,45,1,5.7e-05,2.2e-05,0.000817266,0.00112413
my,tiny_trace,2,90,1,9e-06,9e-06,0.000333299,0.000507441
my,tiny_trace,3,99,1,0,6e-06,0.00042748,0.000539448
my,tiny_trace,4,105,1,1.2e-05,7e-06,0.000433207,0.000599063
my,tiny_trace,5,112,1,1.4e-05,1.2e-05,0.000462201,0.000794197
my,tiny_trace,6,200,1,7e-06,7e-06,0.000433263,0.000590136
my,tiny_trace,7,300,1,9e-06,9e-06,0.000458734,0.00067401
my,tiny_trace,8,309,1,1e-05,6e-06,0.000421018,0.000557108
my,tiny_trace,9,315,1,2.4e-05,1.9e-05,0.000511605,0.00092916
my,tiny_trace,10,334,1,3e-05,1.6e-05,0.000603665,0.000988196
my,tiny_trace,11,400,1,1e-05,1e-05,0.000477386,0.000766891
my,tiny_trace,12,410,1,1.7e-05,1.6e-05,0.000533579,0.000841254
my,tiny_trace,13,426,1,1.5e-05,9e-06,0.000555729,0.000862685
my,tiny_trace,14,450,1,1.3e-05,1.3e-05,0.000462881,0.000682606
my,tiny_trace,15,463,1,2.5e-05,1.7e-05,0.000536207,0.000753918
my,tiny_trace,16,480,1,0,8e-06,0.000547376,0.000697989
my,tiny_trace,17,500,1,9e-06,9e-06,0.000576123,0.000823864
my,tiny_trace,18,509,1,0,6e-06,0.000423506,0.000563015
my,tiny_trace,19,515,1,1.8e-05,1.3e-05,0.000386471,0.000564082
my,tiny_trace,20,528,1,0,6e-06,0.000372622,0.000505916
my,tiny_trace,21,575,1,3.8e-05,3.8e-05,0.000420645,0.000631012
my,tiny_trace,22,613,1,3.4e-05,1.1e-05,0.000355334,0.000556825
my,tiny_trace,23,624,1,1e-05,6e-06,0.000367752,0.000511264
goldberg,tiny_trace,0,0,2,0,0,0.00350285,0.00602129
goldberg,tiny_trace,1,10,2,0,0,0.00312832,0.00370933
goldberg,tiny_trace,2,90,2,0,0,0.00311434,0.00366377
goldberg,tiny_trace,3,100,2,0,0,0.00320274,0.00378958
goldberg,tiny_trace,4,110,2,0,0,0.00323373,0.00400606
goldberg,tiny_trace,5,200,2,0,0,0.00319026,0.0038038
goldberg,tiny_trace,6,300,2,0,0,0.00310346,0.00379272
goldberg,tiny_trace,7,305,2,3.7e-05,3.7e-05,0.00315671,0.00374704
goldberg,tiny_trace,8,342,2,7.7e-05,4.5e-05,0.00319788,0.00428283
goldberg,tiny_trace,9,387,2,1.7e-05,0,0.00328382,0.00394716
goldberg,tiny_trace,10,400,2,0,0,0.00323577,0.00398526
goldberg,tiny_trace,11,409,2,3.9e-05,3.9e-05,0.0031593,0.00376059
goldberg,tiny_trace,12,448,2,3.8e-05,0,0.00333025,0.00423908
goldberg,tiny_trace,13,450,2,5.1e-05,5.1e-05,0.00329477,0.00402441
goldberg,tiny_trace,14,501,2,1.9e-05,0,0.00336809,0.0041408
goldberg,tiny_trace,15,560,2,0,0,0.00319381,0.00387366
goldberg,tiny_trace,16,565,2,0,0,0.00319427,0.00382802
goldberg,tiny_trace,17,582,2,0,0,0.00317516,0.00385554
goldberg,tiny_trace,18,587,2,0,0,0.00316296,0.00381152
goldberg,tiny_trace,19,590,2,0,0,0.00312521,0.00365276
goldberg,tiny_trace,20,641,2,0,0,0.00318775,0.003811
my,tiny_trace,0,0,2,4.3e-05,4.3e-05,0.00298386,0.00538457
my,tiny_trace,1,43,2,5.6e-05,2.3e-05,0.000680782,0.000985235
my,tiny_trace,2,90,2,7e-06,7e-06,0.000287786,0.000457864
my,tiny_trace,3,97,2,0,6e-06,0.000306402,0.000427522
my,tiny_trace,4,103,2,9e-06,6e-06,0.000302845,0.000466269
my,tiny_trace,5,110,2,1.3e-05,1.3e-05,0.000430127,0.0007735
my,tiny_trace,6,200,2,6e-06,6e-06,0.000336406,0.000490282
my,tiny_trace,7,300,2,9e-06,9e-06,0.000358879,0.000589566
my,tiny_trace,8,309,2,9e-06,5e-06,0.000318513,0.00045311
my,tiny_trace,9,314,2,1.5e-05,1.1e-05,0.000466558,0.000755096
my,tiny_trace,10,325,2,2.3e-05,1.3e-05,0.000523755,0.000986369
my,tiny_trace,11,338,2,0,9e-06,0.000426372,0.000583214
my,tiny_trace,12,400,2,1e-05,1e-05,0.000440702,0.000727475
my,tiny_trace,13,410,2,1.6e-05,1.5e-05,0.000523372,0.000852934
my,tiny_trace,14,425,2,2e-05,1.5e-05,0.000568556,0.000855951
my,tiny_trace,15,450,2,1.2e-05,1.2e-05,0.000399647,0.000618255
my,tiny_trace,16,462,2,0,5e-06,0.000398095,0.000536951
my,tiny_trace,17,500,2,1e-05,1e-05,0.000419182,0.000662506
my,tiny_trace,18,510,2,0,6e-06,0.000424275,0.00057171
my,tiny_trace,19,540,2,1.3e-05,1.3e-05,0.000382363,0.000557124
my,tiny_trace,20,553,2,0,5e-06,0.000380712,0.00052223
my,tiny_trace,21,565,2,1.3e-05,1.3e-05,0.000490928,0.000732598
my,tiny_trace,22,578,2,2.5e-05,1.7e-05,0.000517252,0.00072776
my,tiny_trace,23,595,2,2.5e-05,2e-05,0.00054455,0.000805557
my,tiny_trace,24,615,2,2.3e-05,1.3e-05,0.000559107,0.000756661
my,tiny_trace,25,628,2,1.5e-05,7e-06,0.000393729,0.000558321
