test,trace,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time
full,google_trace,0,0,0,1.13584,1.13584,4.01249,413.288
full,google_trace,1,600026913,0,0.587559,0.587559,3.34433,5.25133
full,google_trace,2,604046280,0,0.587859,0.587859,3.34391,5.23859
full,google_trace,3,612141654,0,0.591226,0.591226,3.35156,5.24673
full,google_trace,4,617115446,0,0.587742,0.587742,3.34975,5.24225
full,google_trace,5,619396393,0,0.572036,0.572036,3.44179,5.3388
full,google_trace,6,633214031,0,0.59619,0.59619,3.33848,5.22868
full,google_trace,7,633810221,0,1.14316,0.563897,3.31137,5.19032
full,google_trace,8,641927978,0,0.588182,0.588182,3.32755,5.2088
full,google_trace,9,653284671,0,0.589575,0.589575,3.32746,5.20556
full,google_trace,10,664711821,0,0.584327,0.584327,3.3263,5.20563
full,google_trace,11,680344770,0,0.567328,0.567328,3.31284,5.20333
full,google_trace,12,680912098,0,1.15299,0.59073,3.32935,5.20918
full,google_trace,13,684102569,0,0.568913,0.568913,3.30939,5.18979
full,google_trace,14,686314419,0,0.581725,0.581725,3.32539,5.20444
full,google_trace,15,688545325,0,0.596087,0.596087,3.34337,5.22384
full,google_trace,16,695219835,0,0.585755,0.585755,3.32425,5.20447
full,google_trace,17,707483424,0,0.593965,0.593965,3.33178,5.21423
full,google_trace,18,708077389,0,1.16296,0.587636,3.32888,5.21277
full,google_trace,19,712527034,0,0.566885,0.566885,3.43259,5.31461
full,google_trace,20,715431770,0,0.569509,0.569509,3.31672,5.19935
full,google_trace,21,716217917,0,0.548407,0.548407,3.29339,5.17202
full,google_trace,22,717004651,0,0.558975,0.558975,3.30012,5.18497
full,google_trace,23,717778985,0,0.587951,0.587951,3.3239,5.20668
full,google_trace,24,720665284,0,0.588758,0.588758,3.32721,5.20857
full,google_trace,25,744701640,0,0.588003,0.588003,3.3248,5.21659
full,google_trace,26,756168357,0,0.589768,0.589768,3.32816,5.21632
full,google_trace,27,757925667,0,0.543645,0.543645,3.28623,5.16675
full,google_trace,28,758469312,0,1.10598,0.588744,3.33922,5.5063
full,google_trace,29,760949166,0,0.592469,0.592469,3.3476,5.24322
full,google_trace,30,761541635,0,1.1938,0.601329,3.38736,5.59636
full,google_trace,31,764191488,0,0.574952,0.574952,3.35058,5.28295
full,google_trace,32,770240238,0,0.605442,0.605442,3.38374,5.29879
full,google_trace,33,770845680,0,1.1979,0.59964,3.37533,5.28664
full,google_trace,34,772013734,0,0.582089,0.582089,3.35677,5.27065
full,google_trace,35,772595823,0,1.17507,0.592985,3.37576,5.31231
full,google_trace,36,774313745,0,0.577778,0.577778,3.36821,5.28649
full,google_trace,37,777986218,0,0.594696,0.594696,3.38368,5.30454
full,google_trace,38,779231019,0,0.60036,0.60036,3.38457,5.30166
full,google_trace,39,780915917,0,0.607168,0.607168,3.39916,5.31834
full,google_trace,40,781523085,0,1.18569,0.57852,3.35823,5.27425
full,google_trace,41,810572424,0,0.610183,0.610183,3.41749,5.34066
full,google_trace,42,813423658,0,0.582264,0.582264,3.36857,5.28849
full,google_trace,43,823531718,0,0.604251,0.604251,3.38753,5.30972
full,google_trace,44,832625106,0,0.608182,0.608182,3.39748,5.31561
full,google_trace,45,845498746,0,0.606189,0.606189,3.39054,5.307
full,google_trace,46,851953045,0,0.607431,0.607431,3.39198,5.30945
full,google_trace,47,852780532,0,0.61282,0.61282,3.39325,5.31247
full,google_trace,48,853393352,0,1.20564,0.601844,3.39,5.30297
full,google_trace,49,853995196,0,1.0224,0.580344,3.36648,5.2814
full,google_trace,50,857735833,0,0.600124,0.600124,3.39448,5.3124
full,google_trace,51,869429386,0,0.607758,0.607758,3.38912,5.30415
full,google_trace,52,870110399,0,0.599177,0.599177,3.38588,5.30661
full,google_trace,53,870709576,0,1.17472,0.579763,3.38506,5.59174
full,google_trace,54,882917363,0,0.589865,0.589865,3.39541,5.34762
full,google_trace,55,883566377,0,0.590496,0.590496,3.41441,5.35181
full,google_trace,56,884156873,0,1.19955,0.609059,3.40745,5.34318
full,google_trace,57,895774014,0,0.606874,0.606874,3.4109,5.34954
full,google_trace,58,900984505,0,0.611024,0.611024,3.41296,5.34963
full,google_trace,59,912381052,0,0.587753,0.587753,3.39043,5.32987
full,google_trace,60,919618703,0,0.602581,0.602581,3.41435,5.35019
full,google_trace,61,920221284,0,1.18563,0.585685,3.41373,5.35424
full,google_trace,62,921188183,0,0.606863,0.606863,3.43571,5.38241
full,google_trace,63,921795046,0,1.19271,0.585847,3.41132,5.36548
full,google_trace,64,930852565,0,0.602716,0.602716,3.43197,5.38594
full,google_trace,65,932643246,0,0.610557,0.610557,3.44267,5.39262
full,google_trace,66,935163009,0,0.587344,0.587344,3.4132,5.36215
full,google_trace,67,935750353,0,1.19121,0.603871,3.4314,5.38733
full,google_trace,68,948922637,0,0.607584,0.607584,3.43458,5.39111
full,google_trace,69,958517102,0,0.609898,0.609898,3.438,5.3887
full,google_trace,70,959127000,0,1.20749,0.602937,3.42609,5.37515
full,google_trace,71,970894328,0,0.588043,0.588043,3.41371,5.36935
full,google_trace,72,989566242,0,0.610165,0.610165,3.43704,5.40018
full,google_trace,73,991212524,0,0.600955,0.600955,3.43343,5.38366
full,google_trace,74,993518546,0,0.610124,0.610124,3.45411,5.40886
full,google_trace,75,994128670,0,1.21269,0.602568,3.43555,5.39253
