test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time
full,small_trace,0,0,0,0.007755,0.007755,0.047867,18.8465
full,small_trace,1,603309032,0,0.004078,0.004078,0.0401856,0.0601522
full,small_trace,2,757955277,0,0.004224,0.004224,0.0457988,0.0985189
full,small_trace,3,757959501,0,0.009783,0.005767,0.0454049,0.080421
full,small_trace,4,760949245,0,0.003656,0.003656,0.043776,0.065704
full,small_trace,5,760952901,0,0.009421,0.005812,0.0461679,0.085565
full,small_trace,6,772013814,0,0.003688,0.003688,0.0467066,0.105049
full,small_trace,7,772017502,0,0.009465,0.005797,0.0449803,0.0679221
full,small_trace,8,870116781,0,0.005458,0.005458,0.0474114,0.0869308
full,small_trace,9,870122239,0,0.011026,0.005722,0.0470759,0.0838653
full,small_trace,10,993518588,0,0.004809,0.004809,0.0451146,0.128875
full,small_trace,11,1107986333,0,0.003988,0.003988,0.0450889,0.0895868
full,small_trace,12,1107990321,0,0.003898,0,0.0449063,0.0719063
full,small_trace,13,1119442249,0,0.005881,0.005881,0.0477484,0.0791095
full,small_trace,14,1119448130,0,0.010051,0.004188,0.0451606,0.0655035
full,small_trace,15,1135414792,0,0.00512,0.00512,0.0469416,0.0700255
full,small_trace,16,1135419912,0,0.009439,0.004427,0.0432793,0.0636655
full,small_trace,17,1345888435,0,0.005455,0.005455,0.0477548,0.115913
full,small_trace,18,1372983484,0,0.004203,0.004203,0.0448823,0.074487
full,small_trace,19,1372987687,0,0.008851,0.004755,0.0476361,0.0843278
full,small_trace,20,1398938349,0,0.004519,0.004519,0.0452959,0.0915889
full,small_trace,21,1398942868,0,0.009175,0.004773,0.0445641,0.0813691
full,small_trace,22,1423337461,0,0.005269,0.005269,0.0477303,0.0888963
full,small_trace,23,1423342730,0,0.01032,0.005066,0.0490624,0.106084
full,small_trace,24,1437048669,0,0.004308,0.004308,0.047546,0.111097
full,small_trace,25,1437052977,0,0.008634,0.004528,0.0486412,0.120405
full,small_trace,26,1573781565,0,0.006163,0.006163,0.0451283,0.144182
full,small_trace,27,1573787728,0,0.010461,0.004491,0.047198,0.0715677
full,small_trace,28,1585628702,0,0.005426,0.005426,0.0479867,0.0786375
full,small_trace,29,1599232156,0,0.005998,0.005998,0.0499505,0.0763115
full,small_trace,30,1599238154,0,0.01136,0.005472,0.0487754,0.0970121
full,small_trace,31,1701549695,0,0.005028,0.005028,0.0468248,0.111759
full,small_trace,32,1701554723,0,0.011882,0.006882,0.0471583,0.0697741
full,small_trace,33,1715626104,0,0.005344,0.005344,0.049308,0.0827634
full,small_trace,34,1715631448,0,0.01052,0.005266,0.0475395,0.0720659
full,small_trace,35,1760607843,0,0.005265,0.005265,0.0492716,0.120007
full,small_trace,36,2018378034,0,0.006259,0.006259,0.0501494,0.160794
full,small_trace,37,2100114435,0,0.004403,0.004403,0.0491205,0.100145
full,small_trace,38,2100118838,0,0.010036,0.005826,0.0491282,0.0862549
full,small_trace,39,2122978330,0,0.005052,0.005052,0.0470224,0.0885528
full,small_trace,40,2122983382,0,0.011325,0.006301,0.0498181,0.0763729
full,small_trace,41,2135463181,0,0.004853,0.004853,0.047635,0.0767225
full,small_trace,42,2135468034,0,0.011068,0.006361,0.0513958,0.105905
full,small_trace,43,2140221305,0,0.001196,0.001196,0.0465885,0.0696876
full,small_trace,44,2140222501,0,0.007503,0.006341,0.0512868,0.0920907
full,small_trace,45,2149856512,0,0.005737,0.005737,0.0508105,0.127694
full,small_trace,46,2149862249,0,0.009745,0.004041,0.047883,0.0871941
full,small_trace,47,2175430886,0,0.00457,0.00457,0.0498819,0.0936889
full,small_trace,48,2175435456,0,0.009053,0.004505,0.0500121,0.108848
full,small_trace,49,2199343200,0,0.004897,0.004897,0.0480737,0.11085
full,small_trace,50,2199348097,0,0.00985,0.005109,0.0492818,0.105607
full,small_trace,51,2211808788,0,0.005029,0.005029,0.0493924,0.0843509
full,small_trace,52,2218820667,0,0.006297,0.006297,0.0526711,0.0799875
full,small_trace,53,2326845291,0,0.005173,0.005173,0.0504336,0.244323
full,small_trace,54,2430254342,0,0.004857,0.004857,0.0485788,0.0859426
full,small_trace,55,2430259199,0,0.009822,0.005168,0.0505878,0.0823908
full,small_trace,56,2491248546,0,0.006085,0.006085,0.052416,0.14148
full,small_trace,57,2639241405,0,0.004689,0.004689,0.0479049,0.165136
full,small_trace,58,2639246094,0,0.00932,0.004751,0.0502545,0.0896208
full,small_trace,59,2737757904,0,0.005524,0.005524,0.0506765,0.125429
full,small_trace,60,2788104275,0,0.004737,0.004737,0.0490558,0.0850628
full,small_trace,61,2788109012,0,0.009492,0.004759,0.0498916,0.0905068
full,small_trace,62,2801006142,0,0.004532,0.004532,0.0495679,0.095369
full,small_trace,63,2851444514,0,0.006666,0.006666,0.052415,0.102302
full,small_trace,64,2851451180,0,0.013343,0.00673,0.0529794,0.0922828
full,small_trace,65,3073942566,0,0.006111,0.006111,0.0529538,0.199028
full,small_trace,66,3094321339,0,0.006207,0.006207,0.0521315,0.0959078
full,small_trace,67,3094327546,0,0.012974,0.006784,0.0517757,0.0761085
full,small_trace,68,3238164741,0,0.006754,0.006754,0.0532517,0.121075
full,small_trace,69,3238171495,0,0.013497,0.006763,0.0538707,0.0964991
full,small_trace,70,3261531764,0,0.004843,0.004843,0.0505528,0.0936391
full,small_trace,71,3275426621,0,0.006251,0.006251,0.0535178,0.0810136
full,small_trace,72,3410842431,0,0.001255,0.001255,0.0491565,0.0926379
full,small_trace,73,3410843686,0,0.007517,0.00634,0.05401,0.0872448
full,small_trace,74,3410850026,0,0.012846,0.006543,0.0532569,0.0833144
full,small_trace,75,3525978000,0,0.004864,0.004864,0.0512906,0.123776
full,small_trace,76,3525982864,0,0.009807,0.005022,0.0506505,0.0906096
full,small_trace,77,3549872977,0,0.00592,0.00592,0.0536699,0.0994612
full,small_trace,78,3549878897,0,0.012705,0.006938,0.0556127,0.0943837
