test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time,total_changes,new_node,remove_node,new_arc,change_arc,remove_arc
incremental,large,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
full,large,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
incremental,medium,0,0,0,2.22301,2.22301,2.4716,21.8986,17296,8741,0,619,7936,0
incremental,medium,1,2223013,0,0,0.105836,0.242418,0.31683,3095,0,0,619,1121,1355
incremental,medium,2,757955137,0,0.00028,0.00028,0.12268,0.24262,3,2,0,0,1,0
incremental,medium,3,757955417,0,0.002434,0.002156,0.116828,0.188722,16,8,0,0,8,0
incremental,medium,4,757957573,0,0.020815,0.018707,0.135619,0.233699,84,42,0,0,42,0
incremental,medium,5,760949184,0,0.000601,0.000601,0.116481,0.186968,3,2,0,0,1,0
incremental,medium,6,760949785,0,0.01395,0.013361,0.130575,0.221052,74,37,0,0,37,0
incremental,medium,7,760963146,0,0.022272,0.008916,0.125838,0.237788,46,23,0,0,23,0
incremental,medium,8,772013745,0,0.000577,0.000577,0.116865,0.230862,3,2,0,0,1,0
incremental,medium,9,772014322,0,0.001907,0.001399,0.118139,0.194762,10,5,0,0,5,0
incremental,medium,10,780915935,0,0.000565,0.000565,0.11719,0.196996,3,2,0,0,1,0
incremental,medium,11,870116681,0,0.000554,0.000554,0.117365,0.208504,3,2,0,0,1,0
incremental,medium,12,870117235,0,0.005368,0.004818,0.121471,0.198984,32,16,0,0,16,0
incremental,medium,13,870122053,0,0.017157,0.012347,0.129851,0.224096,68,34,0,0,34,0
incremental,medium,14,883566379,0,0.00056,0.00056,0.118179,0.219639,3,2,0,0,1,0
incremental,medium,15,935163034,0,0.000561,0.000561,0.115825,0.207404,3,2,0,0,1,0
incremental,medium,16,935163595,0,0.001103,0.000562,0.110649,0.178241,2,1,0,0,1,0
incremental,medium,17,989566242,0,0.000569,0.000569,0.11122,0.222597,3,2,0,0,1,0
incremental,medium,18,991212524,0,0.000563,0.000563,0.111186,0.180418,3,2,0,0,1,0
