test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time,total_changes,new_node,remove_node,new_arc,change_arc,remove_arc
incremental,large,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
full,large,0,0,0,Timeout,Timeout,Timeout,Timeout,Timeout,,,,,
incremental,medium,0,0,0,1.18053,1.18053,1.38363,21.0364,17296,8741,0,619,7936,0
incremental,medium,1,1180528,0,0,0.045815,0.115494,0.174792,3095,0,0,619,1115,1361
incremental,medium,2,757955137,0,0.007967,0.007967,0.0783437,0.160384,3,2,0,0,1,0
incremental,medium,3,757963104,0,0.00996,0.001995,0.0724875,0.143944,100,50,0,0,50,0
incremental,medium,4,760949184,0,0.00071,0.00071,0.0711104,0.122522,3,2,0,0,1,0
incremental,medium,5,760949894,0,0.002411,0.001713,0.0725502,0.137551,82,41,0,0,41,0
incremental,medium,6,760951607,0,0.002952,0.001251,0.0718231,0.130885,38,19,0,0,19,0
incremental,medium,7,772013745,0,0.000693,0.000693,0.0711389,0.163391,3,2,0,0,1,0
incremental,medium,8,772014438,0,0.001378,0.000754,0.0717642,0.125834,10,5,0,0,5,0
incremental,medium,9,780915935,0,0.000707,0.000707,0.0710599,0.129177,3,2,0,0,1,0
incremental,medium,10,870116681,0,0.000702,0.000702,0.0719942,0.137852,3,2,0,0,1,0
incremental,medium,11,870117383,0,0.001749,0.001051,0.0726866,0.131887,38,19,0,0,19,0
incremental,medium,12,870118434,0,0.002273,0.001226,0.0730041,0.135937,46,23,0,0,23,0
incremental,medium,13,870119660,0,0.002051,0.000838,0.0728204,0.128831,16,8,0,0,8,0
incremental,medium,14,883566379,0,0.000715,0.000715,0.0744297,0.149458,3,2,0,0,1,0
incremental,medium,15,935163034,0,0.000702,0.000702,0.0749,0.146357,3,2,0,0,1,0
incremental,medium,16,935163736,0,0.001405,0.000723,0.0762315,0.133168,2,1,0,0,1,0
incremental,medium,17,989566242,0,0.000787,0.000787,0.0764534,0.160339,3,2,0,0,1,0
incremental,medium,18,991212524,0,0.000767,0.000767,0.072032,0.124564,3,2,0,0,1,0
